Date,FDX
2022-02-28,222.27000427246094
2022-03-01,214.91000366210938
2022-03-02,219.25
2022-03-03,221.30999755859375
2022-03-04,214.5399932861328
2022-03-07,201.08999633789062
2022-03-08,203.99000549316406
2022-03-09,216.72000122070312
2022-03-10,219.27999877929688
2022-03-11,213.17999267578125
2022-03-14,211.1300048828125
2022-03-15,216.22999572753906
2022-03-16,225.92999267578125
2022-03-17,227.97999572753906
2022-03-18,218.91000366210938
2022-03-21,222.16000366210938
2022-03-22,226.57000732421875
2022-03-23,221.47000122070312
2022-03-24,225.1199951171875
2022-03-25,226.55999755859375
2022-03-28,230.0500030517578
2022-03-29,238.57000732421875
2022-03-30,235.25
2022-03-31,231.38999938964844
2022-04-01,221.25
2022-04-04,217.99000549316406
2022-04-05,211.02999877929688
2022-04-06,204.0
2022-04-07,203.77000427246094
2022-04-08,201.52000427246094
2022-04-11,204.1199951171875
2022-04-12,204.3800048828125
2022-04-13,206.30999755859375
2022-04-14,205.74000549316406
2022-04-18,203.25999450683594
2022-04-19,208.80999755859375
2022-04-20,209.19000244140625
2022-04-21,206.86000061035156
2022-04-22,205.2100067138672
2022-04-25,205.39999389648438
2022-04-26,200.0
2022-04-27,199.25999450683594
2022-04-28,206.85000610351562
2022-04-29,198.74000549316406
2022-05-02,197.00999450683594
2022-05-03,199.44000244140625
2022-05-04,209.49000549316406
2022-05-05,207.24000549316406
2022-05-06,210.2100067138672
2022-05-09,208.27000427246094
2022-05-10,208.05999755859375
2022-05-11,207.1999969482422
2022-05-12,208.1999969482422
2022-05-13,211.2899932861328
2022-05-16,209.72000122070312
2022-05-17,221.5
2022-05-18,203.57000732421875
2022-05-19,199.0500030517578
2022-05-20,200.89999389648438
2022-05-23,204.69000244140625
2022-05-24,205.25
2022-05-25,204.30999755859375
2022-05-26,212.2899932861328
2022-05-27,219.6699981689453
2022-05-31,224.5800018310547
2022-06-01,218.6699981689453
2022-06-02,221.52000427246094
2022-06-03,218.6999969482422
2022-06-06,222.85000610351562
2022-06-07,221.3699951171875
