Date,IBM
2022-02-28,122.51000213623047
2022-03-01,121.3499984741211
2022-03-02,123.86000061035156
2022-03-03,125.93000030517578
2022-03-04,126.62000274658203
2022-03-07,126.06999969482422
2022-03-08,125.68000030517578
2022-03-09,126.22000122070312
2022-03-10,124.3499984741211
2022-03-11,123.95999908447266
2022-03-14,123.94000244140625
2022-03-15,125.63999938964844
2022-03-16,127.04000091552734
2022-03-17,127.95999908447266
2022-03-18,128.75999450683594
2022-03-21,128.10000610351562
2022-03-22,129.05999755859375
2022-03-23,128.3000030517578
2022-03-24,129.25
2022-03-25,131.35000610351562
2022-03-28,131.47000122070312
2022-03-29,131.94000244140625
2022-03-30,132.1300048828125
2022-03-31,130.02000427246094
2022-04-01,130.14999389648438
2022-04-04,130.27000427246094
2022-04-05,128.88999938964844
2022-04-06,129.38999938964844
2022-04-07,128.5500030517578
2022-04-08,127.7300033569336
2022-04-11,126.37000274658203
2022-04-12,125.9800033569336
2022-04-13,126.13999938964844
2022-04-14,126.55999755859375
2022-04-18,126.16999816894531
2022-04-19,129.14999389648438
2022-04-20,138.32000732421875
2022-04-21,139.85000610351562
2022-04-22,138.25
2022-04-25,139.10000610351562
2022-04-26,136.19000244140625
2022-04-27,135.05999755859375
2022-04-28,135.74000549316406
2022-04-29,132.2100067138672
2022-05-02,133.0399932861328
2022-05-03,132.52000427246094
2022-05-04,137.39999389648438
2022-05-05,135.9199981689453
2022-05-06,137.6699981689453
2022-05-09,134.44000244140625
2022-05-10,129.1300048828125
2022-05-11,130.75
2022-05-12,132.89999389648438
2022-05-13,133.60000610351562
2022-05-16,135.02999877929688
2022-05-17,138.3699951171875
2022-05-18,132.94000244140625
2022-05-19,129.66000366210938
2022-05-20,128.47999572753906
2022-05-23,131.1699981689453
2022-05-24,133.8000030517578
2022-05-25,134.38999938964844
2022-05-26,136.88999938964844
2022-05-27,139.27000427246094
2022-05-31,138.83999633789062
2022-06-01,139.42999267578125
2022-06-02,140.14999389648438
2022-06-03,141.17999267578125
2022-06-06,142.8800048828125
2022-06-07,142.77999877929688
2022-06-08,140.8300018310547
2022-06-09,137.9600067138672
2022-06-10,136.19000244140625
2022-06-13,135.11000061035156
2022-06-14,135.72000122070312
2022-06-15,137.05999755859375
2022-06-16,135.6699981689453
2022-06-17,135.02000427246094
2022-06-21,137.85000610351562
2022-06-22,137.0800018310547
2022-06-23,138.44000244140625
2022-06-24,142.05999755859375
2022-06-27,142.8000030517578
2022-06-28,141.86000061035156
2022-06-29,140.7100067138672
2022-06-30,141.19000244140625
2022-07-01,141.1199951171875
2022-07-05,137.6199951171875
2022-07-06,138.0800018310547
2022-07-07,140.8300018310547
2022-07-08,140.47000122070312
2022-07-11,141.0
2022-07-12,139.17999267578125
2022-07-13,137.17999267578125
2022-07-14,139.05999755859375
2022-07-15,139.9199981689453
2022-07-18,138.1300048828125
2022-07-19,130.8800048828125
2022-07-20,129.17999267578125
2022-07-21,127.1500015258789
2022-07-22,128.25
2022-07-25,128.5399932861328
2022-07-26,128.0800018310547
2022-07-27,129.1199951171875
2022-07-28,129.22000122070312
2022-07-29,130.7899932861328
2022-08-01,132.0399932861328
2022-08-02,131.80999755859375
2022-08-03,132.33999633789062
2022-08-04,131.63999938964844
2022-08-05,132.47999572753906
2022-08-08,132.61000061035156
2022-08-09,129.47000122070312
2022-08-10,131.5
2022-08-11,132.5399932861328
2022-08-12,134.00999450683594
2022-08-15,134.92999267578125
2022-08-16,136.55999755859375
2022-08-17,137.7899932861328
2022-08-18,139.07000732421875
2022-08-19,138.3699951171875
2022-08-22,135.5500030517578
2022-08-23,134.74000549316406
2022-08-24,133.22999572753906
2022-08-25,133.97999572753906
2022-08-26,130.3800048828125
2022-08-29,130.30999755859375
2022-08-30,129.5800018310547
2022-08-31,128.4499969482422
2022-09-01,129.66000366210938
2022-09-02,127.79000091552734
2022-09-06,126.72000122070312
2022-09-07,127.70999908447266
2022-09-08,128.47000122070312
2022-09-09,129.19000244140625
2022-09-12,130.66000366210938
2022-09-13,127.25
2022-09-14,127.69000244140625
2022-09-15,125.48999786376953
2022-09-16,127.2699966430664
2022-09-19,127.7300033569336
2022-09-20,126.30000305175781
2022-09-21,124.93000030517578
2022-09-22,125.30999755859375
2022-09-23,122.70999908447266
2022-09-26,122.01000213623047
2022-09-27,121.73999786376953
2022-09-28,122.76000213623047
2022-09-29,121.62999725341797
2022-09-30,118.80999755859375
2022-10-03,121.51000213623047
2022-10-04,125.5
2022-10-05,125.73999786376953
2022-10-06,122.2300033569336
2022-10-07,118.81999969482422
2022-10-10,117.75
2022-10-11,117.80000305175781
2022-10-12,117.56999969482422
2022-10-13,121.79000091552734
2022-10-14,120.04000091552734
2022-10-17,121.5199966430664
2022-10-18,122.94000244140625
2022-10-19,122.51000213623047
2022-10-20,128.3000030517578
2022-10-21,129.89999389648438
2022-10-24,132.69000244140625
2022-10-25,132.92999267578125
2022-10-26,135.00999450683594
2022-10-27,134.77000427246094
2022-10-28,138.50999450683594
2022-10-31,138.2899932861328
2022-11-01,138.1999969482422
2022-11-02,136.8300018310547
2022-11-03,134.47000122070312
2022-11-04,136.9600067138672
2022-11-07,138.33999633789062
2022-11-08,140.0399932861328
2022-11-09,137.38999938964844
2022-11-10,141.22999572753906
2022-11-11,143.1699981689453
2022-11-14,144.1999969482422
2022-11-15,144.33999633789062
2022-11-16,144.52000427246094
2022-11-17,146.08999633789062
2022-11-18,147.63999938964844
2022-11-21,146.67999267578125
2022-11-22,149.10000610351562
2022-11-23,148.75
