Date,ASX
2022-02-28,7.230000019073486
2022-03-01,7.210000038146973
2022-03-02,7.400000095367432
2022-03-03,7.340000152587891
2022-03-04,7.090000152587891
2022-03-07,6.639999866485596
2022-03-08,6.820000171661377
2022-03-09,7.170000076293945
2022-03-10,7.090000152587891
2022-03-11,7.010000228881836
2022-03-14,6.980000019073486
2022-03-15,7.03000020980835
2022-03-16,7.349999904632568
2022-03-17,7.489999771118164
2022-03-18,7.590000152587891
2022-03-21,7.449999809265137
2022-03-22,7.5
2022-03-23,7.28000020980835
2022-03-24,7.519999980926514
2022-03-25,7.429999828338623
2022-03-28,7.349999904632568
2022-03-29,7.460000038146973
2022-03-30,7.25
2022-03-31,7.090000152587891
2022-04-01,7.039999961853027
2022-04-04,7.190000057220459
2022-04-05,6.949999809265137
2022-04-06,7.0
2022-04-07,6.929999828338623
2022-04-08,6.829999923706055
2022-04-11,6.639999866485596
2022-04-12,6.630000114440918
2022-04-13,6.940000057220459
2022-04-14,6.71999979019165
2022-04-18,6.809999942779541
2022-04-19,6.849999904632568
2022-04-20,6.880000114440918
2022-04-21,6.730000019073486
2022-04-22,6.659999847412109
2022-04-25,6.650000095367432
2022-04-26,6.269999980926514
2022-04-27,6.230000019073486
2022-04-28,6.940000057220459
2022-04-29,6.440000057220459
2022-05-02,6.539999961853027
2022-05-03,6.619999885559082
2022-05-04,6.900000095367432
2022-05-05,6.570000171661377
2022-05-06,6.510000228881836
2022-05-09,6.190000057220459
2022-05-10,6.480000019073486
2022-05-11,6.320000171661377
2022-05-12,6.329999923706055
2022-05-13,6.619999885559082
2022-05-16,6.5
2022-05-17,6.809999942779541
2022-05-18,6.420000076293945
2022-05-19,6.539999961853027
2022-05-20,6.630000114440918
2022-05-23,6.699999809265137
2022-05-24,6.550000190734863
2022-05-25,6.730000019073486
2022-05-26,6.929999828338623
2022-05-27,7.079999923706055
2022-05-31,7.150000095367432
2022-06-01,7.039999961853027
2022-06-02,7.300000190734863
2022-06-03,7.130000114440918
2022-06-06,7.150000095367432
2022-06-07,7.159999847412109
2022-06-08,7.070000171661377
2022-06-09,7.03000020980835
2022-06-10,6.920000076293945
2022-06-13,6.519999980926514
2022-06-14,6.739999771118164
2022-06-15,6.840000152587891
2022-06-16,6.489999771118164
2022-06-17,6.519999980926514
2022-06-21,6.739999771118164
2022-06-22,6.429999828338623
2022-06-23,6.349999904632568
2022-06-24,6.28000020980835
2022-06-27,6.329999923706055
2022-06-28,6.0
2022-06-29,5.309999942779541
2022-06-30,5.170000076293945
2022-07-01,5.010000228881836
2022-07-05,5.059999942779541
2022-07-06,4.960000038146973
2022-07-07,5.110000133514404
2022-07-08,5.170000076293945
2022-07-11,5.050000190734863
2022-07-12,5.059999942779541
2022-07-13,5.090000152587891
2022-07-14,5.269999980926514
2022-07-15,5.349999904632568
2022-07-18,5.400000095367432
2022-07-19,5.639999866485596
2022-07-20,5.670000076293945
2022-07-21,5.800000190734863
2022-07-22,5.659999847412109
2022-07-25,5.670000076293945
2022-07-26,5.539999961853027
2022-07-27,5.849999904632568
2022-07-28,5.900000095367432
2022-07-29,5.889999866485596
2022-08-01,5.809999942779541
2022-08-02,5.769999980926514
2022-08-03,5.900000095367432
2022-08-04,6.019999980926514
2022-08-05,6.079999923706055
2022-08-08,6.059999942779541
2022-08-09,5.889999866485596
2022-08-10,6.190000057220459
2022-08-11,6.199999809265137
2022-08-12,6.400000095367432
2022-08-15,6.360000133514404
2022-08-16,6.309999942779541
2022-08-17,6.21999979019165
2022-08-18,6.260000228881836
2022-08-19,6.070000171661377
2022-08-22,5.860000133514404
2022-08-23,5.920000076293945
2022-08-24,5.869999885559082
2022-08-25,6.059999942779541
2022-08-26,5.820000171661377
2022-08-29,5.710000038146973
