Date,FIX
2022-02-28,85.9800033569336
2022-03-01,83.52999877929688
2022-03-02,86.83999633789062
2022-03-03,85.76000213623047
2022-03-04,85.0
2022-03-07,83.98999786376953
2022-03-08,86.0
2022-03-09,89.41000366210938
2022-03-10,90.5199966430664
2022-03-11,90.77999877929688
2022-03-14,90.68000030517578
2022-03-15,91.12000274658203
2022-03-16,91.91999816894531
2022-03-17,92.5
2022-03-18,92.33000183105469
2022-03-21,93.0
2022-03-22,94.52999877929688
2022-03-23,91.16000366210938
2022-03-24,87.83000183105469
2022-03-25,88.08999633789062
2022-03-28,88.20999908447266
2022-03-29,91.12000274658203
2022-03-30,90.0
2022-03-31,89.01000213623047
2022-04-01,90.12999725341797
2022-04-04,89.80000305175781
2022-04-05,88.9000015258789
2022-04-06,87.47000122070312
2022-04-07,87.76000213623047
2022-04-08,86.98999786376953
2022-04-11,86.69999694824219
2022-04-12,87.75
2022-04-13,88.81999969482422
2022-04-14,88.56999969482422
2022-04-18,87.16999816894531
2022-04-19,89.08000183105469
2022-04-20,91.66999816894531
2022-04-21,89.43000030517578
2022-04-22,86.63999938964844
2022-04-25,86.73999786376953
2022-04-26,84.2699966430664
2022-04-27,85.05999755859375
2022-04-28,86.0199966430664
2022-04-29,84.41999816894531
2022-05-02,84.01000213623047
2022-05-03,85.66999816894531
2022-05-04,90.30000305175781
2022-05-05,86.75
2022-05-06,85.20999908447266
2022-05-09,82.9800033569336
2022-05-10,83.98999786376953
2022-05-11,81.58000183105469
2022-05-12,82.58000183105469
2022-05-13,84.0999984741211
2022-05-16,84.08000183105469
2022-05-17,85.58000183105469
2022-05-18,83.72000122070312
2022-05-19,83.31999969482422
2022-05-20,82.47000122070312
2022-05-23,84.12999725341797
2022-05-24,87.4800033569336
2022-05-25,86.5199966430664
2022-05-26,88.43000030517578
2022-05-27,91.5999984741211
2022-05-31,89.72000122070312
2022-06-01,89.30000305175781
2022-06-02,92.0
2022-06-03,91.30000305175781
2022-06-06,91.88999938964844
2022-06-07,92.55999755859375
2022-06-08,92.23999786376953
2022-06-09,91.63999938964844
2022-06-10,89.19999694824219
2022-06-13,87.04000091552734
2022-06-14,85.62000274658203
2022-06-15,83.87000274658203
2022-06-16,75.81999969482422
2022-06-17,75.33000183105469
2022-06-21,76.30999755859375
2022-06-22,77.9000015258789
2022-06-23,79.30000305175781
2022-06-24,83.0199966430664
2022-06-27,83.69999694824219
2022-06-28,82.37999725341797
2022-06-29,81.25
2022-06-30,83.1500015258789
2022-07-01,84.16999816894531
2022-07-05,86.38999938964844
2022-07-06,84.98999786376953
2022-07-07,87.25
2022-07-08,86.01000213623047
2022-07-11,86.08000183105469
2022-07-12,84.80000305175781
2022-07-13,84.08999633789062
2022-07-14,84.2300033569336
2022-07-15,85.26000213623047
2022-07-18,84.30000305175781
2022-07-19,88.86000061035156
2022-07-20,89.62000274658203
2022-07-21,91.27999877929688
2022-07-22,91.27999877929688
2022-07-25,89.83999633789062
2022-07-26,90.87999725341797
2022-07-27,92.58999633789062
2022-07-28,98.41999816894531
2022-07-29,105.66000366210938
2022-08-01,105.43000030517578
2022-08-02,104.70999908447266
2022-08-03,104.48999786376953
2022-08-04,101.70999908447266
2022-08-05,102.55000305175781
2022-08-08,103.4000015258789
2022-08-09,100.63999938964844
2022-08-10,102.75
2022-08-11,104.38999938964844
2022-08-12,108.44000244140625
2022-08-15,108.2699966430664
2022-08-16,107.54000091552734
2022-08-17,107.33999633789062
2022-08-18,107.79000091552734
2022-08-19,105.05000305175781
2022-08-22,102.62000274658203
2022-08-23,101.7699966430664
2022-08-24,102.30000305175781
2022-08-25,105.27999877929688
2022-08-26,102.41999816894531
2022-08-29,102.77999877929688
2022-08-30,99.81999969482422
2022-08-31,100.33999633789062
2022-09-01,100.98999786376953
2022-09-02,100.52999877929688
2022-09-06,98.61000061035156
2022-09-07,100.72000122070312
2022-09-08,101.29000091552734
2022-09-09,102.93000030517578
2022-09-12,104.41999816894531
2022-09-13,101.80000305175781
2022-09-14,100.02999877929688
2022-09-15,99.08999633789062
2022-09-16,99.79000091552734
2022-09-19,102.87999725341797
2022-09-20,103.6500015258789
2022-09-21,103.08999633789062
2022-09-22,100.33000183105469
2022-09-23,98.1500015258789
2022-09-26,96.5999984741211
2022-09-27,96.4800033569336
2022-09-28,99.70999908447266
2022-09-29,96.79000091552734
2022-09-30,97.33000183105469
2022-10-03,103.37999725341797
2022-10-04,106.9000015258789
2022-10-05,103.0
2022-10-06,103.30999755859375
2022-10-07,100.76000213623047
2022-10-10,101.02999877929688
2022-10-11,102.2699966430664
2022-10-12,100.80999755859375
2022-10-13,103.30000305175781
2022-10-14,101.31999969482422
2022-10-17,104.55999755859375
2022-10-18,107.7699966430664
2022-10-19,106.75
2022-10-20,103.66999816894531
2022-10-21,106.58999633789062
2022-10-24,108.31999969482422
2022-10-25,110.22000122070312
2022-10-26,109.68000030517578
2022-10-27,118.44000244140625
2022-10-28,121.5
2022-10-31,123.27999877929688
