Date,TECK
2022-02-28,35.95000076293945
2022-03-01,36.900001525878906
2022-03-02,38.709999084472656
2022-03-03,40.13999938964844
2022-03-04,41.4900016784668
2022-03-07,39.20000076293945
2022-03-08,38.779998779296875
2022-03-09,40.09000015258789
2022-03-10,42.279998779296875
2022-03-11,41.86000061035156
2022-03-14,38.349998474121094
2022-03-15,37.709999084472656
2022-03-16,37.529998779296875
2022-03-17,39.06999969482422
2022-03-18,38.9900016784668
2022-03-21,40.459999084472656
2022-03-22,39.060001373291016
2022-03-23,40.130001068115234
2022-03-24,40.63999938964844
2022-03-25,40.380001068115234
2022-03-28,39.900001525878906
2022-03-29,39.27000045776367
2022-03-30,40.880001068115234
2022-03-31,40.38999938964844
2022-04-01,42.189998626708984
2022-04-04,40.939998626708984
2022-04-05,38.619998931884766
2022-04-06,38.470001220703125
2022-04-07,39.529998779296875
2022-04-08,41.0
2022-04-11,39.619998931884766
2022-04-12,40.13999938964844
2022-04-13,43.27000045776367
2022-04-14,43.15999984741211
2022-04-18,44.38999938964844
2022-04-19,43.18000030517578
2022-04-20,43.47999954223633
2022-04-21,40.04999923706055
2022-04-22,37.2400016784668
2022-04-25,35.880001068115234
2022-04-26,35.15999984741211
2022-04-27,39.290000915527344
2022-04-28,38.88999938964844
2022-04-29,39.459999084472656
2022-05-02,39.459999084472656
2022-05-03,40.529998779296875
2022-05-04,42.72999954223633
2022-05-05,40.810001373291016
2022-05-06,39.939998626708984
2022-05-09,36.619998931884766
2022-05-10,36.369998931884766
2022-05-11,37.04999923706055
2022-05-12,35.63999938964844
2022-05-13,37.15999984741211
2022-05-16,38.130001068115234
2022-05-17,40.15999984741211
2022-05-18,39.15999984741211
2022-05-19,40.15999984741211
2022-05-20,40.290000915527344
2022-05-23,41.709999084472656
2022-05-24,41.04999923706055
2022-05-25,40.83000183105469
2022-05-26,42.189998626708984
2022-05-27,43.209999084472656
2022-05-31,41.540000915527344
2022-06-01,42.36000061035156
2022-06-02,44.380001068115234
2022-06-03,43.88999938964844
2022-06-06,44.349998474121094
2022-06-07,45.7400016784668
2022-06-08,44.83000183105469
2022-06-09,43.7599983215332
2022-06-10,42.279998779296875
2022-06-13,39.33000183105469
2022-06-14,39.5
2022-06-15,40.2400016784668
