Date,LNG
2022-02-28,132.89999389648438
2022-03-01,129.22000122070312
2022-03-02,133.4600067138672
2022-03-03,133.61000061035156
2022-03-04,139.6300048828125
2022-03-07,139.00999450683594
2022-03-08,134.22000122070312
2022-03-09,134.02000427246094
2022-03-10,132.5800018310547
2022-03-11,129.4600067138672
2022-03-14,128.49000549316406
2022-03-15,126.55999755859375
2022-03-16,125.87999725341797
2022-03-17,128.2899932861328
2022-03-18,131.86000061035156
2022-03-21,135.8000030517578
2022-03-22,134.2899932861328
2022-03-23,139.97000122070312
2022-03-24,141.57000732421875
2022-03-25,149.3000030517578
2022-03-28,140.14999389648438
2022-03-29,138.58999633789062
2022-03-30,141.27999877929688
2022-03-31,138.64999389648438
2022-04-01,142.08999633789062
2022-04-04,141.44000244140625
2022-04-05,140.75999450683594
2022-04-06,141.05999755859375
2022-04-07,143.5399932861328
2022-04-08,144.17999267578125
2022-04-11,139.22000122070312
2022-04-12,137.9600067138672
2022-04-13,136.4499969482422
2022-04-14,139.52999877929688
2022-04-18,139.25
2022-04-19,139.1300048828125
2022-04-20,137.99000549316406
2022-04-21,136.5800018310547
2022-04-22,135.6999969482422
2022-04-25,131.1300048828125
2022-04-26,135.49000549316406
2022-04-27,140.27999877929688
2022-04-28,141.42999267578125
2022-04-29,135.80999755859375
2022-05-02,136.0500030517578
2022-05-03,140.4600067138672
2022-05-04,146.3000030517578
2022-05-05,142.8000030517578
2022-05-06,147.27000427246094
2022-05-09,134.33999633789062
2022-05-10,131.10000610351562
2022-05-11,132.61000061035156
2022-05-12,132.00999450683594
2022-05-13,135.52999877929688
2022-05-16,136.77000427246094
2022-05-17,137.0500030517578
2022-05-18,132.97000122070312
2022-05-19,130.42999267578125
2022-05-20,130.39999389648438
2022-05-23,131.11000061035156
2022-05-24,130.49000549316406
2022-05-25,136.44000244140625
2022-05-26,136.08999633789062
2022-05-27,138.3300018310547
2022-05-31,136.77000427246094
2022-06-01,139.97999572753906
2022-06-02,143.3699951171875
2022-06-03,141.9600067138672
2022-06-06,140.00999450683594
2022-06-07,146.25
2022-06-08,142.19000244140625
2022-06-09,137.35000610351562
2022-06-10,135.44000244140625
2022-06-13,127.83999633789062
2022-06-14,130.52000427246094
2022-06-15,130.47000122070312
2022-06-16,124.1500015258789
2022-06-17,125.9800033569336
2022-06-21,132.72999572753906
2022-06-22,126.83999633789062
2022-06-23,125.1500015258789
2022-06-24,126.58000183105469
2022-06-27,131.02000427246094
2022-06-28,134.86000061035156
2022-06-29,134.5
2022-06-30,133.02999877929688
2022-07-01,131.9499969482422
2022-07-05,131.97999572753906
2022-07-06,124.41999816894531
2022-07-07,131.9499969482422
2022-07-08,127.86000061035156
2022-07-11,123.94999694824219
2022-07-12,124.29000091552734
2022-07-13,122.38999938964844
2022-07-14,123.87999725341797
2022-07-15,124.16999816894531
2022-07-18,126.48999786376953
2022-07-19,132.11000061035156
2022-07-20,135.75999450683594
2022-07-21,137.22000122070312
2022-07-22,134.10000610351562
2022-07-25,140.0
2022-07-26,144.16000366210938
2022-07-27,146.44000244140625
2022-07-28,146.0800018310547
2022-07-29,149.5800018310547
2022-08-01,146.97000122070312
2022-08-02,145.97000122070312
2022-08-03,145.38999938964844
2022-08-04,144.1300048828125
2022-08-05,146.77000427246094
2022-08-08,147.7100067138672
2022-08-09,148.97000122070312
2022-08-10,150.77000427246094
2022-08-11,154.77000427246094
2022-08-12,158.69000244140625
2022-08-15,157.57000732421875
2022-08-16,161.27999877929688
2022-08-17,161.47999572753906
2022-08-18,167.55999755859375
2022-08-19,165.85000610351562
2022-08-22,165.24000549316406
2022-08-23,171.02000427246094
2022-08-24,171.67999267578125
2022-08-25,169.9600067138672
2022-08-26,167.75999450683594
2022-08-29,165.27999877929688
2022-08-30,161.33999633789062
2022-08-31,160.17999267578125
2022-09-01,156.75
2022-09-02,162.36000061035156
2022-09-06,158.5800018310547
2022-09-07,155.6699981689453
2022-09-08,159.17999267578125
2022-09-09,161.25
2022-09-12,160.72999572753906
2022-09-13,165.6699981689453
2022-09-14,174.1699981689453
2022-09-15,172.10000610351562
2022-09-16,167.25
2022-09-19,168.5
2022-09-20,168.0500030517578
2022-09-21,165.49000549316406
2022-09-22,166.22000122070312
2022-09-23,155.17999267578125
2022-09-26,148.9499969482422
2022-09-27,152.57000732421875
2022-09-28,163.1699981689453
2022-09-29,164.30999755859375
2022-09-30,165.91000366210938
2022-10-03,167.3300018310547
2022-10-04,170.4199981689453
2022-10-05,171.44000244140625
2022-10-06,172.50999450683594
2022-10-07,174.0
2022-10-10,167.88999938964844
2022-10-11,168.13999938964844
2022-10-12,171.61000061035156
2022-10-13,178.1699981689453
2022-10-14,170.5500030517578
2022-10-17,171.60000610351562
2022-10-18,167.97000122070312
2022-10-19,170.75
2022-10-20,173.89999389648438
2022-10-21,175.7899932861328
2022-10-24,168.88999938964844
2022-10-25,169.27999877929688
2022-10-26,169.35000610351562
2022-10-27,174.1300048828125
2022-10-28,174.47999572753906
2022-10-31,176.41000366210938
2022-11-01,179.86000061035156
2022-11-02,178.6199951171875
2022-11-03,177.0500030517578
2022-11-04,171.77999877929688
2022-11-07,170.4600067138672
2022-11-08,173.3699951171875
2022-11-09,162.8699951171875
2022-11-10,167.32000732421875
2022-11-11,161.75999450683594
2022-11-14,164.5
2022-11-15,165.3699951171875
2022-11-16,167.61000061035156
2022-11-17,165.47999572753906
2022-11-18,167.75
2022-11-21,164.52999877929688
2022-11-22,172.47000122070312
2022-11-23,172.8000030517578
2022-11-25,173.0800018310547
