Date,A
2022-02-28,130.36000061035156
2022-03-01,131.92999267578125
2022-03-02,133.16000366210938
2022-03-03,137.1699981689453
2022-03-04,133.88999938964844
2022-03-07,130.33999633789062
2022-03-08,129.32000732421875
2022-03-09,133.25999450683594
2022-03-10,134.3300018310547
2022-03-11,130.30999755859375
2022-03-14,127.58000183105469
2022-03-15,130.27999877929688
2022-03-16,135.0
2022-03-17,136.82000732421875
2022-03-18,139.1199951171875
2022-03-21,138.13999938964844
2022-03-22,139.2899932861328
2022-03-23,134.17999267578125
2022-03-24,136.41000366210938
2022-03-25,135.7100067138672
2022-03-28,135.4199981689453
2022-03-29,138.4199981689453
2022-03-30,135.4600067138672
2022-03-31,132.3300018310547
2022-04-01,133.97000122070312
2022-04-04,134.80999755859375
2022-04-05,133.25999450683594
2022-04-06,132.7100067138672
2022-04-07,135.92999267578125
2022-04-08,134.8699951171875
2022-04-11,131.25999450683594
2022-04-12,125.38999938964844
2022-04-13,128.2899932861328
2022-04-14,126.44000244140625
2022-04-18,123.83999633789062
2022-04-19,126.52999877929688
2022-04-20,129.3699951171875
2022-04-21,125.29000091552734
2022-04-22,121.31999969482422
2022-04-25,121.44999694824219
2022-04-26,117.94000244140625
2022-04-27,117.68000030517578
2022-04-28,121.05999755859375
2022-04-29,119.2699966430664
2022-05-02,119.56999969482422
2022-05-03,122.4000015258789
2022-05-04,126.30000305175781
2022-05-05,122.1500015258789
2022-05-06,121.08000183105469
2022-05-09,113.11000061035156
2022-05-10,116.63999938964844
2022-05-11,113.98999786376953
2022-05-12,116.12999725341797
2022-05-13,119.37999725341797
2022-05-16,120.30000305175781
2022-05-17,123.08000183105469
2022-05-18,120.79000091552734
2022-05-19,122.4000015258789
2022-05-20,125.12999725341797
2022-05-23,125.9800033569336
2022-05-24,124.41000366210938
2022-05-25,120.37999725341797
2022-05-26,123.8499984741211
2022-05-27,130.5500030517578
2022-05-31,127.55999755859375
2022-06-01,123.08999633789062
2022-06-02,129.10000610351562
2022-06-03,128.49000549316406
2022-06-06,127.62999725341797
2022-06-07,128.89999389648438
2022-06-08,126.83999633789062
2022-06-09,124.13999938964844
2022-06-10,120.56999969482422
2022-06-13,116.27999877929688
2022-06-14,116.01000213623047
2022-06-15,116.47000122070312
2022-06-16,114.95999908447266
2022-06-17,112.70999908447266
2022-06-21,113.87999725341797
2022-06-22,113.80000305175781
2022-06-23,118.5999984741211
2022-06-24,121.29000091552734
2022-06-27,120.56999969482422
2022-06-28,117.05999755859375
2022-06-29,117.9000015258789
2022-06-30,118.7699966430664
2022-07-01,119.20999908447266
2022-07-05,120.55999755859375
2022-07-06,121.18000030517578
2022-07-07,123.1500015258789
2022-07-08,122.51000213623047
2022-07-11,123.12000274658203
2022-07-12,119.23999786376953
2022-07-13,118.6500015258789
2022-07-14,115.87999725341797
2022-07-15,118.83000183105469
2022-07-18,115.11000061035156
2022-07-19,119.05999755859375
2022-07-20,119.86000061035156
2022-07-21,127.19000244140625
2022-07-22,125.04000091552734
2022-07-25,124.26000213623047
2022-07-26,125.16999816894531
2022-07-27,127.70999908447266
2022-07-28,131.11000061035156
2022-07-29,134.10000610351562
2022-08-01,133.42999267578125
2022-08-02,131.27999877929688
2022-08-03,134.55999755859375
2022-08-04,133.77000427246094
2022-08-05,133.61000061035156
2022-08-08,132.52000427246094
2022-08-09,128.8800048828125
2022-08-10,132.5800018310547
2022-08-11,131.9499969482422
2022-08-12,133.5500030517578
2022-08-15,133.89999389648438
2022-08-16,132.77000427246094
2022-08-17,142.2899932861328
2022-08-18,139.97000122070312
2022-08-19,137.6199951171875
2022-08-22,133.94000244140625
2022-08-23,132.63999938964844
2022-08-24,133.6699981689453
2022-08-25,136.00999450683594
2022-08-26,129.8699951171875
2022-08-29,128.11000061035156
