Date,VRT
2022-02-28,13.020000457763672
2022-03-01,12.59000015258789
2022-03-02,12.0
2022-03-03,11.5
2022-03-04,10.569999694824219
2022-03-07,10.050000190734863
2022-03-08,10.1899995803833
2022-03-09,10.920000076293945
2022-03-10,11.390000343322754
2022-03-11,11.84000015258789
2022-03-14,11.130000114440918
2022-03-15,11.890000343322754
2022-03-16,12.319999694824219
2022-03-17,13.220000267028809
2022-03-18,13.399999618530273
2022-03-21,13.039999961853027
2022-03-22,13.420000076293945
2022-03-23,13.109999656677246
2022-03-24,12.779999732971191
2022-03-25,12.850000381469727
2022-03-28,13.050000190734863
2022-03-29,13.640000343322754
2022-03-30,13.710000038146973
2022-03-31,14.0
2022-04-01,14.579999923706055
2022-04-04,14.489999771118164
2022-04-05,13.850000381469727
2022-04-06,13.65999984741211
2022-04-07,13.470000267028809
2022-04-08,13.539999961853027
2022-04-11,12.960000038146973
2022-04-12,12.369999885559082
2022-04-13,13.119999885559082
2022-04-14,12.380000114440918
2022-04-18,12.0600004196167
2022-04-19,13.069999694824219
2022-04-20,12.899999618530273
2022-04-21,12.4399995803833
2022-04-22,11.630000114440918
2022-04-25,12.0600004196167
2022-04-26,11.539999961853027
2022-04-27,12.869999885559082
2022-04-28,12.760000228881836
2022-04-29,12.529999732971191
2022-05-02,12.609999656677246
2022-05-03,12.75
2022-05-04,13.289999961853027
2022-05-05,12.510000228881836
2022-05-06,12.210000038146973
2022-05-09,11.15999984741211
2022-05-10,10.050000190734863
2022-05-11,10.170000076293945
2022-05-12,10.4399995803833
2022-05-13,11.300000190734863
2022-05-16,10.789999961853027
2022-05-17,11.40999984741211
2022-05-18,10.920000076293945
2022-05-19,10.979999542236328
2022-05-20,10.84000015258789
2022-05-23,10.789999961853027
2022-05-24,10.25
2022-05-25,10.239999771118164
2022-05-26,10.859999656677246
2022-05-27,11.4399995803833
2022-05-31,10.989999771118164
2022-06-01,10.34000015258789
2022-06-02,10.859999656677246
2022-06-03,10.869999885559082
2022-06-06,11.020000457763672
2022-06-07,11.40999984741211
2022-06-08,10.949999809265137
2022-06-09,10.489999771118164
2022-06-10,10.09000015258789
2022-06-13,9.40999984741211
2022-06-14,9.359999656677246
2022-06-15,9.6899995803833
2022-06-16,9.039999961853027
2022-06-17,9.180000305175781
2022-06-21,9.1899995803833
2022-06-22,9.1899995803833
2022-06-23,9.420000076293945
2022-06-24,10.229999542236328
2022-06-27,10.0
2022-06-28,9.59000015258789
2022-06-29,8.9399995803833
2022-06-30,8.220000267028809
2022-07-01,8.289999961853027
2022-07-05,8.600000381469727
2022-07-06,8.640000343322754
2022-07-07,9.170000076293945
2022-07-08,9.029999732971191
2022-07-11,8.680000305175781
2022-07-12,8.680000305175781
2022-07-13,8.390000343322754
2022-07-14,8.430000305175781
2022-07-15,8.9399995803833
2022-07-18,8.789999961853027
2022-07-19,9.510000228881836
2022-07-20,10.170000076293945
2022-07-21,10.369999885559082
2022-07-22,10.609999656677246
2022-07-25,10.460000038146973
2022-07-26,10.25
2022-07-27,10.5
2022-07-28,10.979999542236328
2022-07-29,11.420000076293945
2022-08-01,11.449999809265137
2022-08-02,11.770000457763672
2022-08-03,11.989999771118164
2022-08-04,13.170000076293945
2022-08-05,12.829999923706055
2022-08-08,12.970000267028809
2022-08-09,12.15999984741211
2022-08-10,12.960000038146973
2022-08-11,12.829999923706055
2022-08-12,13.520000457763672
2022-08-15,13.34000015258789
2022-08-16,13.390000343322754
2022-08-17,13.109999656677246
2022-08-18,13.0600004196167
2022-08-19,12.329999923706055
2022-08-22,12.050000190734863
2022-08-23,12.050000190734863
2022-08-24,12.210000038146973
2022-08-25,12.510000228881836
2022-08-26,11.829999923706055
2022-08-29,11.880000114440918
2022-08-30,11.75
2022-08-31,11.529999732971191
2022-09-01,11.489999771118164
2022-09-02,11.210000038146973
2022-09-06,11.180000305175781
2022-09-07,11.710000038146973
2022-09-08,12.229999542236328
2022-09-09,13.369999885559082
2022-09-12,13.430000305175781
2022-09-13,12.720000267028809
2022-09-14,13.0600004196167
2022-09-15,13.020000457763672
2022-09-16,12.329999923706055
2022-09-19,12.510000228881836
2022-09-20,12.199999809265137
2022-09-21,11.75
2022-09-22,11.029999732971191
2022-09-23,9.949999809265137
2022-09-26,9.789999961853027
2022-09-27,9.680000305175781
2022-09-28,10.34000015258789
2022-09-29,9.6899995803833
2022-09-30,9.720000267028809
2022-10-03,11.25
2022-10-04,11.960000038146973
2022-10-05,11.989999771118164
2022-10-06,11.859999656677246
2022-10-07,10.949999809265137
2022-10-10,11.239999771118164
2022-10-11,11.079999923706055
2022-10-12,10.90999984741211
2022-10-13,10.880000114440918
2022-10-14,10.220000267028809
2022-10-17,10.859999656677246
2022-10-18,11.479999542236328
2022-10-19,11.399999618530273
2022-10-20,12.369999885559082
2022-10-21,13.210000038146973
2022-10-24,13.779999732971191
2022-10-25,14.130000114440918
2022-10-26,14.600000381469727
2022-10-27,14.789999961853027
2022-10-28,14.960000038146973
2022-10-31,14.3100004196167
2022-11-01,14.84000015258789
2022-11-02,14.079999923706055
2022-11-03,13.920000076293945
2022-11-04,14.180000305175781
2022-11-07,14.600000381469727
2022-11-08,14.65999984741211
2022-11-09,14.640000343322754
2022-11-10,15.279999732971191
2022-11-11,15.359999656677246
2022-11-14,14.930000305175781
2022-11-15,14.699999809265137
2022-11-16,13.880000114440918
2022-11-17,13.989999771118164
2022-11-18,13.84000015258789
2022-11-21,14.029999732971191
2022-11-22,13.8100004196167
2022-11-23,13.859999656677246
2022-11-25,13.739999771118164
