Date,NKE
2022-11-25,105.95999908447266
2022-11-28,104.95999908447266
2022-11-29,106.25
2022-11-30,109.69000244140625
2022-12-01,111.11000061035156
2022-12-02,112.19999694824219
2022-12-05,109.62000274658203
2022-12-06,107.93000030517578
2022-12-07,108.33000183105469
2022-12-08,111.36000061035156
2022-12-09,109.41999816894531
2022-12-12,112.06999969482422
2022-12-13,112.8499984741211
2022-12-14,111.44999694824219
2022-12-15,108.51000213623047
2022-12-16,105.94999694824219
2022-12-19,103.05000305175781
2022-12-20,103.20999908447266
2022-12-21,115.77999877929688
2022-12-22,116.70999908447266
2022-12-23,116.25
2022-12-27,117.55999755859375
2022-12-28,114.9800033569336
2022-12-29,117.3499984741211
2022-12-30,117.01000213623047
2023-01-03,118.75
2023-01-04,121.20999908447266
2023-01-05,120.62000274658203
