Date,RJF
2022-02-28,109.6500015258789
2022-03-01,102.68000030517578
2022-03-02,105.79000091552734
2022-03-03,103.93000030517578
2022-03-04,99.88999938964844
2022-03-07,94.79000091552734
2022-03-08,92.95999908447266
2022-03-09,95.87999725341797
2022-03-10,96.29000091552734
2022-03-11,96.12999725341797
2022-03-14,98.44999694824219
2022-03-15,99.47000122070312
2022-03-16,103.79000091552734
2022-03-17,104.7300033569336
2022-03-18,105.77999877929688
2022-03-21,105.77999877929688
2022-03-22,107.5999984741211
2022-03-23,105.69999694824219
2022-03-24,107.1500015258789
2022-03-25,109.31999969482422
2022-03-28,111.31999969482422
2022-03-29,112.7300033569336
2022-03-30,111.98999786376953
2022-03-31,109.91000366210938
2022-04-01,108.94000244140625
2022-04-04,107.86000061035156
2022-04-05,108.72000122070312
2022-04-06,106.88999938964844
2022-04-07,106.54000091552734
2022-04-08,108.62000274658203
2022-04-11,108.0999984741211
2022-04-12,108.18000030517578
2022-04-13,111.63999938964844
2022-04-14,111.80000305175781
2022-04-18,110.91999816894531
2022-04-19,113.05000305175781
2022-04-20,113.79000091552734
2022-04-21,109.76000213623047
2022-04-22,103.5199966430664
2022-04-25,103.97000122070312
2022-04-26,100.02999877929688
2022-04-27,100.41999816894531
2022-04-28,104.04000091552734
2022-04-29,97.45999908447266
2022-05-02,98.43000030517578
2022-05-03,100.3499984741211
2022-05-04,103.2300033569336
2022-05-05,99.2699966430664
2022-05-06,97.22000122070312
2022-05-09,93.62999725341797
2022-05-10,93.73999786376953
2022-05-11,92.94999694824219
2022-05-12,92.0
2022-05-13,94.98999786376953
2022-05-16,94.1500015258789
2022-05-17,96.91999816894531
2022-05-18,91.98999786376953
2022-05-19,91.54000091552734
2022-05-20,91.7699966430664
2022-05-23,94.19000244140625
2022-05-24,93.12000274658203
2022-05-25,93.0999984741211
2022-05-26,96.12999725341797
2022-05-27,99.19000244140625
2022-05-31,98.48999786376953
2022-06-01,97.73999786376953
2022-06-02,98.36000061035156
2022-06-03,95.97000122070312
2022-06-06,97.36000061035156
2022-06-07,98.6500015258789
2022-06-08,96.48999786376953
2022-06-09,93.58999633789062
2022-06-10,89.3499984741211
2022-06-13,85.44999694824219
2022-06-14,86.77999877929688
2022-06-15,87.9800033569336
2022-06-16,86.48999786376953
2022-06-17,87.5
2022-06-21,90.01000213623047
2022-06-22,88.66999816894531
2022-06-23,87.80999755859375
2022-06-24,92.5
2022-06-27,92.58999633789062
2022-06-28,91.83999633789062
2022-06-29,90.2300033569336
2022-06-30,89.41000366210938
2022-07-01,89.08999633789062
2022-07-05,90.69000244140625
2022-07-06,89.55999755859375
2022-07-07,90.7300033569336
2022-07-08,90.68000030517578
2022-07-11,89.94000244140625
2022-07-12,89.66000366210938
2022-07-13,89.26000213623047
2022-07-14,87.30000305175781
2022-07-15,90.18000030517578
2022-07-18,89.58000183105469
2022-07-19,93.72000122070312
2022-07-20,95.48999786376953
2022-07-21,96.44999694824219
2022-07-22,95.7300033569336
2022-07-25,96.94000244140625
2022-07-26,94.25
2022-07-27,95.87000274658203
2022-07-28,95.37999725341797
2022-07-29,98.47000122070312
2022-08-01,98.66000366210938
2022-08-02,98.01000213623047
2022-08-03,100.11000061035156
2022-08-04,100.33000183105469
2022-08-05,102.30000305175781
2022-08-08,101.95999908447266
2022-08-09,103.63999938964844
2022-08-10,106.05999755859375
2022-08-11,107.44000244140625
2022-08-12,109.33999633789062
2022-08-15,110.0199966430664
2022-08-16,110.83000183105469
2022-08-17,110.80000305175781
2022-08-18,110.9800033569336
2022-08-19,108.88999938964844
2022-08-22,106.0999984741211
2022-08-23,106.5
2022-08-24,107.16000366210938
2022-08-25,108.70999908447266
2022-08-26,106.77999877929688
2022-08-29,105.58000183105469
2022-08-30,104.5199966430664
2022-08-31,104.37000274658203
2022-09-01,104.55999755859375
2022-09-02,103.5
2022-09-06,103.4000015258789
2022-09-07,105.7300033569336
2022-09-08,107.44999694824219
2022-09-09,108.41999816894531
2022-09-12,109.80000305175781
2022-09-13,107.04000091552734
2022-09-14,107.25
2022-09-15,107.93000030517578
2022-09-16,106.8499984741211
2022-09-19,109.47000122070312
2022-09-20,108.4000015258789
2022-09-21,106.9800033569336
2022-09-22,105.41999816894531
2022-09-23,101.97000122070312
2022-09-26,100.73999786376953
2022-09-27,100.0
2022-09-28,100.97000122070312
2022-09-29,98.27999877929688
2022-09-30,98.81999969482422
2022-10-03,101.41999816894531
2022-10-04,107.5199966430664
2022-10-05,108.13999938964844
2022-10-06,108.22000122070312
2022-10-07,107.12000274658203
2022-10-10,107.3499984741211
2022-10-11,104.62999725341797
2022-10-12,103.30999755859375
2022-10-13,106.5199966430664
2022-10-14,100.58999633789062
2022-10-17,100.87000274658203
2022-10-18,102.76000213623047
2022-10-19,100.0
2022-10-20,98.05999755859375
2022-10-21,100.98999786376953
2022-10-24,102.19999694824219
2022-10-25,104.77999877929688
2022-10-26,106.91999816894531
2022-10-27,113.95999908447266
2022-10-28,119.23999786376953
2022-10-31,118.13999938964844
2022-11-01,117.80999755859375
2022-11-02,117.37999725341797
2022-11-03,118.0199966430664
2022-11-04,120.44000244140625
2022-11-07,121.5
2022-11-08,123.05000305175781
2022-11-09,121.5199966430664
2022-11-10,123.9800033569336
2022-11-11,123.4000015258789
2022-11-14,121.83999633789062
2022-11-15,122.86000061035156
2022-11-16,120.52999877929688
2022-11-17,119.55999755859375
2022-11-18,121.58999633789062
2022-11-21,123.05000305175781
2022-11-22,123.5199966430664
2022-11-23,120.37000274658203
