Date,CAVA
2023-06-16,38.150001525878906
2023-06-20,38.43000030517578
2023-06-21,38.34000015258789
2023-06-22,39.15999984741211
2023-06-23,40.150001525878906
2023-06-26,42.59000015258789
2023-06-27,45.54999923706055
2023-06-28,42.209999084472656
2023-06-29,43.529998779296875
2023-06-30,40.95000076293945
2023-07-03,39.47999954223633
2023-07-05,38.040000915527344
2023-07-06,39.20000076293945
2023-07-07,39.619998931884766
2023-07-10,44.0
2023-07-11,45.45000076293945
2023-07-12,52.0099983215332
2023-07-13,47.68000030517578
2023-07-14,47.66999816894531
2023-07-17,47.619998931884766
2023-07-18,51.02000045776367
2023-07-19,48.52000045776367
2023-07-20,49.560001373291016
2023-07-21,48.779998779296875
2023-07-24,53.279998779296875
2023-07-25,51.849998474121094
2023-07-26,51.630001068115234
2023-07-27,49.880001068115234
2023-07-28,52.90999984741211
2023-07-31,57.11000061035156
2023-08-01,56.9900016784668
2023-08-02,55.31999969482422
2023-08-03,55.68000030517578
2023-08-04,53.439998626708984
2023-08-07,52.959999084472656
2023-08-08,50.5099983215332
2023-08-09,48.060001373291016
2023-08-10,48.09000015258789
2023-08-11,48.47999954223633
2023-08-14,47.849998474121094
2023-08-15,46.38999938964844
2023-08-16,46.93000030517578
2023-08-17,42.369998931884766
2023-08-18,43.11000061035156
2023-08-21,41.689998626708984
2023-08-22,42.75
2023-08-23,44.84000015258789
2023-08-24,42.650001525878906
2023-08-25,41.619998931884766
2023-08-28,41.93000030517578
2023-08-29,44.599998474121094
2023-08-30,45.5
2023-08-31,44.40999984741211
2023-09-01,43.81999969482422
2023-09-05,42.150001525878906
2023-09-06,42.529998779296875
2023-09-07,41.0099983215332
2023-09-08,39.18000030517578
2023-09-11,37.560001373291016
2023-09-12,35.9900016784668
2023-09-13,35.63999938964844
2023-09-14,36.060001373291016
2023-09-15,35.41999816894531
2023-09-18,34.36000061035156
2023-09-19,33.29999923706055
2023-09-20,31.729999542236328
2023-09-21,30.389999389648438
2023-09-22,30.889999389648438
2023-09-25,32.41999816894531
2023-09-26,32.290000915527344
2023-09-27,31.420000076293945
2023-09-28,31.190000534057617
2023-09-29,30.6299991607666
2023-10-02,31.0
2023-10-03,29.979999542236328
2023-10-04,31.260000228881836
2023-10-05,30.6299991607666
2023-10-06,31.610000610351562
2023-10-09,31.40999984741211
2023-10-10,32.08000183105469
2023-10-11,32.54999923706055
2023-10-12,31.510000228881836
2023-10-13,33.13999938964844
2023-10-16,33.97999954223633
2023-10-17,35.060001373291016
2023-10-18,33.779998779296875
2023-10-19,33.619998931884766
2023-10-20,33.0
2023-10-23,33.25
2023-10-24,33.900001525878906
2023-10-25,32.189998626708984
2023-10-26,31.139999389648438
2023-10-27,31.6299991607666
2023-10-30,31.079999923706055
2023-10-31,31.59000015258789
2023-11-01,31.950000762939453
2023-11-02,34.04999923706055
2023-11-03,35.91999816894531
2023-11-06,34.18000030517578
2023-11-07,33.70000076293945
2023-11-08,31.100000381469727
2023-11-09,31.530000686645508
2023-11-10,31.06999969482422
2023-11-13,31.360000610351562
2023-11-14,32.16999816894531
2023-11-15,33.83000183105469
2023-11-16,34.279998779296875
2023-11-17,34.119998931884766
2023-11-20,33.880001068115234
2023-11-21,33.40999984741211
2023-11-22,33.380001068115234
2023-11-24,34.27000045776367
2023-11-27,33.59000015258789
2023-11-28,33.59000015258789
2023-11-29,34.0
2023-11-30,34.0099983215332
2023-12-01,36.220001220703125
2023-12-04,36.13999938964844
2023-12-05,36.060001373291016
2023-12-06,36.369998931884766
2023-12-07,33.34000015258789
2023-12-08,32.2400016784668
2023-12-11,32.4900016784668
2023-12-12,38.869998931884766
2023-12-13,41.25
2023-12-14,40.619998931884766
2023-12-15,40.040000915527344
2023-12-18,41.4900016784668
2023-12-19,40.959999084472656
2023-12-20,41.099998474121094
2023-12-21,42.7599983215332
2023-12-22,41.91999816894531
2023-12-26,43.79999923706055
2023-12-27,44.439998626708984
2023-12-28,44.630001068115234
2023-12-29,42.97999954223633
2024-01-02,40.869998931884766
2024-01-03,39.470001220703125
2024-01-04,40.66999816894531
2024-01-05,41.150001525878906
2024-01-08,42.560001373291016
2024-01-09,42.52000045776367
2024-01-10,42.27000045776367
2024-01-11,42.939998626708984
2024-01-12,42.91999816894531
2024-01-16,43.70000076293945
2024-01-17,43.970001220703125
2024-01-18,45.470001220703125
2024-01-19,46.25
2024-01-22,47.86000061035156
2024-01-23,47.29999923706055
2024-01-24,47.84000015258789
2024-01-25,45.88999938964844
2024-01-26,45.79999923706055
2024-01-29,47.63999938964844
2024-01-30,47.689998626708984
2024-01-31,46.79999923706055
2024-02-01,49.40999984741211
2024-02-02,49.93000030517578
2024-02-05,49.099998474121094
2024-02-06,49.79999923706055
2024-02-07,51.349998474121094
2024-02-08,52.77000045776367
2024-02-09,52.880001068115234
2024-02-12,53.68000030517578
2024-02-13,53.220001220703125
2024-02-14,53.970001220703125
2024-02-15,54.70000076293945
2024-02-16,54.630001068115234
2024-02-20,54.18000030517578
2024-02-21,48.5099983215332
2024-02-22,50.0
2024-02-23,51.0
2024-02-26,50.5
2024-02-27,56.65999984741211
2024-02-28,56.900001525878906
2024-02-29,58.40999984741211
2024-03-01,58.29999923706055
2024-03-04,57.970001220703125
2024-03-05,57.36000061035156
2024-03-06,59.25
2024-03-07,61.720001220703125
2024-03-08,63.34000015258789
2024-03-11,62.779998779296875
2024-03-12,65.83999633789062
2024-03-13,65.44000244140625
2024-03-14,63.70000076293945
2024-03-15,64.16000366210938
2024-03-18,62.04999923706055
