Date,ALL
2022-02-28,122.36000061035156
2022-03-01,119.86000061035156
2022-03-02,123.87999725341797
2022-03-03,125.68000030517578
2022-03-04,127.55000305175781
2022-03-07,125.16999816894531
2022-03-08,122.02999877929688
2022-03-09,122.41999816894531
2022-03-10,122.91000366210938
2022-03-11,123.37999725341797
2022-03-14,125.87999725341797
2022-03-15,127.12999725341797
2022-03-16,126.48999786376953
2022-03-17,130.9199981689453
2022-03-18,133.5
2022-03-21,134.52999877929688
2022-03-22,137.0399932861328
2022-03-23,137.0500030517578
2022-03-24,138.75
2022-03-25,141.8000030517578
2022-03-28,140.60000610351562
2022-03-29,139.58999633789062
2022-03-30,140.38999938964844
2022-03-31,138.50999450683594
2022-04-01,139.5399932861328
2022-04-04,137.08999633789062
2022-04-05,137.24000549316406
2022-04-06,139.02000427246094
2022-04-07,140.41000366210938
2022-04-08,141.92999267578125
2022-04-11,142.89999389648438
2022-04-12,142.1199951171875
2022-04-13,141.8800048828125
2022-04-14,141.16000366210938
2022-04-18,139.72999572753906
2022-04-19,141.74000549316406
2022-04-20,143.86000061035156
2022-04-21,141.1300048828125
2022-04-22,132.07000732421875
2022-04-25,131.82000732421875
2022-04-26,128.97999572753906
2022-04-27,128.3699951171875
2022-04-28,130.33999633789062
2022-04-29,126.54000091552734
2022-05-02,127.7300033569336
2022-05-03,129.77999877929688
2022-05-04,133.67999267578125
2022-05-05,131.5800018310547
2022-05-06,130.55999755859375
2022-05-09,128.9600067138672
2022-05-10,129.58999633789062
2022-05-11,128.5500030517578
2022-05-12,127.55000305175781
2022-05-13,128.19000244140625
2022-05-16,127.25
2022-05-17,129.2100067138672
2022-05-18,128.00999450683594
2022-05-19,125.79000091552734
2022-05-20,123.02999877929688
2022-05-23,125.66000366210938
2022-05-24,128.8300018310547
2022-05-25,130.9499969482422
2022-05-26,133.69000244140625
2022-05-27,136.88999938964844
2022-05-31,136.69000244140625
2022-06-01,134.6999969482422
2022-06-02,134.14999389648438
2022-06-03,131.97000122070312
2022-06-06,132.35000610351562
2022-06-07,132.5399932861328
2022-06-08,131.05999755859375
2022-06-09,127.86000061035156
2022-06-10,124.58999633789062
2022-06-13,123.0999984741211
2022-06-14,121.98999786376953
2022-06-15,121.66999816894531
2022-06-16,119.52999877929688
2022-06-17,120.55999755859375
2022-06-21,121.80000305175781
2022-06-22,122.06999969482422
2022-06-23,121.80999755859375
2022-06-24,127.16000366210938
2022-06-27,126.19000244140625
2022-06-28,125.69999694824219
2022-06-29,125.41999816894531
2022-06-30,126.7300033569336
2022-07-01,130.6999969482422
2022-07-05,128.89999389648438
2022-07-06,131.13999938964844
2022-07-07,131.1999969482422
2022-07-08,130.8699951171875
2022-07-11,130.3300018310547
2022-07-12,128.02999877929688
2022-07-13,126.86000061035156
2022-07-14,120.91999816894531
2022-07-15,122.4000015258789
2022-07-18,119.7699966430664
2022-07-19,122.62999725341797
2022-07-20,122.33999633789062
2022-07-21,115.9000015258789
2022-07-22,116.19999694824219
2022-07-25,116.72000122070312
2022-07-26,115.12000274658203
2022-07-27,116.9800033569336
2022-07-28,115.73999786376953
2022-07-29,116.97000122070312
2022-08-01,116.16000366210938
2022-08-02,115.69999694824219
2022-08-03,115.05999755859375
2022-08-04,113.91999816894531
2022-08-05,117.0
2022-08-08,118.29000091552734
2022-08-09,119.73999786376953
2022-08-10,123.79000091552734
2022-08-11,126.94000244140625
2022-08-12,129.44000244140625
2022-08-15,127.76000213623047
2022-08-16,129.72999572753906
2022-08-17,132.0399932861328
2022-08-18,133.02000427246094
2022-08-19,130.1999969482422
2022-08-22,125.55000305175781
2022-08-23,125.5
2022-08-24,126.95999908447266
2022-08-25,128.0
2022-08-26,125.05000305175781
2022-08-29,124.08999633789062
2022-08-30,122.33999633789062
2022-08-31,120.5
2022-09-01,121.38999938964844
2022-09-02,121.4800033569336
2022-09-06,121.48999786376953
2022-09-07,125.12000274658203
2022-09-08,126.93000030517578
2022-09-09,126.44000244140625
2022-09-12,127.0999984741211
2022-09-13,122.54000091552734
2022-09-14,124.0
2022-09-15,129.02000427246094
2022-09-16,129.4199981689453
2022-09-19,132.0800018310547
2022-09-20,130.0800018310547
2022-09-21,127.8499984741211
2022-09-22,127.97000122070312
2022-09-23,127.62000274658203
2022-09-26,123.93000030517578
2022-09-27,123.81999969482422
2022-09-28,126.41000366210938
2022-09-29,126.12999725341797
2022-09-30,124.52999877929688
2022-10-03,128.27999877929688
2022-10-04,132.80999755859375
2022-10-05,133.0
2022-10-06,130.5399932861328
2022-10-07,130.63999938964844
2022-10-10,131.38999938964844
2022-10-11,132.97000122070312
2022-10-12,131.1300048828125
2022-10-13,134.9600067138672
2022-10-14,132.44000244140625
2022-10-17,133.5
2022-10-18,137.3800048828125
2022-10-19,135.14999389648438
2022-10-20,117.70999908447266
2022-10-21,120.08000183105469
2022-10-24,124.87000274658203
2022-10-25,124.6500015258789
2022-10-26,124.2699966430664
2022-10-27,122.56999969482422
2022-10-28,126.38999938964844
2022-10-31,126.25
2022-11-01,125.75
2022-11-02,123.33999633789062
2022-11-03,123.95999908447266
2022-11-04,129.1199951171875
2022-11-07,128.82000732421875
2022-11-08,130.25999450683594
2022-11-09,127.94000244140625
2022-11-10,130.19000244140625
2022-11-11,132.08999633789062
2022-11-14,129.0399932861328
2022-11-15,132.02999877929688
2022-11-16,132.30999755859375
2022-11-17,134.61000061035156
2022-11-18,132.74000549316406
2022-11-21,134.25999450683594
2022-11-22,133.8699951171875
2022-11-23,134.35000610351562
2022-11-25,135.4199981689453
