Date,MKL
2022-02-28,1242.9100341796875
2022-03-01,1226.6400146484375
2022-03-02,1258.2099609375
2022-03-03,1260.2099609375
2022-03-04,1259.239990234375
2022-03-07,1218.97998046875
2022-03-08,1218.31005859375
2022-03-09,1265.219970703125
2022-03-10,1281.8800048828125
2022-03-11,1301.6600341796875
2022-03-14,1355.510009765625
2022-03-15,1372.7900390625
2022-03-16,1383.719970703125
2022-03-17,1412.550048828125
2022-03-18,1429.0
2022-03-21,1444.6600341796875
2022-03-22,1463.969970703125
2022-03-23,1469.5
2022-03-24,1504.2099609375
2022-03-25,1502.5799560546875
2022-03-28,1487.2900390625
2022-03-29,1491.97998046875
2022-03-30,1492.8900146484375
2022-03-31,1475.239990234375
2022-04-01,1493.219970703125
2022-04-04,1476.2099609375
2022-04-05,1473.68994140625
2022-04-06,1495.530029296875
2022-04-07,1485.8299560546875
2022-04-08,1482.47998046875
2022-04-11,1477.199951171875
2022-04-12,1480.5899658203125
2022-04-13,1479.22998046875
2022-04-14,1475.0
2022-04-18,1478.8699951171875
2022-04-19,1471.739990234375
2022-04-20,1497.3900146484375
2022-04-21,1483.2099609375
2022-04-22,1464.6400146484375
2022-04-25,1451.3699951171875
2022-04-26,1424.719970703125
2022-04-27,1400.02001953125
2022-04-28,1397.8299560546875
2022-04-29,1353.280029296875
2022-05-02,1348.72998046875
2022-05-03,1343.4300537109375
2022-05-04,1368.7900390625
2022-05-05,1336.530029296875
2022-05-06,1329.02001953125
2022-05-09,1287.0699462890625
2022-05-10,1287.3900146484375
2022-05-11,1283.1800537109375
2022-05-12,1291.06005859375
2022-05-13,1325.449951171875
2022-05-16,1325.1099853515625
2022-05-17,1364.0699462890625
2022-05-18,1348.8900146484375
2022-05-19,1354.8699951171875
2022-05-20,1333.0799560546875
2022-05-23,1351.3399658203125
2022-05-24,1341.6600341796875
2022-05-25,1340.0
2022-05-26,1377.0699462890625
2022-05-27,1403.9100341796875
2022-05-31,1369.4300537109375
2022-06-01,1367.739990234375
2022-06-02,1388.43994140625
2022-06-03,1380.1600341796875
2022-06-06,1392.25
2022-06-07,1408.6700439453125
2022-06-08,1380.3599853515625
2022-06-09,1346.6300048828125
2022-06-10,1330.8900146484375
2022-06-13,1291.3399658203125
2022-06-14,1296.6500244140625
2022-06-15,1299.25
2022-06-16,1261.2099609375
2022-06-17,1282.199951171875
2022-06-21,1284.8299560546875
2022-06-22,1270.02001953125
2022-06-23,1270.5899658203125
2022-06-24,1292.8599853515625
2022-06-27,1303.8699951171875
2022-06-28,1297.8399658203125
2022-06-29,1285.9300537109375
2022-06-30,1293.25
2022-07-01,1321.8699951171875
2022-07-05,1295.77001953125
2022-07-06,1300.1099853515625
2022-07-07,1301.9300537109375
2022-07-08,1296.510009765625
2022-07-11,1305.0
2022-07-12,1305.9599609375
2022-07-13,1300.010009765625
2022-07-14,1243.4599609375
2022-07-15,1272.5699462890625
2022-07-18,1253.780029296875
2022-07-19,1276.010009765625
2022-07-20,1271.969970703125
2022-07-21,1274.2099609375
2022-07-22,1262.6800537109375
2022-07-25,1280.280029296875
2022-07-26,1283.06005859375
2022-07-27,1297.4000244140625
2022-07-28,1274.22998046875
2022-07-29,1297.1400146484375
2022-08-01,1277.0400390625
2022-08-02,1253.800048828125
2022-08-03,1215.0799560546875
2022-08-04,1181.8599853515625
2022-08-05,1167.93994140625
2022-08-08,1186.760009765625
2022-08-09,1177.5799560546875
2022-08-10,1199.6600341796875
2022-08-11,1217.8399658203125
2022-08-12,1227.6600341796875
2022-08-15,1230.469970703125
2022-08-16,1263.6199951171875
2022-08-17,1263.0400390625
2022-08-18,1271.8900146484375
