Date,BK
2022-02-28,53.150001525878906
2022-03-01,50.58000183105469
2022-03-02,52.13999938964844
2022-03-03,52.36000061035156
2022-03-04,50.91999816894531
2022-03-07,50.0099983215332
2022-03-08,50.72999954223633
2022-03-09,52.18000030517578
2022-03-10,50.0
2022-03-11,50.0
2022-03-14,50.529998779296875
2022-03-15,50.54999923706055
2022-03-16,51.90999984741211
2022-03-17,52.5099983215332
2022-03-18,52.29999923706055
2022-03-21,52.18000030517578
2022-03-22,52.689998626708984
2022-03-23,51.72999954223633
2022-03-24,52.040000915527344
2022-03-25,52.7400016784668
2022-03-28,52.5099983215332
2022-03-29,52.7400016784668
2022-03-30,51.84000015258789
2022-03-31,49.630001068115234
2022-04-01,49.45000076293945
2022-04-04,49.5099983215332
2022-04-05,48.959999084472656
2022-04-06,48.20000076293945
2022-04-07,47.7599983215332
2022-04-08,48.34000015258789
2022-04-11,48.06999969482422
2022-04-12,47.650001525878906
2022-04-13,48.34000015258789
2022-04-14,47.290000915527344
2022-04-18,46.209999084472656
2022-04-19,46.52000045776367
2022-04-20,47.02000045776367
2022-04-21,46.150001525878906
2022-04-22,44.209999084472656
2022-04-25,44.369998931884766
2022-04-26,43.2599983215332
2022-04-27,42.349998474121094
2022-04-28,43.459999084472656
2022-04-29,42.060001373291016
2022-05-02,42.70000076293945
2022-05-03,43.11000061035156
2022-05-04,44.79999923706055
2022-05-05,44.099998474121094
2022-05-06,43.7599983215332
2022-05-09,43.209999084472656
2022-05-10,42.959999084472656
2022-05-11,42.43000030517578
2022-05-12,42.810001373291016
2022-05-13,43.459999084472656
2022-05-16,43.2400016784668
2022-05-17,44.59000015258789
2022-05-18,43.290000915527344
2022-05-19,43.31999969482422
2022-05-20,43.77000045776367
2022-05-23,44.68000030517578
2022-05-24,44.34000015258789
2022-05-25,44.720001220703125
2022-05-26,45.65999984741211
2022-05-27,46.47999954223633
2022-05-31,46.61000061035156
2022-06-01,45.650001525878906
2022-06-02,46.470001220703125
2022-06-03,45.59000015258789
2022-06-06,45.95000076293945
2022-06-07,46.34000015258789
2022-06-08,45.34000015258789
2022-06-09,44.040000915527344
2022-06-10,42.790000915527344
2022-06-13,41.470001220703125
2022-06-14,40.599998474121094
2022-06-15,41.869998931884766
2022-06-16,41.209999084472656
2022-06-17,41.130001068115234
2022-06-21,42.31999969482422
2022-06-22,42.22999954223633
2022-06-23,42.0
2022-06-24,43.599998474121094
2022-06-27,43.060001373291016
2022-06-28,42.86000061035156
2022-06-29,42.40999984741211
2022-06-30,41.709999084472656
2022-07-01,42.41999816894531
2022-07-05,42.08000183105469
2022-07-06,41.58000183105469
2022-07-07,42.290000915527344
2022-07-08,41.88999938964844
2022-07-11,41.709999084472656
2022-07-12,41.77000045776367
2022-07-13,41.27000045776367
2022-07-14,40.439998626708984
2022-07-15,43.40999984741211
2022-07-18,42.77000045776367
2022-07-19,43.58000183105469
2022-07-20,43.130001068115234
2022-07-21,43.47999954223633
2022-07-22,42.720001220703125
2022-07-25,43.02000045776367
2022-07-26,42.11000061035156
2022-07-27,42.880001068115234
2022-07-28,43.029998779296875
2022-07-29,43.459999084472656
2022-08-01,43.290000915527344
2022-08-02,42.95000076293945
2022-08-03,43.709999084472656
2022-08-04,43.060001373291016
2022-08-05,43.5
2022-08-08,43.08000183105469
2022-08-09,43.189998626708984
2022-08-10,43.9900016784668
