Date,DLR
2022-02-28,134.9199981689453
2022-03-01,134.1199951171875
2022-03-02,135.30999755859375
2022-03-03,137.24000549316406
2022-03-04,139.24000549316406
2022-03-07,136.1199951171875
2022-03-08,133.49000549316406
2022-03-09,135.4499969482422
2022-03-10,135.2899932861328
2022-03-11,135.67999267578125
2022-03-14,132.58999633789062
2022-03-15,135.14999389648438
2022-03-16,136.07000732421875
2022-03-17,138.22000122070312
2022-03-18,138.99000549316406
2022-03-21,137.17999267578125
2022-03-22,138.4199981689453
2022-03-23,136.64999389648438
2022-03-24,137.64999389648438
2022-03-25,138.22999572753906
2022-03-28,140.88999938964844
2022-03-29,144.7100067138672
2022-03-30,144.16000366210938
2022-03-31,141.8000030517578
2022-04-01,145.89999389648438
2022-04-04,146.5500030517578
2022-04-05,146.41000366210938
2022-04-06,149.07000732421875
2022-04-07,148.1699981689453
2022-04-08,149.97999572753906
2022-04-11,145.47000122070312
2022-04-12,145.52000427246094
2022-04-13,147.14999389648438
2022-04-14,145.02000427246094
2022-04-18,145.0399932861328
2022-04-19,150.35000610351562
2022-04-20,152.6699981689453
2022-04-21,150.33999633789062
2022-04-22,149.75999450683594
2022-04-25,151.55999755859375
2022-04-26,149.61000061035156
2022-04-27,148.24000549316406
2022-04-28,151.5
2022-04-29,146.1199951171875
2022-05-02,141.27999877929688
2022-05-03,142.25999450683594
2022-05-04,144.66000366210938
2022-05-05,141.36000061035156
2022-05-06,141.0800018310547
2022-05-09,133.3800048828125
2022-05-10,126.5999984741211
2022-05-11,127.0
2022-05-12,127.11000061035156
2022-05-13,131.19000244140625
2022-05-16,128.41000366210938
2022-05-17,128.64999389648438
2022-05-18,125.29000091552734
2022-05-19,127.66999816894531
2022-05-20,131.10000610351562
2022-05-23,133.52000427246094
2022-05-24,136.6300048828125
2022-05-25,137.85000610351562
2022-05-26,136.7899932861328
2022-05-27,141.50999450683594
2022-05-31,139.58999633789062
2022-06-01,137.44000244140625
2022-06-02,138.3699951171875
2022-06-03,134.49000549316406
2022-06-06,134.91000366210938
2022-06-07,135.25999450683594
2022-06-08,132.85000610351562
2022-06-09,133.22000122070312
2022-06-10,131.36000061035156
2022-06-13,127.18000030517578
2022-06-14,124.56999969482422
2022-06-15,128.92999267578125
2022-06-16,125.30999755859375
2022-06-17,127.18000030517578
2022-06-21,128.13999938964844
2022-06-22,132.2899932861328
2022-06-23,136.63999938964844
2022-06-24,138.8000030517578
2022-06-27,137.25
2022-06-28,134.55999755859375
2022-06-29,127.4000015258789
2022-06-30,129.8300018310547
2022-07-01,131.5800018310547
2022-07-05,128.55999755859375
2022-07-06,128.39999389648438
2022-07-07,128.42999267578125
2022-07-08,126.33000183105469
2022-07-11,126.72000122070312
2022-07-12,124.3499984741211
2022-07-13,122.86000061035156
2022-07-14,121.02999877929688
2022-07-15,120.9800033569336
2022-07-18,119.98999786376953
2022-07-19,123.62999725341797
2022-07-20,123.31999969482422
2022-07-21,125.0999984741211
2022-07-22,127.41999816894531
2022-07-25,127.12000274658203
2022-07-26,127.51000213623047
2022-07-27,129.2100067138672
2022-07-28,136.92999267578125
2022-07-29,132.4499969482422
2022-08-01,130.5399932861328
2022-08-02,129.27000427246094
2022-08-03,129.3800048828125
2022-08-04,129.44000244140625
2022-08-05,129.47000122070312
2022-08-08,130.97999572753906
2022-08-09,130.17999267578125
2022-08-10,132.5
2022-08-11,129.02999877929688
2022-08-12,131.4199981689453
2022-08-15,133.10000610351562
2022-08-16,134.52999877929688
2022-08-17,132.2100067138672
2022-08-18,131.0500030517578
2022-08-19,130.35000610351562
2022-08-22,126.62000274658203
2022-08-23,125.19999694824219
2022-08-24,125.63999938964844
2022-08-25,128.49000549316406
2022-08-26,125.2699966430664
2022-08-29,123.97000122070312
2022-08-30,123.80999755859375
2022-08-31,123.62999725341797
2022-09-01,122.0
2022-09-02,118.27999877929688
2022-09-06,119.30000305175781
2022-09-07,121.94000244140625
2022-09-08,122.66000366210938
2022-09-09,124.44999694824219
2022-09-12,126.75
2022-09-13,120.16999816894531
