Date,WM
2022-02-28,144.39999389648438
2022-03-01,146.5800018310547
2022-03-02,150.16000366210938
2022-03-03,152.80999755859375
2022-03-04,157.82000732421875
2022-03-07,155.85000610351562
2022-03-08,147.9600067138672
2022-03-09,149.97999572753906
2022-03-10,151.4499969482422
2022-03-11,151.47000122070312
2022-03-14,154.4499969482422
2022-03-15,155.1699981689453
2022-03-16,154.5
2022-03-17,155.6300048828125
2022-03-18,155.6699981689453
2022-03-21,156.02999877929688
2022-03-22,154.8300018310547
2022-03-23,153.5500030517578
2022-03-24,155.0399932861328
2022-03-25,156.27999877929688
2022-03-28,158.16000366210938
2022-03-29,157.75
2022-03-30,159.4499969482422
2022-03-31,158.5
2022-04-01,159.80999755859375
2022-04-04,159.38999938964844
2022-04-05,160.58999633789062
2022-04-06,161.10000610351562
2022-04-07,163.77999877929688
2022-04-08,165.14999389648438
2022-04-11,164.16000366210938
2022-04-12,161.85000610351562
2022-04-13,159.74000549316406
2022-04-14,159.16000366210938
2022-04-18,158.00999450683594
2022-04-19,159.0800018310547
2022-04-20,160.58999633789062
2022-04-21,161.16000366210938
2022-04-22,157.50999450683594
2022-04-25,155.9600067138672
2022-04-26,164.14999389648438
2022-04-27,167.4499969482422
2022-04-28,169.64999389648438
2022-04-29,164.44000244140625
2022-05-02,159.0399932861328
2022-05-03,159.3300018310547
2022-05-04,162.3300018310547
2022-05-05,158.63999938964844
2022-05-06,161.77999877929688
2022-05-09,159.24000549316406
2022-05-10,156.9499969482422
2022-05-11,157.77999877929688
2022-05-12,155.47999572753906
2022-05-13,157.89999389648438
2022-05-16,157.42999267578125
2022-05-17,157.22999572753906
2022-05-18,153.05999755859375
2022-05-19,152.77000427246094
2022-05-20,154.5
2022-05-23,156.0800018310547
2022-05-24,157.60000610351562
2022-05-25,156.00999450683594
2022-05-26,157.99000549316406
2022-05-27,161.0
2022-05-31,158.50999450683594
2022-06-01,158.52999877929688
2022-06-02,159.3800048828125
2022-06-03,159.1199951171875
2022-06-06,157.94000244140625
2022-06-07,159.8000030517578
2022-06-08,157.05999755859375
2022-06-09,153.35000610351562
2022-06-10,151.41000366210938
2022-06-13,147.86000061035156
2022-06-14,145.6199951171875
2022-06-15,145.41000366210938
2022-06-16,142.33999633789062
2022-06-17,140.64999389648438
2022-06-21,143.99000549316406
2022-06-22,144.91000366210938
2022-06-23,147.19000244140625
2022-06-24,150.30999755859375
2022-06-27,149.52999877929688
2022-06-28,148.8800048828125
2022-06-29,151.25
2022-06-30,152.97999572753906
2022-07-01,155.64999389648438
2022-07-05,151.6999969482422
2022-07-06,154.55999755859375
2022-07-07,153.55999755859375
2022-07-08,152.75999450683594
2022-07-11,152.5800018310547
2022-07-12,151.02999877929688
2022-07-13,150.42999267578125
2022-07-14,151.07000732421875
2022-07-15,152.00999450683594
2022-07-18,149.27000427246094
2022-07-19,152.13999938964844
2022-07-20,152.75
2022-07-21,155.25
2022-07-22,154.92999267578125
2022-07-25,155.89999389648438
2022-07-26,155.00999450683594
2022-07-27,159.3000030517578
2022-07-28,164.57000732421875
2022-07-29,164.55999755859375
2022-08-01,163.36000061035156
2022-08-02,163.3300018310547
2022-08-03,166.17999267578125
2022-08-04,169.1300048828125
2022-08-05,168.8300018310547
2022-08-08,169.5
2022-08-09,169.89999389648438
2022-08-10,170.07000732421875
2022-08-11,169.74000549316406
2022-08-12,171.74000549316406
2022-08-15,172.6999969482422
2022-08-16,174.80999755859375
2022-08-17,175.2899932861328
2022-08-18,174.99000549316406
2022-08-19,174.32000732421875
2022-08-22,174.24000549316406
2022-08-23,173.42999267578125
2022-08-24,173.47999572753906
2022-08-25,174.6300048828125
2022-08-26,171.50999450683594
2022-08-29,171.72999572753906
2022-08-30,170.72999572753906
2022-08-31,169.02999877929688
2022-09-01,170.0399932861328
2022-09-02,168.4499969482422
2022-09-06,169.16000366210938
2022-09-07,173.72999572753906
2022-09-08,173.5800018310547
2022-09-09,173.39999389648438
2022-09-12,173.7100067138672
2022-09-13,171.2100067138672
2022-09-14,171.72999572753906
2022-09-15,171.02999877929688
2022-09-16,169.33999633789062
2022-09-19,170.91000366210938
2022-09-20,169.6999969482422
2022-09-21,168.88999938964844
2022-09-22,166.8699951171875
2022-09-23,165.74000549316406
2022-09-26,165.22000122070312
2022-09-27,163.22000122070312
2022-09-28,164.6699981689453
2022-09-29,161.91000366210938
2022-09-30,160.2100067138672
2022-10-03,165.08999633789062
2022-10-04,168.17999267578125
2022-10-05,166.6300048828125
2022-10-06,159.39999389648438
2022-10-07,155.24000549316406
2022-10-10,155.5
2022-10-11,156.27000427246094
2022-10-12,154.35000610351562
2022-10-13,157.3800048828125
2022-10-14,154.72999572753906
2022-10-17,157.82000732421875
2022-10-18,161.1199951171875
2022-10-19,161.5
2022-10-20,159.27999877929688
2022-10-21,159.8300018310547
2022-10-24,162.69000244140625
2022-10-25,165.0500030517578
2022-10-26,159.97000122070312
2022-10-27,158.3000030517578
2022-10-28,157.91000366210938
2022-10-31,158.3699951171875
2022-11-01,156.52000427246094
2022-11-02,155.22000122070312
2022-11-03,157.1300048828125
2022-11-04,155.77000427246094
2022-11-07,157.35000610351562
2022-11-08,159.63999938964844
2022-11-09,158.1999969482422
2022-11-10,161.22000122070312
2022-11-11,158.16000366210938
2022-11-14,157.58999633789062
2022-11-15,157.08999633789062
2022-11-16,158.0800018310547
2022-11-17,159.08999633789062
2022-11-18,161.17999267578125
2022-11-21,162.8000030517578
2022-11-22,163.24000549316406
2022-11-23,164.00999450683594
2022-11-25,164.4600067138672
2022-11-28,164.58999633789062
2022-11-29,165.0800018310547
2022-11-30,167.72000122070312
2022-12-01,167.82000732421875
2022-12-02,169.80999755859375
2022-12-05,167.7899932861328
2022-12-06,165.55999755859375
2022-12-07,165.2100067138672
2022-12-08,166.00999450683594
2022-12-09,166.8300018310547
2022-12-12,166.7899932861328
2022-12-13,166.75
2022-12-14,166.5399932861328
2022-12-15,163.3699951171875
2022-12-16,161.7899932861328
2022-12-19,157.58999633789062
2022-12-20,157.7899932861328
2022-12-21,159.27000427246094
2022-12-22,157.72999572753906
2022-12-23,159.2100067138672
2022-12-27,159.5
