Date,AMH
2022-02-28,38.0099983215332
2022-03-01,37.52000045776367
2022-03-02,38.5
2022-03-03,38.689998626708984
2022-03-04,39.38999938964844
2022-03-07,39.06999969482422
2022-03-08,39.189998626708984
2022-03-09,39.33000183105469
2022-03-10,39.15999984741211
2022-03-11,38.52000045776367
2022-03-14,37.900001525878906
2022-03-15,38.380001068115234
2022-03-16,38.619998931884766
2022-03-17,39.209999084472656
2022-03-18,39.529998779296875
2022-03-21,39.189998626708984
2022-03-22,38.630001068115234
2022-03-23,38.04999923706055
2022-03-24,38.4900016784668
2022-03-25,39.060001373291016
2022-03-28,39.54999923706055
2022-03-29,40.7400016784668
2022-03-30,40.7599983215332
2022-03-31,40.029998779296875
2022-04-01,40.849998474121094
2022-04-04,40.13999938964844
2022-04-05,40.189998626708984
2022-04-06,40.709999084472656
2022-04-07,41.040000915527344
2022-04-08,40.779998779296875
2022-04-11,40.56999969482422
2022-04-12,41.060001373291016
2022-04-13,41.52000045776367
2022-04-14,41.54999923706055
2022-04-18,41.54999923706055
2022-04-19,43.0
2022-04-20,43.349998474121094
2022-04-21,43.08000183105469
2022-04-22,42.47999954223633
2022-04-25,41.209999084472656
2022-04-26,40.88999938964844
2022-04-27,40.790000915527344
2022-04-28,41.11000061035156
2022-04-29,39.61000061035156
2022-05-02,38.369998931884766
2022-05-03,38.29999923706055
2022-05-04,38.29999923706055
2022-05-05,37.36000061035156
2022-05-06,37.40999984741211
2022-05-09,35.560001373291016
2022-05-10,35.689998626708984
2022-05-11,35.540000915527344
2022-05-12,35.93000030517578
2022-05-13,37.5
2022-05-16,37.09000015258789
2022-05-17,37.79999923706055
2022-05-18,36.63999938964844
2022-05-19,36.290000915527344
2022-05-20,36.56999969482422
2022-05-23,36.959999084472656
2022-05-24,37.540000915527344
2022-05-25,37.63999938964844
2022-05-26,37.2400016784668
2022-05-27,38.189998626708984
2022-05-31,36.959999084472656
2022-06-01,37.43000030517578
2022-06-02,38.0099983215332
2022-06-03,37.43000030517578
2022-06-06,37.29999923706055
2022-06-07,38.09000015258789
2022-06-08,37.13999938964844
2022-06-09,36.29999923706055
2022-06-10,35.939998626708984
2022-06-13,33.59000015258789
2022-06-14,32.939998626708984
2022-06-15,33.4900016784668
2022-06-16,32.91999816894531
2022-06-17,33.0
2022-06-21,33.2400016784668
2022-06-22,33.65999984741211
2022-06-23,34.59000015258789
2022-06-24,35.22999954223633
2022-06-27,35.4900016784668
2022-06-28,35.560001373291016
2022-06-29,35.45000076293945
2022-06-30,35.439998626708984
2022-07-01,35.54999923706055
2022-07-05,35.529998779296875
2022-07-06,35.849998474121094
2022-07-07,35.970001220703125
2022-07-08,35.83000183105469
2022-07-11,35.88999938964844
2022-07-12,35.08000183105469
2022-07-13,35.779998779296875
2022-07-14,35.52000045776367
2022-07-15,36.06999969482422
2022-07-18,35.83000183105469
2022-07-19,36.029998779296875
2022-07-20,35.869998931884766
2022-07-21,36.33000183105469
2022-07-22,36.369998931884766
2022-07-25,36.15999984741211
2022-07-26,36.43000030517578
2022-07-27,36.349998474121094
2022-07-28,37.4900016784668
2022-07-29,37.880001068115234
2022-08-01,37.34000015258789
2022-08-02,37.130001068115234
2022-08-03,37.060001373291016
2022-08-04,37.27000045776367
2022-08-05,37.04999923706055
2022-08-08,37.04999923706055
2022-08-09,37.20000076293945
2022-08-10,37.86000061035156
2022-08-11,37.79999923706055
2022-08-12,38.38999938964844
2022-08-15,38.7400016784668
2022-08-16,38.630001068115234
2022-08-17,38.63999938964844
2022-08-18,38.040000915527344
2022-08-19,37.61000061035156
2022-08-22,37.029998779296875
2022-08-23,36.31999969482422
2022-08-24,36.61000061035156
2022-08-25,37.029998779296875
2022-08-26,36.2599983215332
2022-08-29,35.619998931884766
2022-08-30,35.130001068115234
2022-08-31,35.560001373291016
2022-09-01,35.400001525878906
2022-09-02,35.029998779296875
2022-09-06,35.97999954223633
2022-09-07,36.70000076293945
2022-09-08,36.70000076293945
2022-09-09,37.04999923706055
2022-09-12,37.41999816894531
2022-09-13,36.630001068115234
2022-09-14,36.13999938964844
2022-09-15,35.630001068115234
2022-09-16,35.68000030517578
2022-09-19,35.439998626708984
2022-09-20,34.2599983215332
2022-09-21,33.939998626708984
2022-09-22,34.02000045776367
2022-09-23,34.09000015258789
2022-09-26,33.040000915527344
2022-09-27,32.52000045776367
2022-09-28,33.09000015258789
2022-09-29,32.70000076293945
2022-09-30,32.810001373291016
2022-10-03,33.45000076293945
2022-10-04,34.34000015258789
2022-10-05,33.29999923706055
2022-10-06,32.9900016784668
2022-10-07,31.8799991607666
2022-10-10,31.31999969482422
2022-10-11,31.920000076293945
2022-10-12,31.06999969482422
2022-10-13,31.469999313354492
2022-10-14,30.530000686645508
2022-10-17,31.6299991607666
2022-10-18,32.16999816894531
2022-10-19,31.489999771118164
2022-10-20,31.56999969482422
2022-10-21,32.0
2022-10-24,31.700000762939453
2022-10-25,32.790000915527344
2022-10-26,32.709999084472656
2022-10-27,31.3700008392334
2022-10-28,31.979999542236328
2022-10-31,31.940000534057617
2022-11-01,31.920000076293945
2022-11-02,31.56999969482422
2022-11-03,31.1200008392334
2022-11-04,30.670000076293945
2022-11-07,29.760000228881836
2022-11-08,30.020000457763672
2022-11-09,29.84000015258789
2022-11-10,32.5
2022-11-11,32.04999923706055
2022-11-14,31.329999923706055
2022-11-15,31.860000610351562
2022-11-16,31.479999542236328
2022-11-17,31.25
2022-11-18,32.0
2022-11-21,31.809999465942383
2022-11-22,32.150001525878906
2022-11-23,32.06999969482422
