Date,CQP
2022-02-28,53.9900016784668
2022-03-01,55.5099983215332
2022-03-02,55.290000915527344
2022-03-03,55.2400016784668
2022-03-04,58.470001220703125
2022-03-07,57.97999954223633
2022-03-08,57.06999969482422
2022-03-09,54.84000015258789
2022-03-10,56.869998931884766
2022-03-11,53.90999984741211
2022-03-14,48.029998779296875
2022-03-15,47.43000030517578
2022-03-16,47.220001220703125
2022-03-17,48.470001220703125
2022-03-18,47.36000061035156
2022-03-21,48.81999969482422
2022-03-22,50.349998474121094
2022-03-23,51.22999954223633
2022-03-24,53.209999084472656
2022-03-25,55.310001373291016
2022-03-28,54.0
2022-03-29,53.939998626708984
2022-03-30,55.70000076293945
2022-03-31,56.36000061035156
2022-04-01,56.56999969482422
2022-04-04,57.709999084472656
2022-04-05,56.939998626708984
2022-04-06,54.36000061035156
2022-04-07,55.380001068115234
2022-04-08,56.630001068115234
2022-04-11,54.66999816894531
2022-04-12,56.77000045776367
2022-04-13,56.349998474121094
2022-04-14,56.779998779296875
2022-04-18,56.58000183105469
2022-04-19,55.31999969482422
2022-04-20,57.09000015258789
2022-04-21,55.88999938964844
2022-04-22,53.59000015258789
2022-04-25,53.150001525878906
2022-04-26,53.04999923706055
2022-04-27,53.45000076293945
2022-04-28,55.630001068115234
2022-04-29,53.7599983215332
2022-05-02,53.20000076293945
2022-05-03,54.58000183105469
2022-05-04,57.52000045776367
2022-05-05,56.459999084472656
2022-05-06,56.58000183105469
2022-05-09,54.560001373291016
2022-05-10,52.65999984741211
2022-05-11,50.790000915527344
2022-05-12,50.459999084472656
2022-05-13,53.09000015258789
2022-05-16,54.20000076293945
2022-05-17,52.75
2022-05-18,51.560001373291016
2022-05-19,50.66999816894531
2022-05-20,50.849998474121094
2022-05-23,52.11000061035156
2022-05-24,52.33000183105469
2022-05-25,54.400001525878906
2022-05-26,54.0
2022-05-27,55.220001220703125
2022-05-31,53.77000045776367
2022-06-01,54.41999816894531
2022-06-02,54.75
2022-06-03,53.470001220703125
2022-06-06,54.209999084472656
2022-06-07,55.59000015258789
2022-06-08,54.38999938964844
2022-06-09,53.689998626708984
2022-06-10,51.58000183105469
2022-06-13,48.380001068115234
2022-06-14,48.13999938964844
2022-06-15,46.790000915527344
2022-06-16,45.43000030517578
2022-06-17,45.27000045776367
2022-06-21,47.900001525878906
2022-06-22,44.5099983215332
2022-06-23,44.220001220703125
2022-06-24,45.060001373291016
2022-06-27,45.119998931884766
2022-06-28,46.70000076293945
2022-06-29,45.93000030517578
2022-06-30,44.869998931884766
2022-07-01,44.11000061035156
2022-07-05,43.04999923706055
2022-07-06,43.310001373291016
2022-07-07,44.72999954223633
2022-07-08,43.5
2022-07-11,42.11000061035156
2022-07-12,41.63999938964844
2022-07-13,41.459999084472656
2022-07-14,41.4900016784668
2022-07-15,42.31999969482422
2022-07-18,43.540000915527344
2022-07-19,45.0
2022-07-20,45.84000015258789
2022-07-21,46.7400016784668
2022-07-22,46.130001068115234
2022-07-25,48.65999984741211
2022-07-26,50.470001220703125
2022-07-27,51.29999923706055
2022-07-28,51.58000183105469
2022-07-29,50.459999084472656
2022-08-01,49.959999084472656
2022-08-02,49.61000061035156
2022-08-03,47.709999084472656
2022-08-04,46.4900016784668
2022-08-05,45.86000061035156
2022-08-08,46.220001220703125
2022-08-09,46.439998626708984
2022-08-10,46.70000076293945
2022-08-11,48.77000045776367
2022-08-12,48.2599983215332
2022-08-15,48.72999954223633
2022-08-16,49.66999816894531
2022-08-17,48.7599983215332
2022-08-18,50.310001373291016
2022-08-19,51.209999084472656
2022-08-22,51.959999084472656
2022-08-23,54.029998779296875
2022-08-24,55.880001068115234
2022-08-25,56.810001373291016
2022-08-26,56.2599983215332
2022-08-29,56.29999923706055
2022-08-30,53.27000045776367
2022-08-31,51.13999938964844
2022-09-01,50.439998626708984
2022-09-02,53.40999984741211
2022-09-06,53.369998931884766
2022-09-07,54.65999984741211
2022-09-08,53.380001068115234
2022-09-09,57.279998779296875
2022-09-12,57.099998474121094
2022-09-13,54.79999923706055
2022-09-14,56.810001373291016
2022-09-15,55.209999084472656
2022-09-16,54.099998474121094
2022-09-19,55.900001525878906
2022-09-20,56.54999923706055
2022-09-21,56.38999938964844
2022-09-22,55.189998626708984
2022-09-23,51.7599983215332
2022-09-26,50.81999969482422
2022-09-27,51.52000045776367
2022-09-28,55.400001525878906
2022-09-29,52.15999984741211
2022-09-30,53.36000061035156
2022-10-03,53.72999954223633
2022-10-04,55.45000076293945
2022-10-05,55.36000061035156
2022-10-06,56.08000183105469
2022-10-07,55.11000061035156
2022-10-10,55.11000061035156
2022-10-11,55.209999084472656
2022-10-12,54.310001373291016
2022-10-13,56.939998626708984
2022-10-14,54.619998931884766
2022-10-17,54.90999984741211
2022-10-18,55.84000015258789
2022-10-19,56.33000183105469
2022-10-20,56.040000915527344
2022-10-21,57.099998474121094
2022-10-24,55.720001220703125
2022-10-25,56.9900016784668
2022-10-26,57.54999923706055
2022-10-27,59.08000183105469
2022-10-28,59.540000915527344
2022-10-31,60.130001068115234
2022-11-01,60.599998474121094
2022-11-02,59.369998931884766
2022-11-03,57.61000061035156
2022-11-04,57.40999984741211
2022-11-07,57.029998779296875
2022-11-08,56.349998474121094
2022-11-09,53.72999954223633
2022-11-10,55.290000915527344
2022-11-11,54.90999984741211
2022-11-14,54.779998779296875
2022-11-15,54.720001220703125
2022-11-16,56.08000183105469
2022-11-17,55.43000030517578
2022-11-18,55.75
2022-11-21,56.04999923706055
2022-11-22,59.560001373291016
2022-11-23,60.189998626708984
