Date,SHOP
2022-02-28,69.4260025024414
2022-03-01,67.34400177001953
2022-03-02,65.98300170898438
2022-03-03,64.07499694824219
2022-03-04,60.08399963378906
2022-03-07,56.08000183105469
2022-03-08,51.494998931884766
2022-03-09,58.76499938964844
2022-03-10,55.31800079345703
2022-03-11,54.4370002746582
2022-03-14,51.255001068115234
2022-03-15,55.34299850463867
2022-03-16,62.237998962402344
2022-03-17,65.73799896240234
2022-03-18,78.0
2022-03-21,68.34500122070312
2022-03-22,72.70099639892578
2022-03-23,70.35900115966797
2022-03-24,70.5
2022-03-25,67.9530029296875
2022-03-28,70.16000366210938
2022-03-29,74.39800262451172
2022-03-30,70.55999755859375
2022-03-31,67.59600067138672
2022-04-01,69.30000305175781
2022-04-04,72.72899627685547
2022-04-05,70.29199981689453
2022-04-06,65.65799713134766
2022-04-07,64.39700317382812
2022-04-08,60.31800079345703
2022-04-11,61.737998962402344
2022-04-12,59.10599899291992
2022-04-13,60.47800064086914
2022-04-14,57.95100021362305
2022-04-18,58.099998474121094
2022-04-19,60.5629997253418
2022-04-20,52.5
2022-04-21,48.099998474121094
2022-04-22,45.99700164794922
2022-04-25,45.92100143432617
2022-04-26,42.808998107910156
2022-04-27,41.619998931884766
2022-04-28,44.327999114990234
2022-04-29,42.68199920654297
2022-05-02,45.29800033569336
2022-05-03,46.52000045776367
2022-05-04,48.54899978637695
2022-05-05,41.308998107910156
2022-05-06,37.749000549316406
2022-05-09,34.00400161743164
2022-05-10,33.53900146484375
2022-05-11,31.858999252319336
2022-05-12,35.35100173950195
2022-05-13,40.24800109863281
2022-05-16,35.994998931884766
2022-05-17,37.263999938964844
2022-05-18,36.0620002746582
2022-05-19,39.132999420166016
2022-05-20,36.3849983215332
2022-05-23,36.8489990234375
2022-05-24,32.48400115966797
2022-05-25,33.31100082397461
2022-05-26,35.13199996948242
2022-05-27,36.90399932861328
2022-05-31,37.512001037597656
2022-06-01,36.15299987792969
2022-06-02,39.887001037597656
2022-06-03,35.36600112915039
2022-06-06,36.0620002746582
2022-06-07,38.07400131225586
2022-06-08,39.14699935913086
2022-06-09,37.138999938964844
2022-06-10,34.84299850463867
2022-06-13,31.29400062561035
2022-06-14,30.354000091552734
2022-06-15,32.60300064086914
2022-06-16,30.523000717163086
2022-06-17,31.68899917602539
2022-06-21,32.82500076293945
2022-06-22,33.854000091552734
2022-06-23,36.382999420166016
2022-06-24,38.52299880981445
2022-06-27,37.32099914550781
2022-06-28,35.0260009765625
2022-06-29,33.04999923706055
2022-06-30,31.239999771118164
2022-07-01,31.40999984741211
2022-07-05,34.0
2022-07-06,33.040000915527344
2022-07-07,35.33000183105469
2022-07-08,35.56999969482422
2022-07-11,32.31999969482422
2022-07-12,32.380001068115234
2022-07-13,32.150001525878906
2022-07-14,30.670000076293945
2022-07-15,31.270000457763672
2022-07-18,32.540000915527344
2022-07-19,34.369998931884766
2022-07-20,38.4900016784668
2022-07-21,40.400001525878906
2022-07-22,37.349998474121094
2022-07-25,36.709999084472656
2022-07-26,31.549999237060547
2022-07-27,35.2400016784668
2022-07-28,35.90999984741211
2022-07-29,34.83000183105469
2022-08-01,36.439998626708984
2022-08-02,37.7400016784668
2022-08-03,41.93000030517578
2022-08-04,41.02000045776367
2022-08-05,40.810001373291016
2022-08-08,39.77000045776367
2022-08-09,36.75
2022-08-10,40.61000061035156
2022-08-11,40.41999816894531
2022-08-12,40.7599983215332
2022-08-15,39.84000015258789
2022-08-16,39.58000183105469
2022-08-17,37.29999923706055
2022-08-18,36.86000061035156
2022-08-19,34.20000076293945
2022-08-22,33.18000030517578
2022-08-23,32.470001220703125
2022-08-24,33.290000915527344
2022-08-25,34.34000015258789
