Date,KB
2022-02-28,49.20000076293945
2022-03-01,47.720001220703125
2022-03-02,48.119998931884766
2022-03-03,47.91999816894531
2022-03-04,46.2400016784668
2022-03-07,43.310001373291016
2022-03-08,42.939998626708984
2022-03-09,44.45000076293945
2022-03-10,44.380001068115234
2022-03-11,44.040000915527344
2022-03-14,44.790000915527344
2022-03-15,45.72999954223633
2022-03-16,47.470001220703125
2022-03-17,47.97999954223633
2022-03-18,47.529998779296875
2022-03-21,47.470001220703125
2022-03-22,48.31999969482422
2022-03-23,48.43000030517578
2022-03-24,49.209999084472656
2022-03-25,49.459999084472656
2022-03-28,49.779998779296875
2022-03-29,49.81999969482422
2022-03-30,48.70000076293945
2022-03-31,48.83000183105469
2022-04-01,49.70000076293945
2022-04-04,50.15999984741211
2022-04-05,48.349998474121094
2022-04-06,48.689998626708984
2022-04-07,47.880001068115234
2022-04-08,48.220001220703125
2022-04-11,48.75
2022-04-12,48.33000183105469
2022-04-13,48.47999954223633
2022-04-14,48.25
2022-04-18,48.310001373291016
2022-04-19,48.2599983215332
2022-04-20,49.119998931884766
2022-04-21,48.380001068115234
2022-04-22,48.06999969482422
2022-04-25,48.040000915527344
2022-04-26,46.63999938964844
2022-04-27,45.65999984741211
2022-04-28,46.86000061035156
2022-04-29,45.91999816894531
2022-05-02,45.849998474121094
2022-05-03,46.630001068115234
2022-05-04,48.529998779296875
2022-05-05,46.790000915527344
2022-05-06,46.849998474121094
2022-05-09,45.68000030517578
2022-05-10,45.2400016784668
2022-05-11,44.189998626708984
2022-05-12,44.41999816894531
2022-05-13,45.7400016784668
2022-05-16,45.650001525878906
2022-05-17,46.5
2022-05-18,44.869998931884766
2022-05-19,44.86000061035156
2022-05-20,45.36000061035156
2022-05-23,46.58000183105469
2022-05-24,47.220001220703125
2022-05-25,47.13999938964844
2022-05-26,47.880001068115234
2022-05-27,48.45000076293945
2022-05-31,48.939998626708984
2022-06-01,48.77000045776367
2022-06-02,47.56999969482422
2022-06-03,47.09000015258789
2022-06-06,47.0
2022-06-07,46.38999938964844
2022-06-08,45.779998779296875
2022-06-09,44.869998931884766
2022-06-10,42.790000915527344
2022-06-13,41.0099983215332
2022-06-14,41.970001220703125
2022-06-15,42.369998931884766
2022-06-16,40.72999954223633
2022-06-17,40.5099983215332
2022-06-21,40.060001373291016
2022-06-22,37.77000045776367
2022-06-23,37.099998474121094
2022-06-24,38.650001525878906
2022-06-27,38.18000030517578
2022-06-28,37.709999084472656
2022-06-29,37.11000061035156
2022-06-30,37.20000076293945
2022-07-01,37.04999923706055
2022-07-05,35.869998931884766
2022-07-06,35.18000030517578
2022-07-07,35.650001525878906
2022-07-08,36.25
2022-07-11,34.93000030517578
2022-07-12,35.11000061035156
2022-07-13,34.4900016784668
2022-07-14,33.84000015258789
2022-07-15,33.95000076293945
2022-07-18,34.90999984741211
2022-07-19,36.06999969482422
2022-07-20,36.63999938964844
2022-07-21,36.810001373291016
2022-07-22,36.130001068115234
2022-07-25,36.47999954223633
2022-07-26,36.099998474121094
2022-07-27,36.400001525878906
2022-07-28,36.54999923706055
2022-07-29,37.08000183105469
2022-08-01,36.58000183105469
2022-08-02,35.95000076293945
2022-08-03,36.56999969482422
2022-08-04,36.75
2022-08-05,38.459999084472656
2022-08-08,38.70000076293945
2022-08-09,39.15999984741211
2022-08-10,39.65999984741211
2022-08-11,40.34000015258789
2022-08-12,40.470001220703125
2022-08-15,40.20000076293945
2022-08-16,40.31999969482422
2022-08-17,39.310001373291016
2022-08-18,38.400001525878906
2022-08-19,37.959999084472656
2022-08-22,37.02000045776367
2022-08-23,37.20000076293945
2022-08-24,37.79999923706055
2022-08-25,38.130001068115234
2022-08-26,37.18000030517578
2022-08-29,36.7400016784668
2022-08-30,36.65999984741211
2022-08-31,36.58000183105469
2022-09-01,35.29999923706055
2022-09-02,35.209999084472656
2022-09-06,35.130001068115234
2022-09-07,34.790000915527344
2022-09-08,35.310001373291016
2022-09-09,35.7599983215332
2022-09-12,35.939998626708984
2022-09-13,35.2400016784668
2022-09-14,35.7599983215332
2022-09-15,35.41999816894531
2022-09-16,36.209999084472656
2022-09-19,36.2400016784668
2022-09-20,35.77000045776367
2022-09-21,34.84000015258789
2022-09-22,34.88999938964844
2022-09-23,34.0099983215332
2022-09-26,32.380001068115234
2022-09-27,30.969999313354492
2022-09-28,31.420000076293945
2022-09-29,30.799999237060547
2022-09-30,30.139999389648438
2022-10-03,31.239999771118164
2022-10-04,32.619998931884766
2022-10-05,32.810001373291016
2022-10-06,32.310001373291016
2022-10-07,32.130001068115234
2022-10-10,31.649999618530273
2022-10-11,31.15999984741211
2022-10-12,30.940000534057617
2022-10-13,31.809999465942383
2022-10-14,31.979999542236328
2022-10-17,32.08000183105469
2022-10-18,32.9900016784668
2022-10-19,33.02000045776367
2022-10-20,32.380001068115234
2022-10-21,32.70000076293945
2022-10-24,31.639999389648438
2022-10-25,32.40999984741211
2022-10-26,32.25
2022-10-27,32.61000061035156
2022-10-28,34.02000045776367
2022-10-31,33.540000915527344
2022-11-01,33.540000915527344
2022-11-02,33.25
2022-11-03,32.97999954223633
2022-11-04,34.09000015258789
2022-11-07,34.400001525878906
2022-11-08,34.599998474121094
2022-11-09,35.20000076293945
2022-11-10,36.720001220703125
2022-11-11,37.2599983215332
2022-11-14,37.29999923706055
2022-11-15,37.630001068115234
2022-11-16,37.18000030517578
2022-11-17,36.4900016784668
2022-11-18,36.720001220703125
2022-11-21,36.56999969482422
2022-11-22,36.95000076293945
2022-11-23,37.459999084472656
