Date,HCA
2022-02-28,250.30999755859375
2022-03-01,252.4199981689453
2022-03-02,261.1300048828125
2022-03-03,264.1099853515625
2022-03-04,265.4100036621094
2022-03-07,259.82000732421875
2022-03-08,258.0299987792969
2022-03-09,264.3599853515625
2022-03-10,267.1000061035156
2022-03-11,267.0
2022-03-14,261.42999267578125
2022-03-15,267.1700134277344
2022-03-16,266.3500061035156
2022-03-17,266.9700012207031
2022-03-18,260.67999267578125
2022-03-21,261.55999755859375
2022-03-22,260.3500061035156
2022-03-23,260.6099853515625
2022-03-24,260.6000061035156
2022-03-25,260.0799865722656
2022-03-28,264.4100036621094
2022-03-29,263.6499938964844
2022-03-30,254.9600067138672
2022-03-31,250.6199951171875
2022-04-01,250.75
2022-04-04,245.58999633789062
2022-04-05,243.61000061035156
2022-04-06,250.47999572753906
2022-04-07,254.6300048828125
2022-04-08,258.69000244140625
2022-04-11,258.17999267578125
2022-04-12,260.8900146484375
2022-04-13,258.6400146484375
2022-04-14,260.94000244140625
2022-04-18,259.9100036621094
2022-04-19,261.9599914550781
2022-04-20,275.1600036621094
2022-04-21,269.44000244140625
2022-04-22,210.63999938964844
2022-04-25,210.5
2022-04-26,214.94000244140625
2022-04-27,212.22999572753906
2022-04-28,218.94000244140625
2022-04-29,214.5500030517578
2022-05-02,210.82000732421875
2022-05-03,216.3000030517578
2022-05-04,224.8000030517578
2022-05-05,224.19000244140625
2022-05-06,227.35000610351562
2022-05-09,224.10000610351562
2022-05-10,224.49000549316406
2022-05-11,209.52999877929688
2022-05-12,213.8000030517578
2022-05-13,214.9199981689453
2022-05-16,211.63999938964844
2022-05-17,215.97000122070312
2022-05-18,206.8000030517578
2022-05-19,203.1300048828125
2022-05-20,204.77999877929688
2022-05-23,205.0399932861328
2022-05-24,204.75999450683594
2022-05-25,206.16000366210938
2022-05-26,211.7899932861328
2022-05-27,215.5500030517578
2022-05-31,210.39999389648438
2022-06-01,206.9499969482422
2022-06-02,211.17999267578125
2022-06-03,207.58999633789062
2022-06-06,204.82000732421875
2022-06-07,207.52000427246094
2022-06-08,205.72999572753906
2022-06-09,201.25999450683594
2022-06-10,196.72000122070312
2022-06-13,185.77000427246094
2022-06-14,179.27999877929688
2022-06-15,181.69000244140625
2022-06-16,171.55999755859375
2022-06-17,173.10000610351562
2022-06-21,173.8699951171875
2022-06-22,176.58999633789062
2022-06-23,177.44000244140625
2022-06-24,182.3300018310547
2022-06-27,179.82000732421875
2022-06-28,175.82000732421875
2022-06-29,175.6699981689453
2022-06-30,168.05999755859375
2022-07-01,175.05999755859375
2022-07-05,172.5800018310547
2022-07-06,165.99000549316406
2022-07-07,174.66000366210938
2022-07-08,172.60000610351562
2022-07-11,169.38999938964844
2022-07-12,170.11000061035156
2022-07-13,169.30999755859375
2022-07-14,167.49000549316406
2022-07-15,171.61000061035156
2022-07-18,171.69000244140625
2022-07-19,178.17999267578125
2022-07-20,178.80999755859375
2022-07-21,181.30999755859375
2022-07-22,202.02999877929688
2022-07-25,198.6300048828125
2022-07-26,203.94000244140625
2022-07-27,204.66000366210938
2022-07-28,209.77999877929688
2022-07-29,212.4199981689453
2022-08-01,210.91000366210938
2022-08-02,211.47000122070312
2022-08-03,216.47000122070312
2022-08-04,212.72000122070312
2022-08-05,212.80999755859375
2022-08-08,211.33999633789062
2022-08-09,210.07000732421875
2022-08-10,216.72000122070312
2022-08-11,216.52000427246094
2022-08-12,218.88999938964844
2022-08-15,216.6999969482422
2022-08-16,212.8699951171875
2022-08-17,208.99000549316406
2022-08-18,215.0399932861328
2022-08-19,215.02999877929688
2022-08-22,212.38999938964844
2022-08-23,210.25
2022-08-24,210.4199981689453
2022-08-25,213.55999755859375
2022-08-26,204.97999572753906
2022-08-29,204.0800018310547
2022-08-30,201.77999877929688
2022-08-31,197.8699951171875
2022-09-01,199.4499969482422
2022-09-02,200.02999877929688
2022-09-06,200.7100067138672
2022-09-07,212.16000366210938
2022-09-08,216.2100067138672
2022-09-09,219.6999969482422
2022-09-12,222.36000061035156
2022-09-13,212.0399932861328
2022-09-14,208.75999450683594
2022-09-15,208.97000122070312
2022-09-16,209.6699981689453
2022-09-19,208.38999938964844
2022-09-20,201.75999450683594
2022-09-21,198.83999633789062
2022-09-22,194.05999755859375
2022-09-23,191.5
2022-09-26,187.24000549316406
2022-09-27,184.30999755859375
2022-09-28,189.94000244140625
2022-09-29,187.67999267578125
2022-09-30,183.7899932861328
2022-10-03,193.25999450683594
2022-10-04,203.89999389648438
2022-10-05,202.5399932861328
2022-10-06,201.52999877929688
2022-10-07,200.4600067138672
2022-10-10,199.08999633789062
2022-10-11,202.69000244140625
2022-10-12,200.49000549316406
2022-10-13,206.0
2022-10-14,201.47000122070312
2022-10-17,206.30999755859375
2022-10-18,210.02000427246094
2022-10-19,209.19000244140625
2022-10-20,208.61000061035156
2022-10-21,196.66000366210938
2022-10-24,210.36000061035156
2022-10-25,214.39999389648438
2022-10-26,217.47999572753906
2022-10-27,217.77000427246094
2022-10-28,223.66000366210938
2022-10-31,217.47000122070312
2022-11-01,221.1300048828125
2022-11-02,213.82000732421875
2022-11-03,212.75
2022-11-04,211.91000366210938
2022-11-07,214.24000549316406
2022-11-08,211.6699981689453
2022-11-09,209.00999450683594
2022-11-10,222.5
2022-11-11,224.0800018310547
2022-11-14,222.6199951171875
2022-11-15,229.0500030517578
2022-11-16,231.0
2022-11-17,227.3000030517578
2022-11-18,230.0800018310547
2022-11-21,228.99000549316406
2022-11-22,234.74000549316406
2022-11-23,237.27999877929688
