Date,ETR
2022-02-28,105.20999908447266
2022-03-01,103.86000061035156
2022-03-02,106.62000274658203
2022-03-03,109.36000061035156
2022-03-04,112.23999786376953
2022-03-07,111.86000061035156
2022-03-08,109.38999938964844
2022-03-09,107.9800033569336
2022-03-10,109.01000213623047
2022-03-11,108.75
2022-03-14,110.2699966430664
2022-03-15,111.25
2022-03-16,110.5199966430664
2022-03-17,110.38999938964844
2022-03-18,109.44999694824219
2022-03-21,110.7699966430664
2022-03-22,109.68000030517578
2022-03-23,110.8499984741211
2022-03-24,112.7300033569336
2022-03-25,114.83000183105469
2022-03-28,115.33999633789062
2022-03-29,116.37000274658203
2022-03-30,117.04000091552734
2022-03-31,116.75
2022-04-01,120.08999633789062
2022-04-04,119.41000366210938
2022-04-05,121.30999755859375
2022-04-06,123.5999984741211
2022-04-07,122.98999786376953
2022-04-08,123.31999969482422
2022-04-11,121.79000091552734
2022-04-12,123.30999755859375
2022-04-13,123.37000274658203
2022-04-14,124.19999694824219
2022-04-18,124.44000244140625
2022-04-19,124.55000305175781
2022-04-20,125.83999633789062
2022-04-21,125.33000183105469
2022-04-22,123.33999633789062
2022-04-25,122.23999786376953
2022-04-26,120.66000366210938
2022-04-27,120.68000030517578
2022-04-28,122.31999969482422
2022-04-29,118.8499984741211
2022-05-02,118.04000091552734
2022-05-03,117.52999877929688
2022-05-04,118.66000366210938
2022-05-05,118.30000305175781
2022-05-06,119.2699966430664
2022-05-09,119.26000213623047
2022-05-10,116.30999755859375
2022-05-11,117.72000122070312
2022-05-12,116.16999816894531
2022-05-13,117.16999816894531
2022-05-16,117.79000091552734
2022-05-17,118.30999755859375
2022-05-18,116.47000122070312
2022-05-19,115.66999816894531
2022-05-20,116.9800033569336
2022-05-23,116.80000305175781
2022-05-24,119.16000366210938
2022-05-25,118.83999633789062
2022-05-26,119.87999725341797
2022-05-27,121.08000183105469
2022-05-31,120.31999969482422
2022-06-01,120.18000030517578
2022-06-02,120.41000366210938
2022-06-03,120.0
2022-06-06,121.33999633789062
2022-06-07,121.30999755859375
2022-06-08,118.30999755859375
2022-06-09,116.19000244140625
2022-06-10,115.93000030517578
2022-06-13,109.69999694824219
2022-06-14,107.29000091552734
2022-06-15,107.7699966430664
2022-06-16,105.87000274658203
2022-06-17,102.45999908447266
2022-06-21,104.69999694824219
2022-06-22,104.62999725341797
2022-06-23,105.91000366210938
2022-06-24,110.55000305175781
2022-06-27,111.95999908447266
2022-06-28,111.8499984741211
2022-06-29,111.69000244140625
2022-06-30,112.63999938964844
2022-07-01,115.30000305175781
2022-07-05,109.76000213623047
2022-07-06,111.37000274658203
