Date,ALC
2022-02-28,76.98999786376953
2022-03-01,76.11000061035156
2022-03-02,76.75
2022-03-03,77.29000091552734
2022-03-04,75.5
2022-03-07,72.77999877929688
2022-03-08,71.6500015258789
2022-03-09,74.37999725341797
2022-03-10,74.08000183105469
2022-03-11,73.01000213623047
2022-03-14,71.83999633789062
2022-03-15,72.5999984741211
2022-03-16,74.87999725341797
2022-03-17,76.41999816894531
2022-03-18,78.33000183105469
2022-03-21,76.6500015258789
2022-03-22,77.12000274658203
2022-03-23,75.58999633789062
2022-03-24,76.13999938964844
2022-03-25,76.2699966430664
2022-03-28,77.62000274658203
2022-03-29,81.55000305175781
2022-03-30,80.76000213623047
2022-03-31,79.33000183105469
2022-04-01,79.73999786376953
2022-04-04,79.75
2022-04-05,79.30000305175781
2022-04-06,79.72000122070312
2022-04-07,81.25
2022-04-08,80.66999816894531
2022-04-11,80.2300033569336
2022-04-12,78.41000366210938
2022-04-13,78.4000015258789
2022-04-14,76.9000015258789
2022-04-18,76.33000183105469
2022-04-19,78.80999755859375
2022-04-20,81.11000061035156
2022-04-21,79.41000366210938
2022-04-22,77.51000213623047
2022-04-25,77.41999816894531
2022-04-26,74.26000213623047
2022-04-27,73.83000183105469
2022-04-28,73.0999984741211
2022-04-29,71.20999908447266
2022-05-02,70.8499984741211
2022-05-03,70.95999908447266
2022-05-04,72.4000015258789
2022-05-05,70.62000274658203
2022-05-06,68.87999725341797
2022-05-09,64.25
2022-05-10,65.29000091552734
2022-05-11,69.83000183105469
2022-05-12,68.87000274658203
2022-05-13,70.6500015258789
2022-05-16,70.97000122070312
2022-05-17,72.12999725341797
2022-05-18,70.62000274658203
2022-05-19,72.2300033569336
2022-05-20,72.68000030517578
2022-05-23,73.43000030517578
2022-05-24,73.27999877929688
2022-05-25,72.41999816894531
2022-05-26,73.62000274658203
2022-05-27,75.11000061035156
2022-05-31,74.7300033569336
2022-06-01,74.23999786376953
2022-06-02,76.69999694824219
2022-06-03,75.63999938964844
2022-06-06,75.48999786376953
2022-06-07,75.80999755859375
2022-06-08,75.05999755859375
2022-06-09,72.41999816894531
2022-06-10,70.05999755859375
2022-06-13,67.31999969482422
2022-06-14,65.98999786376953
2022-06-15,66.48999786376953
2022-06-16,65.06999969482422
2022-06-17,65.36000061035156
2022-06-21,66.11000061035156
2022-06-22,66.4000015258789
2022-06-23,67.30000305175781
2022-06-24,69.58999633789062
2022-06-27,69.41999816894531
2022-06-28,68.6500015258789
2022-06-29,69.22000122070312
2022-06-30,69.88999938964844
2022-07-01,71.58000183105469
