Date,IT
2022-02-28,280.4200134277344
2022-03-01,274.4599914550781
2022-03-02,283.9800109863281
2022-03-03,279.07000732421875
2022-03-04,269.8399963378906
2022-03-07,257.510009765625
2022-03-08,270.44000244140625
2022-03-09,283.20001220703125
2022-03-10,281.0899963378906
2022-03-11,279.8299865722656
2022-03-14,273.9599914550781
2022-03-15,279.5899963378906
2022-03-16,288.1199951171875
2022-03-17,290.0400085449219
2022-03-18,298.3500061035156
2022-03-21,296.7200012207031
2022-03-22,300.45001220703125
2022-03-23,289.4800109863281
2022-03-24,296.239990234375
2022-03-25,295.4200134277344
2022-03-28,296.6600036621094
2022-03-29,306.4200134277344
2022-03-30,301.54998779296875
2022-03-31,297.4599914550781
2022-04-01,299.4599914550781
2022-04-04,300.2900085449219
2022-04-05,297.5299987792969
2022-04-06,294.6300048828125
2022-04-07,294.75
2022-04-08,299.67999267578125
2022-04-11,288.7900085449219
2022-04-12,289.4700012207031
2022-04-13,295.3699951171875
2022-04-14,298.1000061035156
2022-04-18,299.0400085449219
2022-04-19,306.3500061035156
2022-04-20,310.010009765625
2022-04-21,304.760009765625
2022-04-22,293.3299865722656
2022-04-25,298.20001220703125
2022-04-26,287.4800109863281
2022-04-27,288.7799987792969
2022-04-28,298.57000732421875
2022-04-29,290.54998779296875
2022-05-02,290.0400085449219
2022-05-03,281.1300048828125
2022-05-04,280.05999755859375
2022-05-05,259.54998779296875
2022-05-06,252.80999755859375
2022-05-09,239.32000732421875
2022-05-10,246.00999450683594
2022-05-11,244.77000427246094
2022-05-12,247.60000610351562
2022-05-13,255.52000427246094
2022-05-16,253.42999267578125
2022-05-17,254.85000610351562
2022-05-18,240.0
2022-05-19,248.64999389648438
2022-05-20,250.0399932861328
2022-05-23,250.1999969482422
2022-05-24,248.25
2022-05-25,249.8300018310547
2022-05-26,256.4100036621094
2022-05-27,266.5899963378906
2022-05-31,262.3999938964844
2022-06-01,260.8599853515625
2022-06-02,268.5400085449219
2022-06-03,266.7900085449219
2022-06-06,267.1000061035156
2022-06-07,267.32000732421875
2022-06-08,261.29998779296875
2022-06-09,256.17999267578125
2022-06-10,247.63999938964844
2022-06-13,232.74000549316406
2022-06-14,234.60000610351562
2022-06-15,235.74000549316406
