Date,SYK
2022-02-28,263.3500061035156
2022-03-01,262.6199951171875
2022-03-02,268.489990234375
2022-03-03,266.4700012207031
2022-03-04,267.1000061035156
2022-03-07,253.41000366210938
2022-03-08,245.7100067138672
2022-03-09,249.69000244140625
2022-03-10,248.3699951171875
2022-03-11,247.77000427246094
2022-03-14,245.85000610351562
2022-03-15,254.33999633789062
2022-03-16,262.1600036621094
2022-03-17,264.0
2022-03-18,267.3399963378906
2022-03-21,265.7900085449219
2022-03-22,266.9700012207031
2022-03-23,255.47000122070312
2022-03-24,263.010009765625
2022-03-25,266.0
2022-03-28,270.1199951171875
2022-03-29,272.9700012207031
2022-03-30,269.1400146484375
2022-03-31,267.3500061035156
2022-04-01,269.04998779296875
2022-04-04,265.1199951171875
2022-04-05,268.5
2022-04-06,268.20001220703125
2022-04-07,270.1700134277344
2022-04-08,269.4700012207031
2022-04-11,263.3399963378906
2022-04-12,262.4200134277344
2022-04-13,263.6400146484375
2022-04-14,261.70001220703125
2022-04-18,258.9599914550781
2022-04-19,271.6700134277344
2022-04-20,276.3699951171875
2022-04-21,270.0299987792969
2022-04-22,248.30999755859375
2022-04-25,253.8300018310547
2022-04-26,248.89999389648438
2022-04-27,249.14999389648438
2022-04-28,252.10000610351562
2022-04-29,241.25999450683594
2022-05-02,236.97000122070312
2022-05-03,237.8699951171875
2022-05-04,245.97000122070312
2022-05-05,241.36000061035156
2022-05-06,240.0800018310547
2022-05-09,229.00999450683594
2022-05-10,227.50999450683594
2022-05-11,226.72000122070312
2022-05-12,228.0
2022-05-13,233.27000427246094
2022-05-16,233.85000610351562
2022-05-17,239.1300048828125
2022-05-18,232.2100067138672
2022-05-19,230.5
2022-05-20,232.25
2022-05-23,233.0500030517578
2022-05-24,233.27999877929688
2022-05-25,235.00999450683594
2022-05-26,234.94000244140625
2022-05-27,236.5
2022-05-31,234.5
2022-06-01,228.0
2022-06-02,234.38999938964844
2022-06-03,229.02000427246094
2022-06-06,228.14999389648438
2022-06-07,230.6999969482422
2022-06-08,226.6699981689453
2022-06-09,218.97000122070312
2022-06-10,216.39999389648438
2022-06-13,207.10000610351562
2022-06-14,200.5800018310547
2022-06-15,202.50999450683594
2022-06-16,195.6999969482422
2022-06-17,194.08999633789062
2022-06-21,195.6999969482422
2022-06-22,196.75
2022-06-23,200.05999755859375
2022-06-24,204.42999267578125
2022-06-27,203.1300048828125
2022-06-28,197.8000030517578
2022-06-29,199.42999267578125
2022-06-30,198.92999267578125
2022-07-01,203.86000061035156
2022-07-05,202.02000427246094
2022-07-06,200.75999450683594
2022-07-07,201.6999969482422
2022-07-08,200.8800048828125
2022-07-11,197.42999267578125
2022-07-12,195.72000122070312
2022-07-13,194.17999267578125
2022-07-14,192.3800048828125
2022-07-15,194.75999450683594
2022-07-18,189.27000427246094
2022-07-19,197.3000030517578
2022-07-20,198.0500030517578
2022-07-21,200.24000549316406
2022-07-22,199.4199981689453
2022-07-25,201.50999450683594
2022-07-26,204.41000366210938
2022-07-27,211.8000030517578
2022-07-28,219.02999877929688
2022-07-29,214.75
2022-08-01,213.49000549316406
2022-08-02,213.25
2022-08-03,215.89999389648438
2022-08-04,214.22999572753906
2022-08-05,215.7899932861328
2022-08-08,217.32000732421875
2022-08-09,214.9499969482422
2022-08-10,219.1999969482422
2022-08-11,218.00999450683594
2022-08-12,223.1199951171875
2022-08-15,224.57000732421875
2022-08-16,224.16000366210938
2022-08-17,221.42999267578125
2022-08-18,220.83999633789062
2022-08-19,218.13999938964844
2022-08-22,212.35000610351562
2022-08-23,209.13999938964844
2022-08-24,212.5
2022-08-25,216.69000244140625
2022-08-26,207.0
2022-08-29,206.8000030517578
2022-08-30,205.27000427246094
2022-08-31,205.1999969482422
2022-09-01,206.67999267578125
2022-09-02,203.75999450683594
2022-09-06,202.72999572753906
2022-09-07,211.2100067138672
2022-09-08,220.27999877929688
2022-09-09,230.0
2022-09-12,231.8300018310547
2022-09-13,225.85000610351562
2022-09-14,226.19000244140625
