Date,GM
2022-02-28,46.720001220703125
2022-03-01,44.52000045776367
2022-03-02,46.31999969482422
2022-03-03,44.900001525878906
2022-03-04,42.400001525878906
2022-03-07,39.83000183105469
2022-03-08,40.20000076293945
2022-03-09,42.279998779296875
2022-03-10,41.849998474121094
2022-03-11,41.5099983215332
2022-03-14,40.83000183105469
2022-03-15,42.130001068115234
2022-03-16,43.849998474121094
2022-03-17,43.65999984741211
2022-03-18,44.81999969482422
2022-03-21,43.61000061035156
2022-03-22,44.560001373291016
2022-03-23,43.779998779296875
2022-03-24,44.349998474121094
2022-03-25,43.650001525878906
2022-03-28,44.220001220703125
2022-03-29,46.2599983215332
2022-03-30,45.220001220703125
2022-03-31,43.7400016784668
2022-04-01,42.959999084472656
2022-04-04,43.18000030517578
2022-04-05,41.41999816894531
2022-04-06,39.5
2022-04-07,38.720001220703125
2022-04-08,39.349998474121094
2022-04-11,40.33000183105469
2022-04-12,40.040000915527344
2022-04-13,40.220001220703125
2022-04-14,40.130001068115234
2022-04-18,40.630001068115234
2022-04-19,42.08000183105469
2022-04-20,41.720001220703125
2022-04-21,40.709999084472656
2022-04-22,39.84000015258789
2022-04-25,39.81999969482422
2022-04-26,38.040000915527344
2022-04-27,38.65999984741211
2022-04-28,38.75
2022-04-29,37.90999984741211
2022-05-02,38.45000076293945
2022-05-03,39.939998626708984
2022-05-04,41.16999816894531
2022-05-05,39.95000076293945
2022-05-06,39.58000183105469
2022-05-09,38.2599983215332
2022-05-10,38.70000076293945
2022-05-11,37.27000045776367
2022-05-12,35.560001373291016
2022-05-13,38.209999084472656
2022-05-16,37.099998474121094
2022-05-17,38.099998474121094
2022-05-18,35.83000183105469
2022-05-19,36.119998931884766
2022-05-20,35.400001525878906
2022-05-23,36.0
2022-05-24,35.209999084472656
2022-05-25,35.97999954223633
2022-05-26,37.41999816894531
2022-05-27,38.56999969482422
2022-05-31,38.68000030517578
2022-06-01,38.27000045776367
2022-06-02,38.869998931884766
2022-06-03,37.61000061035156
2022-06-06,37.83000183105469
2022-06-07,38.369998931884766
2022-06-08,37.689998626708984
2022-06-09,36.650001525878906
2022-06-10,35.0099983215332
2022-06-13,32.279998779296875
2022-06-14,33.20000076293945
