Date,WDS
2022-02-28,20.75
2022-03-01,21.559999465942383
2022-03-02,22.68000030517578
2022-03-03,22.299999237060547
2022-03-04,23.770000457763672
2022-03-07,25.059999465942383
2022-03-08,23.969999313354492
2022-03-09,22.850000381469727
2022-03-10,23.299999237060547
2022-03-11,23.59000015258789
2022-03-14,22.540000915527344
2022-03-15,22.25
2022-03-16,22.549999237060547
2022-03-17,23.209999084472656
2022-03-18,23.40999984741211
2022-03-21,24.270000457763672
2022-03-22,23.899999618530273
2022-03-23,24.56999969482422
2022-03-24,24.8700008392334
2022-03-25,25.479999542236328
2022-03-28,24.219999313354492
2022-03-29,24.920000076293945
2022-03-30,25.190000534057617
2022-03-31,23.959999084472656
2022-04-01,24.700000762939453
2022-04-04,25.209999084472656
2022-04-05,25.65999984741211
2022-04-06,25.200000762939453
2022-04-07,24.700000762939453
2022-04-08,24.420000076293945
2022-04-11,23.56999969482422
2022-04-12,24.579999923706055
2022-04-13,24.25
2022-04-14,24.350000381469727
2022-04-18,24.329999923706055
2022-04-19,24.299999237060547
2022-04-20,24.350000381469727
2022-04-21,24.049999237060547
2022-04-22,23.200000762939453
2022-04-25,22.34000015258789
2022-04-26,21.8799991607666
2022-04-27,22.1200008392334
2022-04-28,22.549999237060547
2022-04-29,21.690000534057617
2022-05-02,22.219999313354492
2022-05-03,22.420000076293945
2022-05-04,23.59000015258789
2022-05-05,22.6200008392334
2022-05-06,22.139999389648438
2022-05-09,21.079999923706055
2022-05-10,21.280000686645508
2022-05-11,21.290000915527344
2022-05-12,20.3799991607666
2022-05-13,21.530000686645508
2022-05-16,21.690000534057617
2022-05-17,22.0
2022-05-18,21.06999969482422
2022-05-19,21.239999771118164
2022-05-20,20.360000610351562
2022-05-23,20.729999542236328
2022-05-24,21.149999618530273
2022-05-25,20.700000762939453
2022-05-26,21.200000762939453
2022-05-27,21.81999969482422
2022-05-31,21.59000015258789
2022-06-01,21.440000534057617
2022-06-02,23.149999618530273
2022-06-03,23.0
2022-06-06,23.760000228881836
2022-06-07,24.110000610351562
2022-06-08,25.020000457763672
2022-06-09,24.889999389648438
2022-06-10,24.1200008392334
2022-06-13,22.549999237060547
2022-06-14,22.280000686645508
2022-06-15,22.110000610351562
2022-06-16,22.399999618530273
2022-06-17,21.40999984741211
2022-06-21,22.200000762939453
2022-06-22,22.030000686645508
2022-06-23,20.950000762939453
2022-06-24,21.31999969482422
2022-06-27,21.809999465942383
2022-06-28,22.469999313354492
2022-06-29,22.1200008392334
2022-06-30,21.559999465942383
2022-07-01,20.8799991607666
2022-07-05,21.209999084472656
2022-07-06,20.420000076293945
2022-07-07,21.170000076293945
2022-07-08,21.18000030517578
2022-07-11,20.610000610351562
2022-07-12,20.15999984741211
2022-07-13,20.399999618530273
2022-07-14,20.459999084472656
2022-07-15,20.93000030517578
2022-07-18,22.209999084472656
2022-07-19,22.639999389648438
2022-07-20,22.350000381469727
2022-07-21,21.239999771118164
2022-07-22,21.260000228881836
2022-07-25,21.639999389648438
2022-07-26,21.6200008392334
2022-07-27,22.260000228881836
2022-07-28,22.31999969482422
2022-07-29,22.709999084472656
2022-08-01,22.600000381469727
2022-08-02,22.6299991607666
2022-08-03,22.420000076293945
2022-08-04,21.5
2022-08-05,21.440000534057617
2022-08-08,22.219999313354492
2022-08-09,22.270000457763672
2022-08-10,22.6299991607666
2022-08-11,22.610000610351562
2022-08-12,23.389999389648438
2022-08-15,22.739999771118164
2022-08-16,22.280000686645508
2022-08-17,22.049999237060547
2022-08-18,22.68000030517578
2022-08-19,23.040000915527344
2022-08-22,22.700000762939453
2022-08-23,24.15999984741211
2022-08-24,24.229999542236328
2022-08-25,24.700000762939453
2022-08-26,24.56999969482422
2022-08-29,24.65999984741211
2022-08-30,24.059999465942383
2022-08-31,22.809999465942383
2022-09-01,22.510000228881836
2022-09-02,23.020000457763672
2022-09-06,23.469999313354492
2022-09-07,22.690000534057617
2022-09-08,21.75
2022-09-09,22.75
2022-09-12,23.3799991607666
2022-09-13,21.969999313354492
2022-09-14,22.06999969482422
2022-09-15,22.299999237060547
2022-09-16,21.520000457763672
2022-09-19,21.959999084472656
2022-09-20,21.8700008392334
2022-09-21,21.209999084472656
2022-09-22,21.31999969482422
2022-09-23,20.020000457763672
2022-09-26,19.31999969482422
2022-09-27,19.959999084472656
2022-09-28,20.850000381469727
2022-09-29,20.649999618530273
2022-09-30,20.15999984741211
2022-10-03,21.420000076293945
2022-10-04,22.350000381469727
2022-10-05,22.299999237060547
2022-10-06,22.850000381469727
2022-10-07,22.329999923706055
2022-10-10,21.690000534057617
2022-10-11,21.0
2022-10-12,20.600000381469727
2022-10-13,21.059999465942383
2022-10-14,20.459999084472656
2022-10-17,20.8700008392334
2022-10-18,20.440000534057617
2022-10-19,20.709999084472656
2022-10-20,21.559999465942383
2022-10-21,22.84000015258789
2022-10-24,22.649999618530273
2022-10-25,22.729999542236328
2022-10-26,23.030000686645508
2022-10-27,23.360000610351562
2022-10-28,23.3700008392334
2022-10-31,23.170000076293945
2022-11-01,23.780000686645508
2022-11-02,23.440000534057617
2022-11-03,23.34000015258789
2022-11-04,25.350000381469727
2022-11-07,25.56999969482422
2022-11-08,25.139999389648438
2022-11-09,24.440000534057617
2022-11-10,25.420000076293945
2022-11-11,26.209999084472656
2022-11-14,26.0
2022-11-15,26.450000762939453
2022-11-16,26.09000015258789
2022-11-17,25.389999389648438
2022-11-18,25.06999969482422
2022-11-21,24.950000762939453
2022-11-22,25.8799991607666
2022-11-23,25.850000381469727
