Date,ITW
2022-02-28,216.33999633789062
2022-03-01,210.86000061035156
2022-03-02,214.1699981689453
2022-03-03,215.32000732421875
2022-03-04,212.1300048828125
2022-03-07,206.52999877929688
2022-03-08,203.52000427246094
2022-03-09,207.77000427246094
2022-03-10,206.1999969482422
2022-03-11,203.86000061035156
2022-03-14,206.14999389648438
2022-03-15,208.4499969482422
2022-03-16,209.99000549316406
2022-03-17,211.3800048828125
2022-03-18,212.3300018310547
2022-03-21,211.99000549316406
2022-03-22,212.5
2022-03-23,209.35000610351562
2022-03-24,210.69000244140625
2022-03-25,211.75
2022-03-28,214.30999755859375
2022-03-29,218.57000732421875
2022-03-30,214.66000366210938
2022-03-31,209.39999389648438
2022-04-01,210.14999389648438
2022-04-04,208.9499969482422
2022-04-05,206.42999267578125
2022-04-06,205.13999938964844
2022-04-07,204.92999267578125
2022-04-08,203.64999389648438
2022-04-11,200.80999755859375
2022-04-12,199.80999755859375
2022-04-13,199.33999633789062
2022-04-14,196.27000427246094
2022-04-18,196.6300048828125
2022-04-19,203.38999938964844
2022-04-20,206.5399932861328
2022-04-21,208.2899932861328
2022-04-22,203.35000610351562
2022-04-25,204.1199951171875
2022-04-26,198.60000610351562
2022-04-27,198.30999755859375
2022-04-28,202.72000122070312
2022-04-29,197.11000061035156
2022-05-02,200.00999450683594
2022-05-03,204.1999969482422
2022-05-04,213.00999450683594
2022-05-05,208.1699981689453
2022-05-06,209.27000427246094
2022-05-09,209.44000244140625
2022-05-10,203.55999755859375
2022-05-11,203.8300018310547
2022-05-12,207.58999633789062
2022-05-13,207.63999938964844
2022-05-16,207.07000732421875
2022-05-17,212.24000549316406
2022-05-18,203.38999938964844
2022-05-19,200.8000030517578
2022-05-20,201.77000427246094
2022-05-23,202.49000549316406
2022-05-24,203.22000122070312
2022-05-25,201.92999267578125
2022-05-26,204.3300018310547
2022-05-27,206.74000549316406
2022-05-31,208.07000732421875
2022-06-01,205.97999572753906
2022-06-02,209.25999450683594
2022-06-03,207.8300018310547
2022-06-06,208.1699981689453
2022-06-07,210.13999938964844
2022-06-08,206.33999633789062
2022-06-09,203.36000061035156
2022-06-10,196.77000427246094
2022-06-13,188.6199951171875
2022-06-14,185.92999267578125
2022-06-15,186.41000366210938
2022-06-16,179.1699981689453
2022-06-17,178.25
2022-06-21,181.27999877929688
2022-06-22,181.3800048828125
2022-06-23,180.10000610351562
2022-06-24,187.9199981689453
2022-06-27,187.3000030517578
2022-06-28,182.99000549316406
2022-06-29,180.7899932861328
2022-06-30,182.25
2022-07-01,182.88999938964844
2022-07-05,182.66000366210938
2022-07-06,182.22999572753906
2022-07-07,185.63999938964844
2022-07-08,182.27000427246094
2022-07-11,182.94000244140625
2022-07-12,182.86000061035156
2022-07-13,178.3000030517578
2022-07-14,175.97000122070312
2022-07-15,180.6199951171875
2022-07-18,180.2899932861328
2022-07-19,187.4600067138672
2022-07-20,188.32000732421875
2022-07-21,190.69000244140625
2022-07-22,191.55999755859375
2022-07-25,191.5
2022-07-26,193.75999450683594
2022-07-27,197.82000732421875
2022-07-28,203.5
2022-07-29,207.75999450683594
2022-08-01,207.35000610351562
2022-08-02,204.89999389648438
2022-08-03,208.5399932861328
2022-08-04,209.4199981689453
2022-08-05,210.75999450683594
2022-08-08,209.32000732421875
2022-08-09,209.02000427246094
2022-08-10,213.4499969482422
2022-08-11,213.1699981689453
2022-08-12,217.4600067138672
2022-08-15,213.99000549316406
2022-08-16,217.05999755859375
2022-08-17,215.97000122070312
2022-08-18,216.60000610351562
2022-08-19,213.6999969482422
2022-08-22,206.42999267578125
2022-08-23,205.39999389648438
2022-08-24,205.6199951171875
2022-08-25,207.82000732421875
2022-08-26,199.47000122070312
2022-08-29,196.5399932861328
2022-08-30,196.16000366210938
2022-08-31,194.8300018310547
2022-09-01,197.24000549316406
2022-09-02,195.39999389648438
2022-09-06,197.5500030517578
2022-09-07,202.7899932861328
2022-09-08,203.9600067138672
2022-09-09,206.50999450683594
2022-09-12,207.5800018310547
2022-09-13,200.42999267578125
2022-09-14,198.6300048828125
2022-09-15,194.7899932861328
2022-09-16,194.05999755859375
2022-09-19,197.4499969482422
2022-09-20,194.83999633789062
2022-09-21,192.72000122070312
2022-09-22,188.88999938964844
2022-09-23,187.72999572753906
2022-09-26,187.24000549316406
