Date,SHEL
2022-02-28,52.38999938964844
2022-03-01,51.77000045776367
2022-03-02,54.619998931884766
2022-03-03,51.349998474121094
2022-03-04,49.38999938964844
2022-03-07,51.560001373291016
2022-03-08,52.939998626708984
2022-03-09,51.709999084472656
2022-03-10,51.689998626708984
2022-03-11,50.93000030517578
2022-03-14,49.959999084472656
2022-03-15,50.349998474121094
2022-03-16,50.22999954223633
2022-03-17,51.869998931884766
2022-03-18,51.15999984741211
2022-03-21,53.439998626708984
2022-03-22,53.06999969482422
2022-03-23,54.7400016784668
2022-03-24,55.02000045776367
2022-03-25,55.59000015258789
2022-03-28,53.97999954223633
2022-03-29,53.45000076293945
2022-03-30,55.61000061035156
2022-03-31,54.93000030517578
2022-04-01,55.720001220703125
2022-04-04,55.81999969482422
2022-04-05,54.90999984741211
2022-04-06,55.29999923706055
2022-04-07,55.41999816894531
2022-04-08,56.09000015258789
2022-04-11,55.31999969482422
2022-04-12,55.9900016784668
2022-04-13,57.040000915527344
2022-04-14,57.11000061035156
2022-04-18,57.33000183105469
2022-04-19,58.09000015258789
2022-04-20,57.869998931884766
2022-04-21,56.709999084472656
2022-04-22,55.4900016784668
2022-04-25,53.779998779296875
2022-04-26,53.04999923706055
2022-04-27,53.79999923706055
2022-04-28,54.970001220703125
2022-04-29,53.43000030517578
2022-05-02,53.72999954223633
2022-05-03,55.63999938964844
2022-05-04,56.970001220703125
2022-05-05,56.939998626708984
2022-05-06,57.70000076293945
2022-05-09,54.349998474121094
2022-05-10,54.939998626708984
2022-05-11,55.869998931884766
2022-05-12,55.220001220703125
2022-05-13,56.70000076293945
2022-05-16,58.060001373291016
2022-05-17,58.540000915527344
2022-05-18,58.41999816894531
2022-05-19,58.54999923706055
2022-05-20,58.34000015258789
2022-05-23,60.0099983215332
2022-05-24,59.939998626708984
2022-05-25,60.36000061035156
2022-05-26,60.119998931884766
2022-05-27,60.02000045776367
2022-05-31,59.220001220703125
2022-06-01,59.72999954223633
2022-06-02,59.2400016784668
2022-06-03,59.65999984741211
