Date,NUE
2022-02-28,131.6199951171875
2022-03-01,131.0
2022-03-02,138.00999450683594
2022-03-03,137.52999877929688
2022-03-04,138.72000122070312
2022-03-07,131.89999389648438
2022-03-08,125.95999908447266
2022-03-09,130.00999450683594
2022-03-10,133.55999755859375
2022-03-11,135.25
2022-03-14,132.0500030517578
2022-03-15,135.52000427246094
2022-03-16,135.11000061035156
2022-03-17,134.92999267578125
2022-03-18,136.16000366210938
2022-03-21,142.75
2022-03-22,144.0
2022-03-23,147.13999938964844
2022-03-24,153.52000427246094
2022-03-25,157.6199951171875
2022-03-28,153.85000610351562
2022-03-29,150.5
2022-03-30,149.47000122070312
2022-03-31,148.64999389648438
2022-04-01,149.25999450683594
2022-04-04,149.52000427246094
2022-04-05,148.8000030517578
2022-04-06,146.49000549316406
2022-04-07,150.91000366210938
2022-04-08,150.75999450683594
2022-04-11,152.8000030517578
2022-04-12,157.24000549316406
2022-04-13,163.22999572753906
2022-04-14,165.32000732421875
2022-04-18,170.3300018310547
2022-04-19,171.8300018310547
2022-04-20,169.25
2022-04-21,175.58999633789062
2022-04-22,161.0500030517578
2022-04-25,158.55999755859375
2022-04-26,157.02999877929688
2022-04-27,158.99000549316406
2022-04-28,160.64999389648438
2022-04-29,154.77999877929688
2022-05-02,149.99000549316406
2022-05-03,152.16000366210938
2022-05-04,154.52999877929688
2022-05-05,140.82000732421875
2022-05-06,136.5500030517578
2022-05-09,130.02999877929688
2022-05-10,129.52999877929688
2022-05-11,125.97000122070312
2022-05-12,124.63999938964844
2022-05-13,123.79000091552734
2022-05-16,119.75
2022-05-17,125.06999969482422
2022-05-18,119.18000030517578
2022-05-19,120.70999908447266
2022-05-20,119.97000122070312
2022-05-23,126.30999755859375
2022-05-24,124.22000122070312
2022-05-25,128.66000366210938
2022-05-26,133.07000732421875
2022-05-27,137.74000549316406
2022-05-31,132.4600067138672
2022-06-01,130.7100067138672
2022-06-02,131.6300048828125
2022-06-03,128.7100067138672
2022-06-06,129.47000122070312
2022-06-07,133.77999877929688
2022-06-08,129.86000061035156
2022-06-09,123.66000366210938
2022-06-10,120.16999816894531
2022-06-13,112.2699966430664
2022-06-14,113.72000122070312
2022-06-15,116.45999908447266
2022-06-16,112.56999969482422
2022-06-17,113.98999786376953
2022-06-21,112.26000213623047
2022-06-22,107.83999633789062
2022-06-23,106.04000091552734
2022-06-24,111.05999755859375
2022-06-27,110.05999755859375
2022-06-28,107.97000122070312
2022-06-29,106.25
2022-06-30,104.41000366210938
2022-07-01,105.63999938964844
2022-07-05,104.5999984741211
2022-07-06,105.91000366210938
2022-07-07,110.48999786376953
2022-07-08,109.01000213623047
2022-07-11,107.83000183105469
2022-07-12,109.16999816894531
2022-07-13,109.70999908447266
2022-07-14,108.37000274658203
2022-07-15,110.31999969482422
2022-07-18,114.47000122070312
2022-07-19,117.2300033569336
2022-07-20,117.75
2022-07-21,128.52000427246094
2022-07-22,119.86000061035156
2022-07-25,122.23999786376953
2022-07-26,123.30999755859375
2022-07-27,127.33000183105469
2022-07-28,130.39999389648438
2022-07-29,135.8000030517578
2022-08-01,134.86000061035156
2022-08-02,132.13999938964844
2022-08-03,131.39999389648438
2022-08-04,134.25
2022-08-05,136.63999938964844
2022-08-08,136.5500030517578
2022-08-09,138.58999633789062
2022-08-10,141.49000549316406
2022-08-11,141.89999389648438
2022-08-12,142.88999938964844
2022-08-15,141.8699951171875
2022-08-16,142.64999389648438
2022-08-17,140.47000122070312
2022-08-18,142.5399932861328
2022-08-19,138.1699981689453
2022-08-22,135.41000366210938
2022-08-23,137.4600067138672
2022-08-24,138.1300048828125
2022-08-25,144.2100067138672
2022-08-26,140.50999450683594
2022-08-29,139.55999755859375
2022-08-30,135.1999969482422
2022-08-31,132.94000244140625
2022-09-01,130.39999389648438
2022-09-02,130.77999877929688
2022-09-06,134.4499969482422
2022-09-07,135.61000061035156
2022-09-08,139.4199981689453
2022-09-09,143.55999755859375
2022-09-12,141.72000122070312
2022-09-13,136.10000610351562
2022-09-14,120.70999908447266
2022-09-15,117.2699966430664
2022-09-16,117.08000183105469
2022-09-19,118.81999969482422
2022-09-20,113.5199966430664
2022-09-21,110.5
2022-09-22,108.8499984741211
2022-09-23,105.87000274658203
2022-09-26,103.38999938964844
2022-09-27,105.29000091552734
2022-09-28,106.91999816894531
2022-09-29,105.29000091552734
2022-09-30,106.98999786376953
2022-10-03,114.33000183105469
2022-10-04,119.30999755859375
2022-10-05,117.8499984741211
2022-10-06,117.80999755859375
2022-10-07,115.01000213623047
2022-10-10,118.06999969482422
2022-10-11,118.86000061035156
2022-10-12,119.30999755859375
2022-10-13,124.0
2022-10-14,118.70999908447266
2022-10-17,122.08999633789062
2022-10-18,124.45999908447266
2022-10-19,121.88999938964844
2022-10-20,124.91999816894531
2022-10-21,135.55999755859375
2022-10-24,134.75
2022-10-25,136.50999450683594
2022-10-26,137.02000427246094
2022-10-27,135.5
2022-10-28,134.0
