Date,RTX
2022-02-28,102.69999694824219
2022-03-01,102.7300033569336
2022-03-02,100.73999786376953
2022-03-03,99.83000183105469
2022-03-04,99.58999633789062
2022-03-07,98.19000244140625
2022-03-08,94.8499984741211
2022-03-09,98.5199966430664
2022-03-10,98.51000213623047
2022-03-11,96.91999816894531
2022-03-14,97.04000091552734
2022-03-15,97.62000274658203
2022-03-16,95.80000305175781
2022-03-17,97.75
2022-03-18,97.5199966430664
2022-03-21,99.94000244140625
2022-03-22,101.37999725341797
2022-03-23,101.2300033569336
2022-03-24,101.70999908447266
2022-03-25,102.43000030517578
2022-03-28,101.58999633789062
2022-03-29,101.08000183105469
2022-03-30,100.83000183105469
2022-03-31,99.06999969482422
2022-04-01,100.16999816894531
2022-04-04,99.30000305175781
2022-04-05,98.80999755859375
2022-04-06,98.45999908447266
2022-04-07,100.9800033569336
2022-04-08,100.4000015258789
2022-04-11,102.11000061035156
2022-04-12,102.5999984741211
2022-04-13,103.37000274658203
2022-04-14,104.2699966430664
2022-04-18,104.30000305175781
2022-04-19,104.55000305175781
2022-04-20,104.97000122070312
2022-04-21,101.7300033569336
2022-04-22,100.48999786376953
2022-04-25,99.61000061035156
2022-04-26,99.19000244140625
2022-04-27,98.83999633789062
2022-04-28,98.08000183105469
2022-04-29,94.91000366210938
2022-05-02,94.22000122070312
2022-05-03,95.4000015258789
2022-05-04,97.76000213623047
2022-05-05,96.31999969482422
2022-05-06,95.30000305175781
2022-05-09,91.75
2022-05-10,91.69000244140625
2022-05-11,91.0
2022-05-12,91.4800033569336
2022-05-13,91.91999816894531
2022-05-16,92.4800033569336
2022-05-17,94.94999694824219
2022-05-18,92.61000061035156
2022-05-19,90.25
2022-05-20,90.08000183105469
2022-05-23,91.83000183105469
2022-05-24,93.20999908447266
2022-05-25,93.55999755859375
2022-05-26,95.0
2022-05-27,96.70999908447266
2022-05-31,95.12000274658203
2022-06-01,94.80999755859375
2022-06-02,96.23999786376953
2022-06-03,96.33000183105469
2022-06-06,97.20999908447266
2022-06-07,100.51000213623047
2022-06-08,99.2300033569336
2022-06-09,97.37999725341797
2022-06-10,95.48999786376953
2022-06-13,91.94999694824219
2022-06-14,91.31999969482422
2022-06-15,92.27999877929688
2022-06-16,89.5199966430664
2022-06-17,88.87999725341797
2022-06-21,92.91999816894531
2022-06-22,92.55999755859375
2022-06-23,91.76000213623047
2022-06-24,94.19999694824219
2022-06-27,94.80999755859375
2022-06-28,93.77999877929688
2022-06-29,93.30000305175781
2022-06-30,96.11000061035156
2022-07-01,97.0199966430664
2022-07-05,92.91999816894531
2022-07-06,93.91999816894531
2022-07-07,93.94000244140625
2022-07-08,95.12000274658203
2022-07-11,94.70999908447266
2022-07-12,94.5
2022-07-13,91.80999755859375
2022-07-14,90.08000183105469
2022-07-15,91.2300033569336
2022-07-18,89.80000305175781
2022-07-19,93.81999969482422
2022-07-20,94.83000183105469
2022-07-21,94.88999938964844
2022-07-22,94.20999908447266
2022-07-25,94.56999969482422
2022-07-26,90.23999786376953
2022-07-27,90.2699966430664
2022-07-28,92.38999938964844
2022-07-29,93.20999908447266
2022-08-01,93.23999786376953
2022-08-02,93.75
2022-08-03,94.52999877929688
2022-08-04,92.77999877929688
2022-08-05,93.02999877929688
2022-08-08,91.19999694824219
2022-08-09,91.94000244140625
2022-08-10,93.41999816894531
2022-08-11,93.1500015258789
2022-08-12,95.01000213623047
2022-08-15,96.12999725341797
2022-08-16,95.05000305175781
2022-08-17,94.98999786376953
2022-08-18,94.70999908447266
2022-08-19,93.4000015258789
2022-08-22,91.77999877929688
2022-08-23,92.43000030517578
2022-08-24,93.30999755859375
2022-08-25,96.12999725341797
2022-08-26,93.5199966430664
2022-08-29,92.12000274658203
2022-08-30,90.83000183105469
2022-08-31,89.75
2022-09-01,88.02999877929688
2022-09-02,87.58999633789062
2022-09-06,87.16000366210938
2022-09-07,87.44999694824219
2022-09-08,86.55999755859375
2022-09-09,88.04000091552734
2022-09-12,87.80000305175781
2022-09-13,83.72000122070312
2022-09-14,86.4000015258789
2022-09-15,85.61000061035156
2022-09-16,85.19999694824219
2022-09-19,84.94999694824219
2022-09-20,85.1500015258789
2022-09-21,84.31999969482422
2022-09-22,83.44999694824219
2022-09-23,82.02999877929688
2022-09-26,81.08999633789062
2022-09-27,81.0
2022-09-28,83.30000305175781
2022-09-29,82.33999633789062
2022-09-30,81.86000061035156
2022-10-03,83.11000061035156
2022-10-04,85.52999877929688
2022-10-05,85.20999908447266
2022-10-06,84.27999877929688
2022-10-07,84.01000213623047
2022-10-10,84.16000366210938
2022-10-11,84.58999633789062
2022-10-12,82.98999786376953
2022-10-13,84.87000274658203
2022-10-14,82.58999633789062
2022-10-17,84.47000122070312
2022-10-18,87.36000061035156
2022-10-19,87.62999725341797
2022-10-20,87.23999786376953
2022-10-21,88.54000091552734
2022-10-24,89.7300033569336
2022-10-25,88.36000061035156
2022-10-26,90.5199966430664
2022-10-27,91.80000305175781
2022-10-28,95.08000183105469
2022-10-31,94.81999969482422
2022-11-01,95.55000305175781
2022-11-02,94.1500015258789
2022-11-03,94.80000305175781
2022-11-04,95.22000122070312
2022-11-07,96.16999816894531
2022-11-08,96.2699966430664
2022-11-09,95.12999725341797
2022-11-10,97.83999633789062
2022-11-11,93.6500015258789
2022-11-14,92.94999694824219
2022-11-15,95.79000091552734
2022-11-16,94.3499984741211
2022-11-17,94.52999877929688
2022-11-18,95.36000061035156
2022-11-21,96.19999694824219
2022-11-22,96.8499984741211
2022-11-23,97.12999725341797
