Date,RY
2022-02-28,110.41999816894531
2022-03-01,107.80000305175781
2022-03-02,108.98999786376953
2022-03-03,109.63999938964844
2022-03-04,108.69999694824219
2022-03-07,106.4000015258789
2022-03-08,105.0199966430664
2022-03-09,107.62999725341797
2022-03-10,108.27999877929688
2022-03-11,108.37999725341797
2022-03-14,108.47000122070312
2022-03-15,109.72000122070312
2022-03-16,111.08000183105469
2022-03-17,112.36000061035156
2022-03-18,112.87999725341797
2022-03-21,113.4000015258789
2022-03-22,113.81999969482422
2022-03-23,111.70999908447266
2022-03-24,112.20999908447266
2022-03-25,113.36000061035156
2022-03-28,112.44999694824219
2022-03-29,112.37000274658203
2022-03-30,112.12000274658203
2022-03-31,110.2699966430664
2022-04-01,109.73999786376953
2022-04-04,110.69999694824219
2022-04-05,110.47000122070312
2022-04-06,109.44999694824219
2022-04-07,107.66999816894531
2022-04-08,108.69999694824219
2022-04-11,108.86000061035156
2022-04-12,107.94000244140625
2022-04-13,108.58000183105469
2022-04-14,108.51000213623047
2022-04-18,108.69000244140625
2022-04-19,109.94999694824219
2022-04-20,111.22000122070312
2022-04-21,110.18000030517578
2022-04-22,104.41000366210938
2022-04-25,103.41999816894531
2022-04-26,101.56999969482422
2022-04-27,101.13999938964844
2022-04-28,102.7300033569336
2022-04-29,101.02999877929688
2022-05-02,100.73999786376953
2022-05-03,102.05000305175781
2022-05-04,104.12999725341797
2022-05-05,101.73999786376953
2022-05-06,100.62999725341797
2022-05-09,98.08999633789062
2022-05-10,97.04000091552734
2022-05-11,97.25
2022-05-12,96.13999938964844
2022-05-13,98.05000305175781
2022-05-16,98.7699966430664
2022-05-17,99.27999877929688
2022-05-18,97.77999877929688
2022-05-19,99.19999694824219
2022-05-20,99.16999816894531
2022-05-23,100.77999877929688
2022-05-24,100.48999786376953
2022-05-25,100.3499984741211
2022-05-26,100.69000244140625
2022-05-27,103.04000091552734
2022-05-31,104.4800033569336
2022-06-01,104.80000305175781
2022-06-02,105.70999908447266
2022-06-03,104.7699966430664
2022-06-06,105.33000183105469
2022-06-07,106.26000213623047
2022-06-08,105.0999984741211
2022-06-09,103.05000305175781
2022-06-10,100.61000061035156
2022-06-13,98.26000213623047
2022-06-14,97.26000213623047
2022-06-15,98.19999694824219
2022-06-16,96.4800033569336
