Date,DT
2022-02-28,44.41999816894531
2022-03-01,44.65999984741211
2022-03-02,45.61000061035156
2022-03-03,43.150001525878906
2022-03-04,41.43000030517578
2022-03-07,40.02000045776367
2022-03-08,40.400001525878906
2022-03-09,42.290000915527344
2022-03-10,40.939998626708984
2022-03-11,39.91999816894531
2022-03-14,38.65999984741211
2022-03-15,39.599998474121094
2022-03-16,42.560001373291016
2022-03-17,43.220001220703125
2022-03-18,45.43000030517578
2022-03-21,45.08000183105469
2022-03-22,47.02000045776367
2022-03-23,47.0
2022-03-24,48.5
2022-03-25,47.38999938964844
2022-03-28,47.689998626708984
2022-03-29,48.58000183105469
2022-03-30,47.810001373291016
2022-03-31,47.099998474121094
2022-04-01,47.849998474121094
2022-04-04,48.54999923706055
2022-04-05,46.279998779296875
2022-04-06,44.380001068115234
2022-04-07,44.529998779296875
2022-04-08,43.900001525878906
2022-04-11,43.720001220703125
2022-04-12,43.31999969482422
2022-04-13,44.16999816894531
2022-04-14,41.88999938964844
2022-04-18,41.02000045776367
2022-04-19,42.869998931884766
2022-04-20,42.58000183105469
2022-04-21,41.060001373291016
2022-04-22,39.900001525878906
2022-04-25,41.02000045776367
2022-04-26,38.779998779296875
2022-04-27,38.880001068115234
2022-04-28,40.34000015258789
2022-04-29,38.36000061035156
2022-05-02,39.709999084472656
2022-05-03,40.0099983215332
2022-05-04,41.310001373291016
2022-05-05,37.06999969482422
2022-05-06,35.63999938964844
2022-05-09,31.920000076293945
2022-05-10,31.5
2022-05-11,30.110000610351562
2022-05-12,32.540000915527344
2022-05-13,35.38999938964844
2022-05-16,33.5
2022-05-17,32.810001373291016
2022-05-18,33.119998931884766
2022-05-19,36.90999984741211
2022-05-20,37.970001220703125
2022-05-23,37.97999954223633
2022-05-24,37.68000030517578
2022-05-25,37.720001220703125
2022-05-26,37.599998474121094
2022-05-27,38.189998626708984
2022-05-31,37.66999816894531
2022-06-01,38.869998931884766
2022-06-02,41.33000183105469
2022-06-03,40.97999954223633
2022-06-06,41.599998474121094
2022-06-07,42.45000076293945
2022-06-08,43.77000045776367
2022-06-09,42.38999938964844
2022-06-10,41.36000061035156
2022-06-13,39.09000015258789
2022-06-14,38.81999969482422
2022-06-15,40.189998626708984
2022-06-16,37.43000030517578
2022-06-17,38.459999084472656
2022-06-21,40.09000015258789
2022-06-22,40.459999084472656
2022-06-23,41.79999923706055
2022-06-24,44.08000183105469
2022-06-27,42.630001068115234
2022-06-28,41.599998474121094
2022-06-29,41.5099983215332
2022-06-30,39.439998626708984
2022-07-01,41.0099983215332
2022-07-05,42.02000045776367
2022-07-06,41.15999984741211
2022-07-07,42.529998779296875
2022-07-08,42.0099983215332
2022-07-11,41.349998474121094
2022-07-12,36.93000030517578
2022-07-13,37.27000045776367
2022-07-14,35.40999984741211
2022-07-15,36.279998779296875
2022-07-18,36.279998779296875
2022-07-19,36.900001525878906
2022-07-20,39.400001525878906
2022-07-21,39.90999984741211
2022-07-22,37.119998931884766
2022-07-25,36.90999984741211
2022-07-26,35.7599983215332
2022-07-27,37.720001220703125
2022-07-28,37.459999084472656
2022-07-29,37.630001068115234
2022-08-01,37.4900016784668
2022-08-02,38.34000015258789
2022-08-03,40.43000030517578
2022-08-04,40.7400016784668
2022-08-05,41.63999938964844
2022-08-08,42.060001373291016
2022-08-09,41.88999938964844
2022-08-10,43.34000015258789
2022-08-11,42.849998474121094
2022-08-12,43.29999923706055
2022-08-15,42.84000015258789
2022-08-16,42.189998626708984
2022-08-17,41.310001373291016
2022-08-18,41.18000030517578
2022-08-19,39.630001068115234
2022-08-22,38.790000915527344
2022-08-23,38.650001525878906
2022-08-24,38.599998474121094
2022-08-25,39.0
2022-08-26,38.15999984741211
2022-08-29,38.31999969482422
2022-08-30,38.099998474121094
2022-08-31,38.18000030517578
2022-09-01,36.58000183105469
2022-09-02,36.75
2022-09-06,38.18000030517578
2022-09-07,39.150001525878906
2022-09-08,39.7400016784668
2022-09-09,40.72999954223633
2022-09-12,41.5099983215332
2022-09-13,39.15999984741211
2022-09-14,39.77000045776367
2022-09-15,38.63999938964844
2022-09-16,37.33000183105469
2022-09-19,37.099998474121094
2022-09-20,37.45000076293945
2022-09-21,35.880001068115234
2022-09-22,34.099998474121094
2022-09-23,33.209999084472656
2022-09-26,33.20000076293945
2022-09-27,33.790000915527344
2022-09-28,34.59000015258789
2022-09-29,34.599998474121094
2022-09-30,34.810001373291016
2022-10-03,35.88999938964844
2022-10-04,38.189998626708984
2022-10-05,38.04999923706055
2022-10-06,37.900001525878906
2022-10-07,36.41999816894531
2022-10-10,34.689998626708984
2022-10-11,34.25
2022-10-12,34.25
2022-10-13,33.900001525878906
2022-10-14,32.59000015258789
2022-10-17,34.47999954223633
2022-10-18,34.86000061035156
2022-10-19,33.650001525878906
2022-10-20,33.650001525878906
2022-10-21,33.400001525878906
2022-10-24,33.7400016784668
2022-10-25,35.2599983215332
2022-10-26,34.13999938964844
2022-10-27,35.310001373291016
2022-10-28,35.540000915527344
2022-10-31,35.2400016784668
2022-11-01,34.16999816894531
2022-11-02,32.0
2022-11-03,33.25
2022-11-04,32.4900016784668
2022-11-07,33.75
2022-11-08,35.36000061035156
2022-11-09,34.130001068115234
2022-11-10,36.75
2022-11-11,38.290000915527344
2022-11-14,37.400001525878906
2022-11-15,38.59000015258789
2022-11-16,37.58000183105469
2022-11-17,36.72999954223633
2022-11-18,36.59000015258789
2022-11-21,36.810001373291016
2022-11-22,36.33000183105469
2022-11-23,36.880001068115234
2022-11-25,36.709999084472656
