Date,SE
2022-02-28,145.60000610351562
2022-03-01,126.5
2022-03-02,117.75
2022-03-03,110.04000091552734
2022-03-04,97.44000244140625
2022-03-07,89.98999786376953
2022-03-08,91.52999877929688
2022-03-09,99.0
2022-03-10,98.94999694824219
2022-03-11,91.04000091552734
2022-03-14,87.77999877929688
2022-03-15,93.7699966430664
2022-03-16,111.36000061035156
2022-03-17,114.2300033569336
2022-03-18,122.54000091552734
2022-03-21,114.2300033569336
2022-03-22,124.5
2022-03-23,126.81999969482422
2022-03-24,123.31999969482422
2022-03-25,116.12000274658203
2022-03-28,116.9800033569336
2022-03-29,127.36000061035156
2022-03-30,123.44000244140625
2022-03-31,119.79000091552734
2022-04-01,121.0999984741211
2022-04-04,132.72000122070312
2022-04-05,124.86000061035156
2022-04-06,120.7699966430664
2022-04-07,116.25
2022-04-08,114.41999816894531
2022-04-11,113.93000030517578
2022-04-12,108.80000305175781
2022-04-13,113.16999816894531
2022-04-14,108.58000183105469
2022-04-18,104.02999877929688
2022-04-19,107.52999877929688
2022-04-20,100.16999816894531
2022-04-21,91.22000122070312
2022-04-22,87.62000274658203
2022-04-25,89.5199966430664
2022-04-26,83.30999755859375
2022-04-27,82.5199966430664
2022-04-28,84.69999694824219
2022-04-29,82.76000213623047
2022-05-02,88.69000244140625
2022-05-03,87.58999633789062
2022-05-04,90.16999816894531
2022-05-05,81.91000366210938
2022-05-06,76.19999694824219
2022-05-09,64.62000274658203
2022-05-10,64.18000030517578
2022-05-11,57.11000061035156
2022-05-12,61.45000076293945
2022-05-13,75.4000015258789
2022-05-16,70.33000183105469
2022-05-17,80.20999908447266
2022-05-18,74.19999694824219
2022-05-19,76.88999938964844
2022-05-20,79.66000366210938
2022-05-23,77.25
2022-05-24,71.33999633789062
2022-05-25,75.70999908447266
2022-05-26,79.55000305175781
2022-05-27,82.86000061035156
2022-05-31,82.66000366210938
2022-06-01,79.75
2022-06-02,83.04000091552734
2022-06-03,78.76000213623047
2022-06-06,81.25
2022-06-07,86.27999877929688
2022-06-08,88.80999755859375
2022-06-09,82.18000030517578
2022-06-10,76.27999877929688
2022-06-13,70.62000274658203
2022-06-14,70.94999694824219
2022-06-15,75.68000030517578
2022-06-16,69.02999877929688
2022-06-17,70.19999694824219
2022-06-21,72.87000274658203
2022-06-22,71.27999877929688
2022-06-23,78.19999694824219
2022-06-24,80.47000122070312
2022-06-27,75.05000305175781
2022-06-28,71.88999938964844
2022-06-29,68.9000015258789
2022-06-30,66.86000061035156
2022-07-01,69.05999755859375
2022-07-05,75.33999633789062
2022-07-06,73.7300033569336
2022-07-07,76.5
2022-07-08,77.5199966430664
2022-07-11,72.70999908447266
2022-07-12,72.51000213623047
2022-07-13,71.11000061035156
2022-07-14,67.77999877929688
2022-07-15,69.1500015258789
2022-07-18,69.25
2022-07-19,75.3499984741211
2022-07-20,78.5199966430664
2022-07-21,83.38999938964844
2022-07-22,77.31999969482422
2022-07-25,75.13999938964844
2022-07-26,71.81999969482422
2022-07-27,76.91999816894531
2022-07-28,76.77999877929688
2022-07-29,76.31999969482422
2022-08-01,77.23999786376953
2022-08-02,79.48999786376953
2022-08-03,84.01000213623047
2022-08-04,86.95999908447266
2022-08-05,87.56999969482422
2022-08-08,85.54000091552734
2022-08-09,83.52999877929688
2022-08-10,87.27999877929688
2022-08-11,88.58000183105469
2022-08-12,88.70999908447266
2022-08-15,89.97000122070312
2022-08-16,77.43000030517578
2022-08-17,72.48999786376953
2022-08-18,70.0
2022-08-19,67.66999816894531
2022-08-22,64.30000305175781
2022-08-23,63.380001068115234
2022-08-24,64.63999938964844
2022-08-25,67.48999786376953
2022-08-26,63.81999969482422
2022-08-29,61.34000015258789
2022-08-30,62.34000015258789
2022-08-31,62.0
2022-09-01,61.31999969482422
2022-09-02,59.93000030517578
