Date,FERG
2022-02-28,152.24000549316406
2022-03-01,150.8800048828125
2022-03-02,152.8300018310547
2022-03-03,151.42999267578125
2022-03-04,145.83999633789062
2022-03-07,137.25999450683594
2022-03-08,149.11000061035156
2022-03-09,149.5
2022-03-10,143.57000732421875
2022-03-11,144.57000732421875
2022-03-14,154.61000061035156
2022-03-15,145.66000366210938
2022-03-16,144.38999938964844
2022-03-17,146.0399932861328
2022-03-18,148.1999969482422
2022-03-21,146.89999389648438
2022-03-22,149.02000427246094
2022-03-23,147.13999938964844
2022-03-24,144.36000061035156
2022-03-25,139.75
2022-03-28,136.2899932861328
2022-03-29,137.00999450683594
2022-03-30,137.10000610351562
2022-03-31,134.1199951171875
2022-04-01,133.82000732421875
2022-04-04,134.2100067138672
2022-04-05,129.72000122070312
2022-04-06,125.31999969482422
2022-04-07,128.52999877929688
2022-04-08,128.9499969482422
2022-04-11,128.00999450683594
2022-04-12,125.93000030517578
2022-04-13,131.47999572753906
2022-04-14,132.0
2022-04-18,132.0
2022-04-19,135.89999389648438
2022-04-20,138.47999572753906
2022-04-21,138.91000366210938
2022-04-22,134.91000366210938
2022-04-25,131.86000061035156
2022-04-26,126.4800033569336
2022-04-27,126.0199966430664
2022-04-28,127.61000061035156
2022-04-29,124.70999908447266
2022-05-02,124.52999877929688
2022-05-03,124.04000091552734
2022-05-04,126.3499984741211
2022-05-05,120.5999984741211
2022-05-06,115.7699966430664
2022-05-09,113.22000122070312
2022-05-10,115.72000122070312
2022-05-11,115.4000015258789
2022-05-12,120.75
2022-05-13,122.08999633789062
2022-05-16,120.0
2022-05-17,123.38999938964844
2022-05-18,116.63999938964844
2022-05-19,118.13999938964844
2022-05-20,118.0999984741211
2022-05-23,118.33000183105469
2022-05-24,116.93000030517578
2022-05-25,118.37000274658203
2022-05-26,119.29000091552734
2022-05-27,121.0
2022-05-31,119.55999755859375
2022-06-01,118.26000213623047
2022-06-02,121.5999984741211
2022-06-03,119.37999725341797
2022-06-06,120.20999908447266
2022-06-07,120.36000061035156
2022-06-08,119.58000183105469
2022-06-09,116.76000213623047
2022-06-10,112.55000305175781
2022-06-13,108.22000122070312
2022-06-14,110.44000244140625
2022-06-15,110.72000122070312
2022-06-16,105.94999694824219
2022-06-17,109.6500015258789
2022-06-21,110.88999938964844
2022-06-22,108.11000061035156
2022-06-23,106.55999755859375
2022-06-24,113.58000183105469
2022-06-27,114.75
2022-06-28,112.81999969482422
2022-06-29,113.94999694824219
2022-06-30,110.70999908447266
2022-07-01,109.86000061035156
2022-07-05,108.0
2022-07-06,109.47000122070312
2022-07-07,112.22000122070312
2022-07-08,111.08000183105469
2022-07-11,110.44999694824219
2022-07-12,109.73999786376953
2022-07-13,108.63999938964844
2022-07-14,110.26000213623047
2022-07-15,113.86000061035156
2022-07-18,113.12999725341797
2022-07-19,115.83999633789062
2022-07-20,116.2699966430664
2022-07-21,118.04000091552734
2022-07-22,119.0199966430664
2022-07-25,119.55999755859375
2022-07-26,115.4800033569336
2022-07-27,118.33999633789062
2022-07-28,120.45999908447266
2022-07-29,126.08000183105469
2022-08-01,125.12999725341797
2022-08-02,123.5999984741211
2022-08-03,123.0
2022-08-04,125.69000244140625
2022-08-05,124.81999969482422
2022-08-08,123.79000091552734
2022-08-09,120.56999969482422
2022-08-10,126.7300033569336
2022-08-11,126.06999969482422
2022-08-12,126.01000213623047
2022-08-15,126.02999877929688
2022-08-16,128.00999450683594
2022-08-17,127.58000183105469
2022-08-18,127.22000122070312
2022-08-19,123.87000274658203
2022-08-22,122.9000015258789
2022-08-23,120.33000183105469
2022-08-24,120.36000061035156
2022-08-25,121.44000244140625
2022-08-26,118.0
2022-08-29,118.44999694824219
2022-08-30,117.62000274658203
2022-08-31,115.48999786376953
2022-09-01,115.5
2022-09-02,113.7699966430664
2022-09-06,114.08000183105469
2022-09-07,115.41000366210938
2022-09-08,115.83000183105469
2022-09-09,118.52999877929688
2022-09-12,120.2300033569336
2022-09-13,116.63999938964844
2022-09-14,115.94000244140625
2022-09-15,113.63999938964844
2022-09-16,111.93000030517578
2022-09-19,113.22000122070312
2022-09-20,110.97000122070312
2022-09-21,109.7699966430664
2022-09-22,109.19999694824219
2022-09-23,108.48999786376953
2022-09-26,108.37999725341797
2022-09-27,103.22000122070312
2022-09-28,106.93000030517578
2022-09-29,104.02999877929688
2022-09-30,102.93000030517578
2022-10-03,108.1500015258789
2022-10-04,114.5
2022-10-05,113.83000183105469
2022-10-06,112.83999633789062
2022-10-07,109.26000213623047
2022-10-10,110.5
2022-10-11,108.56999969482422
2022-10-12,106.25
2022-10-13,108.06999969482422
2022-10-14,104.33000183105469
2022-10-17,107.58999633789062
2022-10-18,108.29000091552734
2022-10-19,103.52999877929688
2022-10-20,102.18000030517578
2022-10-21,103.69000244140625
2022-10-24,106.04000091552734
2022-10-25,109.3499984741211
2022-10-26,112.55999755859375
2022-10-27,109.4800033569336
2022-10-28,111.16000366210938
2022-10-31,109.26000213623047
2022-11-01,110.0999984741211
2022-11-02,108.37999725341797
2022-11-03,107.38999938964844
2022-11-04,109.97000122070312
2022-11-07,110.69000244140625
2022-11-08,112.0999984741211
2022-11-09,111.2699966430664
2022-11-10,123.4000015258789
2022-11-11,120.97000122070312
2022-11-14,120.91000366210938
2022-11-15,120.44000244140625
2022-11-16,116.54000091552734
2022-11-17,115.37000274658203
2022-11-18,116.87000274658203
2022-11-21,117.9000015258789
2022-11-22,120.51000213623047
2022-11-23,120.25
2022-11-25,120.45999908447266
2022-11-28,116.95999908447266
