Date,STM
2022-02-28,42.31999969482422
2022-03-01,40.45000076293945
2022-03-02,41.209999084472656
2022-03-03,40.36000061035156
2022-03-04,37.630001068115234
2022-03-07,35.65999984741211
2022-03-08,36.720001220703125
2022-03-09,39.779998779296875
2022-03-10,38.81999969482422
2022-03-11,37.709999084472656
2022-03-14,37.619998931884766
2022-03-15,38.869998931884766
2022-03-16,42.060001373291016
2022-03-17,42.130001068115234
2022-03-18,43.02000045776367
2022-03-21,42.9900016784668
2022-03-22,43.0099983215332
2022-03-23,42.189998626708984
2022-03-24,44.36000061035156
2022-03-25,44.5
2022-03-28,44.88999938964844
2022-03-29,46.2400016784668
2022-03-30,44.84000015258789
2022-03-31,43.220001220703125
2022-04-01,42.7599983215332
2022-04-04,42.66999816894531
2022-04-05,39.810001373291016
2022-04-06,38.90999984741211
2022-04-07,38.810001373291016
2022-04-08,37.810001373291016
2022-04-11,37.86000061035156
2022-04-12,37.09000015258789
2022-04-13,37.810001373291016
2022-04-14,36.54999923706055
2022-04-18,37.11000061035156
2022-04-19,37.68000030517578
2022-04-20,38.38999938964844
2022-04-21,38.18000030517578
2022-04-22,37.470001220703125
2022-04-25,38.310001373291016
2022-04-26,36.779998779296875
2022-04-27,36.790000915527344
2022-04-28,38.630001068115234
2022-04-29,36.619998931884766
2022-05-02,37.38999938964844
2022-05-03,37.63999938964844
2022-05-04,38.91999816894531
2022-05-05,36.75
2022-05-06,36.56999969482422
2022-05-09,34.93000030517578
2022-05-10,35.790000915527344
2022-05-11,35.060001373291016
2022-05-12,37.02000045776367
2022-05-13,39.529998779296875
2022-05-16,38.68000030517578
2022-05-17,40.56999969482422
2022-05-18,38.40999984741211
2022-05-19,39.060001373291016
2022-05-20,39.06999969482422
2022-05-23,39.31999969482422
2022-05-24,38.25
2022-05-25,38.4900016784668
2022-05-26,39.279998779296875
2022-05-27,40.22999954223633
2022-05-31,40.08000183105469
2022-06-01,39.5
2022-06-02,41.04999923706055
2022-06-03,39.63999938964844
2022-06-06,39.33000183105469
2022-06-07,39.689998626708984
2022-06-08,39.220001220703125
2022-06-09,37.54999923706055
2022-06-10,36.310001373291016
2022-06-13,33.720001220703125
2022-06-14,33.970001220703125
2022-06-15,35.15999984741211
2022-06-16,33.040000915527344
2022-06-17,33.189998626708984
2022-06-21,33.779998779296875
2022-06-22,33.130001068115234
2022-06-23,32.650001525878906
2022-06-24,33.84000015258789
2022-06-27,33.470001220703125
2022-06-28,32.599998474121094
2022-06-29,32.2400016784668
