Date,PKX
2022-02-28,59.31999969482422
2022-03-01,58.779998779296875
2022-03-02,59.4900016784668
2022-03-03,60.029998779296875
2022-03-04,59.099998474121094
2022-03-07,55.88999938964844
2022-03-08,54.72999954223633
2022-03-09,55.75
2022-03-10,57.380001068115234
2022-03-11,56.439998626708984
2022-03-14,56.95000076293945
2022-03-15,57.0
2022-03-16,59.0
2022-03-17,59.4900016784668
2022-03-18,59.66999816894531
2022-03-21,60.08000183105469
2022-03-22,60.43000030517578
2022-03-23,62.369998931884766
2022-03-24,62.34000015258789
2022-03-25,61.630001068115234
2022-03-28,61.04999923706055
2022-03-29,61.63999938964844
2022-03-30,59.220001220703125
2022-03-31,59.27000045776367
2022-04-01,59.72999954223633
2022-04-04,60.4900016784668
2022-04-05,58.369998931884766
2022-04-06,58.22999954223633
2022-04-07,57.779998779296875
2022-04-08,58.33000183105469
2022-04-11,58.369998931884766
2022-04-12,57.93000030517578
2022-04-13,59.0
2022-04-14,58.599998474121094
2022-04-18,57.689998626708984
2022-04-19,58.369998931884766
2022-04-20,59.22999954223633
2022-04-21,58.540000915527344
2022-04-22,57.45000076293945
2022-04-25,56.13999938964844
2022-04-26,55.08000183105469
2022-04-27,54.95000076293945
2022-04-28,57.38999938964844
2022-04-29,56.709999084472656
2022-05-02,57.13999938964844
2022-05-03,57.220001220703125
2022-05-04,58.81999969482422
2022-05-05,55.869998931884766
2022-05-06,55.75
2022-05-09,53.83000183105469
2022-05-10,53.58000183105469
2022-05-11,53.2599983215332
2022-05-12,52.400001525878906
2022-05-13,55.029998779296875
2022-05-16,55.43000030517578
2022-05-17,57.369998931884766
2022-05-18,55.02000045776367
2022-05-19,56.189998626708984
2022-05-20,56.970001220703125
2022-05-23,58.47999954223633
2022-05-24,57.880001068115234
2022-05-25,57.25
2022-05-26,58.599998474121094
2022-05-27,59.060001373291016
2022-05-31,57.52000045776367
2022-06-01,57.5099983215332
2022-06-02,58.310001373291016
2022-06-03,57.099998474121094
2022-06-06,57.529998779296875
2022-06-07,57.939998626708984
2022-06-08,56.209999084472656
2022-06-09,54.650001525878906
2022-06-10,53.38999938964844
2022-06-13,50.18000030517578
2022-06-14,50.5099983215332
2022-06-15,51.119998931884766
2022-06-16,50.20000076293945
2022-06-17,50.18000030517578
2022-06-21,49.040000915527344
2022-06-22,46.209999084472656
2022-06-23,44.56999969482422
2022-06-24,46.810001373291016
2022-06-27,46.41999816894531
2022-06-28,46.04999923706055
2022-06-29,44.90999984741211
2022-06-30,44.52000045776367
2022-07-01,44.79999923706055
2022-07-05,44.040000915527344
2022-07-06,44.09000015258789
2022-07-07,44.7599983215332
2022-07-08,44.439998626708984
2022-07-11,43.459999084472656
2022-07-12,42.79999923706055
2022-07-13,43.4900016784668
2022-07-14,42.04999923706055
2022-07-15,42.63999938964844
2022-07-18,43.040000915527344
2022-07-19,44.869998931884766
2022-07-20,44.279998779296875
