Date,CSL
2022-02-28,237.39999389648438
2022-03-01,231.64999389648438
2022-03-02,236.33999633789062
2022-03-03,238.58999633789062
2022-03-04,232.22000122070312
2022-03-07,225.0
2022-03-08,217.92999267578125
2022-03-09,225.3300018310547
2022-03-10,229.52000427246094
2022-03-11,232.00999450683594
2022-03-14,233.75
2022-03-15,238.5800018310547
2022-03-16,246.47999572753906
2022-03-17,249.05999755859375
2022-03-18,245.7100067138672
2022-03-21,246.83999633789062
2022-03-22,249.02999877929688
2022-03-23,244.4600067138672
2022-03-24,246.61000061035156
2022-03-25,247.30999755859375
2022-03-28,248.8699951171875
2022-03-29,253.27000427246094
2022-03-30,250.36000061035156
2022-03-31,245.9199981689453
2022-04-01,250.19000244140625
2022-04-04,247.91000366210938
2022-04-05,240.3699951171875
2022-04-06,234.69000244140625
2022-04-07,235.0
2022-04-08,236.07000732421875
2022-04-11,241.0399932861328
2022-04-12,244.30999755859375
2022-04-13,245.77999877929688
2022-04-14,244.2899932861328
2022-04-18,243.3800048828125
2022-04-19,252.94000244140625
2022-04-20,259.4599914550781
2022-04-21,254.52000427246094
2022-04-22,246.57000732421875
2022-04-25,250.3000030517578
2022-04-26,244.9199981689453
2022-04-27,244.22000122070312
2022-04-28,249.92999267578125
2022-04-29,259.3599853515625
2022-05-02,259.510009765625
2022-05-03,266.0
2022-05-04,272.8399963378906
2022-05-05,262.0899963378906
2022-05-06,262.8999938964844
2022-05-09,251.19000244140625
2022-05-10,246.77000427246094
2022-05-11,241.80999755859375
2022-05-12,244.00999450683594
2022-05-13,245.64999389648438
2022-05-16,249.7100067138672
2022-05-17,257.6099853515625
2022-05-18,246.36000061035156
2022-05-19,248.27999877929688
2022-05-20,241.9499969482422
2022-05-23,248.86000061035156
2022-05-24,243.6199951171875
2022-05-25,245.42999267578125
2022-05-26,251.0
2022-05-27,253.58999633789062
2022-05-31,254.42999267578125
2022-06-01,255.22000122070312
2022-06-02,262.1600036621094
2022-06-03,264.1400146484375
2022-06-06,267.1400146484375
2022-06-07,272.20001220703125
2022-06-08,266.7699890136719
2022-06-09,263.6099853515625
2022-06-10,256.8699951171875
2022-06-13,245.02000427246094
2022-06-14,245.25999450683594
2022-06-15,248.58999633789062
2022-06-16,233.35000610351562
2022-06-17,234.55999755859375
2022-06-21,234.41000366210938
2022-06-22,237.61000061035156
