Date,BABA
2022-02-28,105.19000244140625
2022-03-01,107.08999633789062
2022-03-02,105.41999816894531
2022-03-03,102.05000305175781
2022-03-04,100.5999984741211
2022-03-07,98.66000366210938
2022-03-08,97.5
2022-03-09,100.93000030517578
2022-03-10,92.91999816894531
2022-03-11,86.70999908447266
2022-03-14,77.76000213623047
2022-03-15,76.76000213623047
2022-03-16,104.9800033569336
2022-03-17,100.37000274658203
2022-03-18,108.30000305175781
2022-03-21,103.58999633789062
2022-03-22,114.98999786376953
2022-03-23,117.23999786376953
2022-03-24,115.1500015258789
2022-03-25,112.98999786376953
2022-03-28,115.08999633789062
2022-03-29,116.70999908447266
2022-03-30,116.58000183105469
2022-03-31,108.80000305175781
2022-04-01,110.19999694824219
2022-04-04,117.5
2022-04-05,111.0
2022-04-06,107.68000030517578
2022-04-07,104.2699966430664
2022-04-08,103.52999877929688
2022-04-11,101.55000305175781
2022-04-12,99.75
2022-04-13,100.02999877929688
2022-04-14,95.48999786376953
2022-04-18,94.70999908447266
2022-04-19,93.5
2022-04-20,89.41000366210938
2022-04-21,85.98999786376953
2022-04-22,86.48999786376953
2022-04-25,85.83999633789062
2022-04-26,83.98999786376953
2022-04-27,88.31999969482422
2022-04-28,90.91000366210938
2022-04-29,97.08999633789062
2022-05-02,101.20999908447266
2022-05-03,100.37999725341797
2022-05-04,101.41000366210938
2022-05-05,94.63999938964844
2022-05-06,90.05000305175781
2022-05-09,84.83999633789062
2022-05-10,84.56999969482422
2022-05-11,81.7300033569336
2022-05-12,81.08999633789062
2022-05-13,87.98999786376953
2022-05-16,86.4800033569336
2022-05-17,91.98999786376953
2022-05-18,87.30999755859375
2022-05-19,87.69000244140625
2022-05-20,86.79000091552734
2022-05-23,87.2300033569336
2022-05-24,82.47000122070312
2022-05-25,82.30999755859375
2022-05-26,94.4800033569336
2022-05-27,93.41000366210938
2022-05-31,96.05000305175781
2022-06-01,93.37999725341797
2022-06-02,97.5
2022-06-03,93.20999908447266
2022-06-06,99.01000213623047
2022-06-07,104.31999969482422
2022-06-08,119.62000274658203
2022-06-09,109.9000015258789
2022-06-10,109.83999633789062
2022-06-13,98.5199966430664
2022-06-14,105.2300033569336
2022-06-15,108.02999877929688
2022-06-16,101.44999694824219
2022-06-17,102.23999786376953
2022-06-21,106.38999938964844
2022-06-22,105.1500015258789
2022-06-23,112.11000061035156
2022-06-24,117.62000274658203
2022-06-27,118.7300033569336
2022-06-28,116.76000213623047
2022-06-29,116.02999877929688
2022-06-30,113.68000030517578
2022-07-01,116.0
2022-07-05,120.12999725341797
2022-07-06,119.12000274658203
2022-07-07,122.38999938964844
2022-07-08,120.9000015258789
2022-07-11,109.56999969482422
2022-07-12,109.20999908447266
2022-07-13,109.0999984741211
2022-07-14,103.76000213623047
2022-07-15,102.44000244140625
2022-07-18,103.13999938964844
2022-07-19,104.75
2022-07-20,103.95999908447266
2022-07-21,105.12999725341797
2022-07-22,100.61000061035156
2022-07-25,101.05999755859375
2022-07-26,101.44000244140625
