Date,AON
2022-02-28,292.1400146484375
2022-03-01,289.8399963378906
2022-03-02,292.8399963378906
2022-03-03,294.2099914550781
2022-03-04,293.739990234375
2022-03-07,288.3800048828125
2022-03-08,276.92999267578125
2022-03-09,291.0
2022-03-10,293.6000061035156
2022-03-11,295.3299865722656
2022-03-14,297.260009765625
2022-03-15,307.6199951171875
2022-03-16,309.5199890136719
2022-03-17,315.92999267578125
2022-03-18,318.3800048828125
2022-03-21,317.8999938964844
2022-03-22,315.239990234375
2022-03-23,313.7699890136719
2022-03-24,317.3699951171875
2022-03-25,322.94000244140625
2022-03-28,326.2200012207031
2022-03-29,325.9800109863281
2022-03-30,326.3900146484375
2022-03-31,325.6300048828125
2022-04-01,328.8299865722656
2022-04-04,326.7300109863281
2022-04-05,325.9700012207031
2022-04-06,330.4599914550781
2022-04-07,333.489990234375
2022-04-08,333.510009765625
2022-04-11,333.6099853515625
2022-04-12,329.2900085449219
2022-04-13,330.1000061035156
2022-04-14,328.260009765625
2022-04-18,329.04998779296875
2022-04-19,330.7900085449219
2022-04-20,333.2200012207031
2022-04-21,333.4599914550781
2022-04-22,321.6400146484375
2022-04-25,321.44000244140625
2022-04-26,310.2699890136719
2022-04-27,311.2200012207031
2022-04-28,318.0
2022-04-29,287.989990234375
2022-05-02,282.1199951171875
2022-05-03,284.54998779296875
2022-05-04,292.1000061035156
2022-05-05,286.54998779296875
2022-05-06,286.2900085449219
2022-05-09,275.0899963378906
2022-05-10,279.17999267578125
2022-05-11,275.04998779296875
2022-05-12,275.739990234375
2022-05-13,280.6000061035156
2022-05-16,277.82000732421875
2022-05-17,279.0299987792969
2022-05-18,269.489990234375
2022-05-19,266.6600036621094
2022-05-20,262.7099914550781
2022-05-23,266.4800109863281
2022-05-24,268.1400146484375
2022-05-25,265.239990234375
2022-05-26,272.739990234375
2022-05-27,281.67999267578125
2022-05-31,275.6700134277344
2022-06-01,270.5899963378906
2022-06-02,278.6300048828125
2022-06-03,268.5799865722656
2022-06-06,271.8900146484375
2022-06-07,270.6199951171875
2022-06-08,266.79998779296875
2022-06-09,259.1099853515625
2022-06-10,253.63999938964844
2022-06-13,253.1300048828125
2022-06-14,251.1300048828125
2022-06-15,253.1300048828125
2022-06-16,248.5
2022-06-17,251.64999389648438
2022-06-21,254.75999450683594
2022-06-22,257.04998779296875
2022-06-23,263.989990234375
2022-06-24,271.739990234375
2022-06-27,271.5199890136719
2022-06-28,265.6600036621094
2022-06-29,268.8800048828125
2022-06-30,269.67999267578125
2022-07-01,273.9200134277344
2022-07-05,275.9700012207031
2022-07-06,279.6099853515625
2022-07-07,274.29998779296875
2022-07-08,274.3699951171875
2022-07-11,274.0400085449219
2022-07-12,270.55999755859375
2022-07-13,269.44000244140625
2022-07-14,268.5899963378906
2022-07-15,271.6000061035156
2022-07-18,267.1000061035156
2022-07-19,275.69000244140625
2022-07-20,275.2699890136719
2022-07-21,280.6700134277344
2022-07-22,279.489990234375
2022-07-25,281.1600036621094
2022-07-26,279.239990234375
2022-07-27,286.05999755859375
2022-07-28,292.760009765625
2022-07-29,291.0400085449219
2022-08-01,280.3399963378906
2022-08-02,280.260009765625
2022-08-03,286.0299987792969
2022-08-04,285.75
2022-08-05,287.5299987792969
2022-08-08,289.8299865722656
2022-08-09,293.4200134277344
2022-08-10,297.7200012207031
2022-08-11,296.69000244140625
2022-08-12,301.4800109863281
2022-08-15,300.67999267578125
2022-08-16,301.0
2022-08-17,300.3999938964844
2022-08-18,302.57000732421875
2022-08-19,299.8699951171875
2022-08-22,292.75
2022-08-23,286.69000244140625
2022-08-24,287.32000732421875
2022-08-25,290.239990234375
2022-08-26,285.8699951171875
2022-08-29,282.8999938964844
2022-08-30,282.1199951171875
2022-08-31,279.260009765625
2022-09-01,280.7799987792969
2022-09-02,278.3399963378906
2022-09-06,281.2300109863281
2022-09-07,288.57000732421875
2022-09-08,290.95001220703125
2022-09-09,292.0899963378906
2022-09-12,294.010009765625
2022-09-13,284.0400085449219
2022-09-14,283.7699890136719
2022-09-15,280.1300048828125
2022-09-16,277.1199951171875
2022-09-19,278.7099914550781
2022-09-20,276.2200012207031
2022-09-21,272.989990234375
2022-09-22,272.2200012207031
2022-09-23,273.9200134277344
2022-09-26,269.8299865722656
2022-09-27,270.9700012207031
2022-09-28,275.2699890136719
2022-09-29,270.95001220703125
2022-09-30,267.8699951171875
2022-10-03,275.5899963378906
2022-10-04,284.32000732421875
2022-10-05,282.7799987792969
2022-10-06,280.7200012207031
2022-10-07,273.1099853515625
2022-10-10,279.5899963378906
2022-10-11,276.2300109863281
2022-10-12,273.8699951171875
2022-10-13,281.5
2022-10-14,270.80999755859375
2022-10-17,277.510009765625
2022-10-18,280.3299865722656
2022-10-19,280.92999267578125
2022-10-20,273.7200012207031
2022-10-21,280.1199951171875
2022-10-24,284.510009765625
2022-10-25,280.0
2022-10-26,277.1300048828125
2022-10-27,282.32000732421875
2022-10-28,289.20001220703125
2022-10-31,281.489990234375
2022-11-01,284.489990234375
2022-11-02,279.1300048828125
2022-11-03,276.3900146484375
2022-11-04,279.7099914550781
2022-11-07,287.1000061035156
2022-11-08,286.7799987792969
2022-11-09,281.1000061035156
2022-11-10,296.3800048828125
2022-11-11,293.0
2022-11-14,291.32000732421875
2022-11-15,291.8900146484375
2022-11-16,293.4599914550781
2022-11-17,295.7799987792969
2022-11-18,301.32000732421875
2022-11-21,301.70001220703125
2022-11-22,303.7900085449219
2022-11-23,304.239990234375
2022-11-25,307.0799865722656
2022-11-28,305.2699890136719
2022-11-29,302.7300109863281
2022-11-30,308.2799987792969
2022-12-01,303.07000732421875
2022-12-02,306.7799987792969
2022-12-05,308.739990234375
2022-12-06,307.9599914550781
2022-12-07,304.1400146484375
2022-12-08,306.57000732421875
2022-12-09,305.67999267578125
2022-12-12,307.6000061035156
2022-12-13,309.989990234375
2022-12-14,306.1400146484375
2022-12-15,303.6600036621094
2022-12-16,298.760009765625
2022-12-19,297.05999755859375
2022-12-20,297.80999755859375
2022-12-21,303.0299987792969
2022-12-22,300.1499938964844
2022-12-23,300.5899963378906
2022-12-27,300.9700012207031
2022-12-28,299.510009765625
2022-12-29,303.3800048828125
2022-12-30,300.1400146484375
2023-01-03,299.4200134277344
2023-01-04,302.7200012207031
2023-01-05,300.3500061035156
2023-01-06,307.3299865722656
2023-01-09,306.3299865722656
2023-01-10,307.3299865722656
2023-01-11,312.19000244140625
2023-01-12,315.8699951171875
2023-01-13,317.1700134277344
2023-01-17,316.94000244140625
2023-01-18,314.0899963378906
2023-01-19,318.9599914550781
2023-01-20,325.3999938964844
2023-01-23,325.989990234375
2023-01-24,324.3399963378906
2023-01-25,322.9200134277344
2023-01-26,324.8399963378906
2023-01-27,319.29998779296875
2023-01-30,317.5400085449219
2023-01-31,318.67999267578125
2023-02-01,319.3800048828125
2023-02-02,323.0
2023-02-03,313.6400146484375
2023-02-06,317.7300109863281
2023-02-07,319.79998779296875
2023-02-08,319.6099853515625
