Date,MRO
2022-02-28,22.559999465942383
2022-03-01,22.889999389648438
2022-03-02,23.0
2022-03-03,22.889999389648438
2022-03-04,23.809999465942383
2022-03-07,24.329999923706055
2022-03-08,24.09000015258789
2022-03-09,23.399999618530273
2022-03-10,23.8799991607666
2022-03-11,23.170000076293945
2022-03-14,22.18000030517578
2022-03-15,21.649999618530273
2022-03-16,21.59000015258789
2022-03-17,23.06999969482422
2022-03-18,23.079999923706055
2022-03-21,25.049999237060547
2022-03-22,24.65999984741211
2022-03-23,25.579999923706055
2022-03-24,25.530000686645508
2022-03-25,26.040000915527344
2022-03-28,25.290000915527344
2022-03-29,25.0
2022-03-30,25.5
2022-03-31,25.110000610351562
2022-04-01,25.75
2022-04-04,25.68000030517578
2022-04-05,24.799999237060547
2022-04-06,24.420000076293945
2022-04-07,24.93000030517578
2022-04-08,25.899999618530273
2022-04-11,25.219999313354492
2022-04-12,26.270000457763672
2022-04-13,26.56999969482422
2022-04-14,26.610000610351562
2022-04-18,26.8799991607666
2022-04-19,26.780000686645508
2022-04-20,27.649999618530273
2022-04-21,26.09000015258789
2022-04-22,25.0
2022-04-25,24.139999389648438
2022-04-26,24.079999923706055
2022-04-27,24.65999984741211
2022-04-28,25.459999084472656
2022-04-29,24.920000076293945
2022-05-02,24.950000762939453
2022-05-03,26.25
2022-05-04,27.690000534057617
2022-05-05,27.68000030517578
2022-05-06,28.149999618530273
2022-05-09,24.200000762939453
2022-05-10,24.389999389648438
2022-05-11,25.170000076293945
2022-05-12,25.1299991607666
2022-05-13,27.0
2022-05-16,27.979999542236328
2022-05-17,28.360000610351562
2022-05-18,26.770000457763672
2022-05-19,26.8799991607666
2022-05-20,27.260000228881836
2022-05-23,28.1299991607666
2022-05-24,28.079999923706055
2022-05-25,29.010000228881836
2022-05-26,29.75
2022-05-27,31.06999969482422
2022-05-31,31.43000030517578
2022-06-01,31.3799991607666
2022-06-02,31.200000762939453
2022-06-03,31.68000030517578
2022-06-06,31.40999984741211
2022-06-07,32.16999816894531
2022-06-08,31.93000030517578
2022-06-09,31.25
2022-06-10,30.290000915527344
2022-06-13,28.389999389648438
2022-06-14,28.790000915527344
2022-06-15,28.06999969482422
2022-06-16,25.65999984741211
2022-06-17,24.149999618530273
2022-06-21,24.899999618530273
2022-06-22,23.100000381469727
2022-06-23,22.020000457763672
2022-06-24,22.049999237060547
2022-06-27,23.1200008392334
2022-06-28,24.1299991607666
2022-06-29,22.790000915527344
2022-06-30,22.479999542236328
2022-07-01,22.549999237060547
2022-07-05,21.1299991607666
2022-07-06,20.68000030517578
2022-07-07,21.829999923706055
2022-07-08,21.719999313354492
2022-07-11,21.31999969482422
2022-07-12,20.65999984741211
2022-07-13,20.739999771118164
2022-07-14,20.40999984741211
2022-07-15,20.850000381469727
2022-07-18,21.56999969482422
2022-07-19,22.520000457763672
2022-07-20,22.920000076293945
2022-07-21,22.15999984741211
2022-07-22,21.75
2022-07-25,23.18000030517578
2022-07-26,22.90999984741211
2022-07-27,23.8799991607666
2022-07-28,23.950000762939453
