Date,CUK
2022-02-28,18.770000457763672
2022-03-01,17.34000015258789
2022-03-02,17.709999084472656
2022-03-03,16.93000030517578
2022-03-04,15.859999656677246
2022-03-07,14.25
2022-03-08,14.739999771118164
2022-03-09,16.09000015258789
2022-03-10,16.329999923706055
2022-03-11,16.040000915527344
2022-03-14,15.949999809265137
2022-03-15,16.790000915527344
2022-03-16,18.06999969482422
2022-03-17,17.739999771118164
2022-03-18,17.969999313354492
2022-03-21,17.489999771118164
2022-03-22,17.559999465942383
2022-03-23,16.860000610351562
2022-03-24,16.989999771118164
2022-03-25,16.84000015258789
2022-03-28,17.709999084472656
2022-03-29,18.170000076293945
2022-03-30,17.75
2022-03-31,18.270000457763672
2022-04-01,18.25
2022-04-04,17.969999313354492
2022-04-05,18.459999084472656
2022-04-06,17.420000076293945
2022-04-07,17.15999984741211
2022-04-08,16.809999465942383
2022-04-11,17.030000686645508
2022-04-12,16.989999771118164
2022-04-13,17.860000610351562
2022-04-14,18.030000686645508
2022-04-18,17.610000610351562
2022-04-19,18.299999237060547
2022-04-20,18.059999465942383
2022-04-21,17.8799991607666
2022-04-22,17.200000762939453
2022-04-25,17.200000762939453
2022-04-26,15.970000267028809
2022-04-27,15.920000076293945
2022-04-28,16.270000457763672
2022-04-29,15.789999961853027
2022-05-02,15.829999923706055
2022-05-03,16.15999984741211
2022-05-04,16.350000381469727
2022-05-05,15.149999618530273
2022-05-06,14.640000343322754
2022-05-09,13.0600004196167
2022-05-10,13.15999984741211
2022-05-11,12.649999618530273
2022-05-12,12.359999656677246
2022-05-13,13.3100004196167
2022-05-16,13.149999618530273
2022-05-17,13.850000381469727
2022-05-18,12.890000343322754
2022-05-19,12.649999618530273
2022-05-20,12.229999542236328
2022-05-23,12.229999542236328
2022-05-24,10.949999809265137
2022-05-25,11.369999885559082
2022-05-26,12.279999732971191
2022-05-27,12.9399995803833
2022-05-31,12.859999656677246
2022-06-01,12.5
2022-06-02,13.050000190734863
2022-06-03,12.579999923706055
2022-06-06,12.720000267028809
2022-06-07,12.880000114440918
2022-06-08,11.970000267028809
