Date,DEO
2022-02-28,199.69000244140625
2022-03-01,196.36000061035156
2022-03-02,195.1199951171875
2022-03-03,192.4199981689453
2022-03-04,187.1699981689453
2022-03-07,176.00999450683594
2022-03-08,177.89999389648438
2022-03-09,187.1300048828125
2022-03-10,178.24000549316406
2022-03-11,175.63999938964844
2022-03-14,179.7100067138672
2022-03-15,182.9199981689453
2022-03-16,190.85000610351562
2022-03-17,195.33999633789062
2022-03-18,198.27000427246094
2022-03-21,196.4499969482422
2022-03-22,199.92999267578125
2022-03-23,197.58999633789062
2022-03-24,199.80999755859375
2022-03-25,202.6300048828125
2022-03-28,201.77000427246094
2022-03-29,206.17999267578125
2022-03-30,204.74000549316406
2022-03-31,203.13999938964844
2022-04-01,205.1300048828125
2022-04-04,205.94000244140625
2022-04-05,208.16000366210938
2022-04-06,211.86000061035156
2022-04-07,210.5
2022-04-08,210.02000427246094
2022-04-11,208.6300048828125
2022-04-12,206.72000122070312
2022-04-13,207.17999267578125
2022-04-14,209.22000122070312
2022-04-18,207.1999969482422
2022-04-19,203.66000366210938
2022-04-20,205.1999969482422
2022-04-21,203.4199981689453
2022-04-22,200.77000427246094
2022-04-25,204.6199951171875
2022-04-26,200.9499969482422
2022-04-27,199.33999633789062
2022-04-28,201.64999389648438
2022-04-29,198.67999267578125
2022-05-02,197.61000061035156
2022-05-03,199.97999572753906
2022-05-04,200.82000732421875
2022-05-05,195.07000732421875
2022-05-06,188.1999969482422
2022-05-09,184.63999938964844
2022-05-10,184.60000610351562
2022-05-11,182.47999572753906
2022-05-12,182.32000732421875
2022-05-13,189.80999755859375
2022-05-16,191.47000122070312
2022-05-17,192.3699951171875
2022-05-18,184.67999267578125
2022-05-19,179.6199951171875
2022-05-20,182.27000427246094
2022-05-23,184.00999450683594
2022-05-24,184.58999633789062
2022-05-25,184.1199951171875
2022-05-26,184.22999572753906
2022-05-27,185.89999389648438
2022-05-31,186.97000122070312
2022-06-01,183.5800018310547
2022-06-02,188.07000732421875
2022-06-03,185.10000610351562
2022-06-06,187.00999450683594
2022-06-07,187.02999877929688
2022-06-08,181.94000244140625
2022-06-09,179.57000732421875
2022-06-10,175.9600067138672
2022-06-13,171.69000244140625
2022-06-14,167.6699981689453
2022-06-15,171.66000366210938
2022-06-16,170.27999877929688
2022-06-17,171.7899932861328
2022-06-21,174.3000030517578
2022-06-22,175.25
2022-06-23,175.39999389648438
2022-06-24,182.8000030517578
2022-06-27,181.19000244140625
2022-06-28,179.32000732421875
2022-06-29,175.1699981689453
2022-06-30,174.1199951171875
2022-07-01,172.6300048828125
2022-07-05,171.72000122070312
2022-07-06,173.5500030517578
2022-07-07,171.61000061035156
2022-07-08,171.75999450683594
2022-07-11,170.67999267578125
2022-07-12,171.77999877929688
2022-07-13,173.8300018310547
2022-07-14,172.3800048828125
2022-07-15,174.72999572753906
2022-07-18,173.91000366210938
2022-07-19,178.66000366210938
2022-07-20,175.72999572753906
2022-07-21,178.57000732421875
2022-07-22,179.0500030517578
2022-07-25,180.41000366210938
2022-07-26,180.97000122070312
2022-07-27,185.5800018310547
2022-07-28,190.44000244140625
2022-07-29,191.39999389648438
2022-08-01,192.22000122070312
2022-08-02,189.17999267578125
2022-08-03,190.64999389648438
2022-08-04,190.0
2022-08-05,188.3699951171875
2022-08-08,188.2899932861328
2022-08-09,187.7100067138672
2022-08-10,190.97999572753906
2022-08-11,187.8699951171875
2022-08-12,188.9600067138672
2022-08-15,189.1300048828125
2022-08-16,189.57000732421875
2022-08-17,189.14999389648438
2022-08-18,188.7100067138672
2022-08-19,188.1199951171875
2022-08-22,185.6699981689453
2022-08-23,184.8300018310547
2022-08-24,185.00999450683594
2022-08-25,183.88999938964844
2022-08-26,179.5800018310547
2022-08-29,179.27999877929688
2022-08-30,178.8000030517578
2022-08-31,176.38999938964844
2022-09-01,175.66000366210938
2022-09-02,173.83999633789062
2022-09-06,174.36000061035156
2022-09-07,175.57000732421875
2022-09-08,175.80999755859375
2022-09-09,178.2100067138672
2022-09-12,181.07000732421875
2022-09-13,175.61000061035156
2022-09-14,176.07000732421875
2022-09-15,174.22000122070312
2022-09-16,173.91000366210938
2022-09-19,174.99000549316406
2022-09-20,173.30999755859375
2022-09-21,173.4600067138672
2022-09-22,171.92999267578125
2022-09-23,166.88999938964844
2022-09-26,166.9600067138672
2022-09-27,167.07000732421875
2022-09-28,168.86000061035156
2022-09-29,169.94000244140625
2022-09-30,169.80999755859375
2022-10-03,170.5
2022-10-04,176.1199951171875
2022-10-05,173.5800018310547
2022-10-06,168.60000610351562
2022-10-07,167.3000030517578
2022-10-10,164.07000732421875
2022-10-11,163.97999572753906
2022-10-12,166.3000030517578
2022-10-13,167.13999938964844
2022-10-14,165.4499969482422
2022-10-17,168.4600067138672
2022-10-18,168.94000244140625
2022-10-19,166.63999938964844
2022-10-20,163.61000061035156
2022-10-21,164.2100067138672
2022-10-24,165.8300018310547
