Date,PGR
2022-02-28,105.93000030517578
2022-03-01,103.23999786376953
2022-03-02,104.91999816894531
2022-03-03,105.08000183105469
2022-03-04,107.19000244140625
2022-03-07,106.5199966430664
2022-03-08,103.76000213623047
2022-03-09,104.0999984741211
2022-03-10,104.66999816894531
2022-03-11,105.54000091552734
2022-03-14,105.70999908447266
2022-03-15,107.30999755859375
2022-03-16,106.13999938964844
2022-03-17,109.5199966430664
2022-03-18,111.22000122070312
2022-03-21,112.18000030517578
2022-03-22,113.3499984741211
2022-03-23,114.0
2022-03-24,114.0999984741211
2022-03-25,116.66999816894531
2022-03-28,116.87999725341797
2022-03-29,116.19000244140625
2022-03-30,117.16999816894531
2022-03-31,113.98999786376953
2022-04-01,115.19000244140625
2022-04-04,114.0999984741211
2022-04-05,114.2300033569336
2022-04-06,116.87000274658203
2022-04-07,119.52999877929688
2022-04-08,118.51000213623047
2022-04-11,118.43000030517578
2022-04-12,115.30000305175781
2022-04-13,113.91000366210938
2022-04-14,112.11000061035156
2022-04-18,109.63999938964844
2022-04-19,111.1500015258789
2022-04-20,113.04000091552734
2022-04-21,113.0199966430664
2022-04-22,108.33999633789062
2022-04-25,110.55999755859375
2022-04-26,108.41000366210938
2022-04-27,106.94999694824219
2022-04-28,110.41999816894531
2022-04-29,107.36000061035156
2022-05-02,110.33000183105469
2022-05-03,112.2300033569336
2022-05-04,115.83999633789062
2022-05-05,112.41000366210938
2022-05-06,109.45999908447266
2022-05-09,108.75
2022-05-10,108.2699966430664
2022-05-11,107.87000274658203
2022-05-12,108.80000305175781
2022-05-13,107.81999969482422
2022-05-16,109.75
2022-05-17,111.19000244140625
2022-05-18,111.9000015258789
2022-05-19,110.41999816894531
2022-05-20,110.98999786376953
2022-05-23,112.94000244140625
2022-05-24,114.7300033569336
2022-05-25,115.62000274658203
2022-05-26,116.80999755859375
2022-05-27,120.33999633789062
2022-05-31,119.37999725341797
2022-06-01,118.47000122070312
2022-06-02,119.37999725341797
2022-06-03,119.11000061035156
2022-06-06,120.06999969482422
2022-06-07,121.19000244140625
2022-06-08,119.62999725341797
2022-06-09,115.54000091552734
2022-06-10,113.55999755859375
2022-06-13,113.54000091552734
2022-06-14,112.41000366210938
2022-06-15,112.56999969482422
2022-06-16,110.20999908447266
2022-06-17,109.55999755859375
2022-06-21,112.18000030517578
2022-06-22,111.8499984741211
2022-06-23,109.75
2022-06-24,115.98999786376953
2022-06-27,116.55999755859375
2022-06-28,115.41999816894531
2022-06-29,113.63999938964844
2022-06-30,116.2699966430664
2022-07-01,118.4800033569336
2022-07-05,117.13999938964844
2022-07-06,120.04000091552734
2022-07-07,120.62000274658203
2022-07-08,120.37999725341797
2022-07-11,120.31999969482422
2022-07-12,117.05000305175781
2022-07-13,117.41999816894531
2022-07-14,112.33000183105469
2022-07-15,116.08000183105469
2022-07-18,110.29000091552734
2022-07-19,111.95999908447266
2022-07-20,111.33999633789062
2022-07-21,111.29000091552734
2022-07-22,111.19000244140625
2022-07-25,112.63999938964844
2022-07-26,112.58999633789062
2022-07-27,113.12000274658203
2022-07-28,114.19000244140625
2022-07-29,115.05999755859375
2022-08-01,113.26000213623047
2022-08-02,113.19000244140625
2022-08-03,114.75
2022-08-04,116.77999877929688
2022-08-05,118.27999877929688
2022-08-08,118.48999786376953
2022-08-09,119.66000366210938
2022-08-10,120.88999938964844
2022-08-11,120.45999908447266
2022-08-12,121.7699966430664
2022-08-15,122.01000213623047
2022-08-16,122.48999786376953
2022-08-17,127.05999755859375
2022-08-18,128.2100067138672
2022-08-19,127.4800033569336
2022-08-22,125.94000244140625
2022-08-23,124.4000015258789
2022-08-24,125.4800033569336
2022-08-25,126.43000030517578
2022-08-26,125.16000366210938
2022-08-29,125.0199966430664
2022-08-30,124.23999786376953
2022-08-31,122.6500015258789
2022-09-01,123.69999694824219
2022-09-02,122.41000366210938
2022-09-06,122.4800033569336
2022-09-07,127.19999694824219
2022-09-08,129.22000122070312
2022-09-09,128.67999267578125
2022-09-12,129.10000610351562
2022-09-13,126.70999908447266
2022-09-14,128.0399932861328
2022-09-15,127.08999633789062
2022-09-16,124.88999938964844
2022-09-19,127.29000091552734
2022-09-20,125.0999984741211
2022-09-21,121.36000061035156
2022-09-22,122.41999816894531
2022-09-23,121.52999877929688
2022-09-26,118.87999725341797
2022-09-27,119.0999984741211
2022-09-28,119.05000305175781
2022-09-29,118.38999938964844
2022-09-30,116.20999908447266
2022-10-03,120.5
2022-10-04,123.94000244140625
2022-10-05,122.33999633789062
2022-10-06,121.91999816894531
2022-10-07,121.95999908447266
2022-10-10,123.7300033569336
2022-10-11,123.44999694824219
2022-10-12,121.4000015258789
2022-10-13,122.41999816894531
2022-10-14,115.88999938964844
2022-10-17,119.58999633789062
2022-10-18,120.26000213623047
2022-10-19,121.19999694824219
2022-10-20,118.86000061035156
2022-10-21,122.44999694824219
2022-10-24,123.26000213623047
2022-10-25,122.11000061035156
2022-10-26,122.93000030517578
2022-10-27,124.37999725341797
2022-10-28,129.6999969482422
2022-10-31,128.39999389648438
2022-11-01,129.02000427246094
2022-11-02,127.7300033569336
2022-11-03,127.31999969482422
2022-11-04,126.62000274658203
2022-11-07,127.30000305175781
2022-11-08,129.10000610351562
2022-11-09,127.69999694824219
2022-11-10,129.74000549316406
2022-11-11,126.2300033569336
2022-11-14,122.9800033569336
2022-11-15,123.05999755859375
2022-11-16,125.91000366210938
2022-11-17,128.02000427246094
2022-11-18,128.36000061035156
2022-11-21,129.80999755859375
2022-11-22,130.08999633789062
2022-11-23,131.08999633789062
2022-11-25,131.57000732421875
2022-11-28,130.02000427246094
2022-11-29,131.1199951171875
2022-11-30,132.14999389648438
2022-12-01,131.25999450683594
2022-12-02,132.50999450683594
2022-12-05,131.25999450683594
2022-12-06,130.97000122070312
2022-12-07,130.47999572753906
2022-12-08,131.17999267578125
2022-12-09,129.3800048828125
2022-12-12,129.94000244140625
2022-12-13,128.27999877929688
2022-12-14,126.58000183105469
2022-12-15,127.66000366210938
2022-12-16,126.44999694824219
2022-12-19,127.06999969482422
2022-12-20,127.19000244140625
2022-12-21,129.1199951171875
2022-12-22,128.60000610351562
2022-12-23,129.44000244140625
2022-12-27,130.1699981689453
2022-12-28,129.72000122070312
2022-12-29,130.55999755859375
2022-12-30,129.7100067138672
2023-01-03,130.13999938964844
2023-01-04,131.24000549316406
2023-01-05,131.52999877929688
