Date,WPM
2022-02-28,43.790000915527344
2022-03-01,45.84000015258789
2022-03-02,45.310001373291016
2022-03-03,45.56999969482422
2022-03-04,46.72999954223633
2022-03-07,47.900001525878906
2022-03-08,48.31999969482422
2022-03-09,48.22999954223633
2022-03-10,49.130001068115234
2022-03-11,48.099998474121094
2022-03-14,46.779998779296875
2022-03-15,46.91999816894531
2022-03-16,47.18000030517578
2022-03-17,47.75
2022-03-18,47.77000045776367
2022-03-21,48.529998779296875
2022-03-22,48.099998474121094
2022-03-23,48.400001525878906
2022-03-24,48.34000015258789
2022-03-25,48.279998779296875
2022-03-28,46.93000030517578
2022-03-29,47.54999923706055
2022-03-30,48.349998474121094
2022-03-31,47.58000183105469
2022-04-01,48.869998931884766
2022-04-04,48.790000915527344
2022-04-05,47.720001220703125
2022-04-06,48.31999969482422
2022-04-07,48.939998626708984
2022-04-08,49.70000076293945
2022-04-11,49.779998779296875
2022-04-12,50.119998931884766
2022-04-13,51.2599983215332
2022-04-14,51.290000915527344
2022-04-18,51.08000183105469
2022-04-19,50.75
2022-04-20,51.709999084472656
2022-04-21,49.119998931884766
2022-04-22,48.099998474121094
2022-04-25,46.59000015258789
2022-04-26,45.380001068115234
2022-04-27,45.040000915527344
2022-04-28,45.56999969482422
2022-04-29,44.86000061035156
2022-05-02,44.220001220703125
2022-05-03,45.040000915527344
2022-05-04,45.849998474121094
2022-05-05,44.290000915527344
2022-05-06,44.150001525878906
2022-05-09,42.52000045776367
2022-05-10,41.63999938964844
2022-05-11,41.52000045776367
2022-05-12,39.38999938964844
2022-05-13,39.65999984741211
2022-05-16,39.810001373291016
2022-05-17,40.279998779296875
2022-05-18,39.310001373291016
2022-05-19,41.439998626708984
2022-05-20,41.58000183105469
2022-05-23,41.869998931884766
2022-05-24,42.75
2022-05-25,42.54999923706055
2022-05-26,42.349998474121094
2022-05-27,42.439998626708984
2022-05-31,41.310001373291016
2022-06-01,41.380001068115234
2022-06-02,43.40999984741211
2022-06-03,42.33000183105469
2022-06-06,41.790000915527344
2022-06-07,42.290000915527344
2022-06-08,41.790000915527344
2022-06-09,40.52000045776367
2022-06-10,42.2599983215332
2022-06-13,39.959999084472656
2022-06-14,38.900001525878906
2022-06-15,38.86000061035156
2022-06-16,38.91999816894531
2022-06-17,38.40999984741211
2022-06-21,39.16999816894531
2022-06-22,38.25
2022-06-23,37.16999816894531
2022-06-24,38.20000076293945
2022-06-27,38.7599983215332
2022-06-28,37.880001068115234
2022-06-29,37.5099983215332
2022-06-30,36.029998779296875
2022-07-01,37.06999969482422
2022-07-05,35.02000045776367
2022-07-06,34.880001068115234
2022-07-07,35.29999923706055
2022-07-08,35.189998626708984
2022-07-11,34.77000045776367
2022-07-12,34.66999816894531
2022-07-13,35.04999923706055
2022-07-14,34.04999923706055
2022-07-15,33.79999923706055
