Date,NOC
2022-02-28,442.1400146484375
2022-03-01,456.1000061035156
2022-03-02,453.3900146484375
2022-03-03,449.69000244140625
2022-03-04,468.57000732421875
2022-03-07,477.95001220703125
2022-03-08,449.2099914550781
2022-03-09,449.9200134277344
2022-03-10,444.6099853515625
2022-03-11,436.29998779296875
2022-03-14,441.4200134277344
2022-03-15,447.82000732421875
2022-03-16,424.42999267578125
2022-03-17,428.79998779296875
2022-03-18,427.95001220703125
2022-03-21,446.6000061035156
2022-03-22,446.29998779296875
2022-03-23,446.9200134277344
2022-03-24,454.57000732421875
2022-03-25,458.17999267578125
2022-03-28,446.79998779296875
2022-03-29,446.30999755859375
2022-03-30,453.3299865722656
2022-03-31,447.2200012207031
2022-04-01,454.7900085449219
2022-04-04,452.2900085449219
2022-04-05,454.010009765625
2022-04-06,461.4599914550781
2022-04-07,470.7699890136719
2022-04-08,463.6600036621094
2022-04-11,462.1400146484375
2022-04-12,463.2799987792969
2022-04-13,464.5199890136719
2022-04-14,467.20001220703125
2022-04-18,465.5799865722656
2022-04-19,464.4100036621094
2022-04-20,463.3999938964844
2022-04-21,443.45001220703125
2022-04-22,447.3999938964844
2022-04-25,444.0199890136719
2022-04-26,442.510009765625
2022-04-27,439.7699890136719
2022-04-28,445.1700134277344
2022-04-29,439.3999938964844
2022-05-02,438.6199951171875
2022-05-03,451.25
2022-05-04,462.57000732421875
2022-05-05,466.6600036621094
2022-05-06,468.70001220703125
2022-05-09,453.9800109863281
2022-05-10,449.9700012207031
2022-05-11,446.4800109863281
2022-05-12,450.7799987792969
2022-05-13,452.8299865722656
2022-05-16,458.0799865722656
2022-05-17,459.2799987792969
2022-05-18,454.8699951171875
2022-05-19,448.5
2022-05-20,443.3299865722656
2022-05-23,456.7699890136719
2022-05-24,471.1000061035156
2022-05-25,467.6199951171875
2022-05-26,467.42999267578125
2022-05-27,470.760009765625
2022-05-31,467.9700012207031
2022-06-01,464.25
2022-06-02,462.8699951171875
2022-06-03,478.3699951171875
2022-06-06,478.8599853515625
2022-06-07,492.05999755859375
2022-06-08,472.45001220703125
2022-06-09,462.9200134277344
2022-06-10,463.82000732421875
2022-06-13,460.67999267578125
2022-06-14,454.4599914550781
2022-06-15,458.45001220703125
2022-06-16,449.0199890136719
2022-06-17,443.92999267578125
2022-06-21,463.7699890136719
2022-06-22,458.6099853515625
2022-06-23,456.239990234375
2022-06-24,463.70001220703125
2022-06-27,466.82000732421875
2022-06-28,464.6700134277344
2022-06-29,461.80999755859375
2022-06-30,478.57000732421875
2022-07-01,486.3699951171875
2022-07-05,464.3599853515625
2022-07-06,481.8699951171875
2022-07-07,479.3800048828125
2022-07-08,480.42999267578125
2022-07-11,475.510009765625
2022-07-12,468.8800048828125
2022-07-13,465.20001220703125
2022-07-14,458.989990234375
2022-07-15,461.20001220703125
2022-07-18,449.260009765625
2022-07-19,457.3900146484375
2022-07-20,456.07000732421875
2022-07-21,453.79998779296875
2022-07-22,451.8500061035156
2022-07-25,453.32000732421875
2022-07-26,444.6499938964844
2022-07-27,445.80999755859375
2022-07-28,454.4599914550781
2022-07-29,478.8999938964844
