Date,APH
2022-02-28,38.005001068115234
2022-03-01,37.060001373291016
2022-03-02,38.084999084472656
2022-03-03,38.18000030517578
2022-03-04,38.1150016784668
2022-03-07,36.40999984741211
2022-03-08,36.27000045776367
2022-03-09,37.45500183105469
2022-03-10,37.1349983215332
2022-03-11,36.80500030517578
2022-03-14,35.744998931884766
2022-03-15,36.71500015258789
2022-03-16,37.6150016784668
2022-03-17,37.959999084472656
2022-03-18,38.369998931884766
2022-03-21,38.025001525878906
2022-03-22,37.849998474121094
2022-03-23,37.1150016784668
2022-03-24,37.709999084472656
2022-03-25,37.834999084472656
2022-03-28,37.904998779296875
2022-03-29,38.68000030517578
2022-03-30,38.35499954223633
2022-03-31,37.67499923706055
2022-04-01,37.78499984741211
2022-04-04,37.994998931884766
2022-04-05,37.19499969482422
2022-04-06,36.529998779296875
2022-04-07,36.98500061035156
2022-04-08,36.63999938964844
2022-04-11,35.869998931884766
2022-04-12,35.900001525878906
2022-04-13,35.95500183105469
2022-04-14,35.189998626708984
2022-04-18,35.21500015258789
2022-04-19,35.55500030517578
2022-04-20,36.27000045776367
2022-04-21,35.810001373291016
2022-04-22,34.720001220703125
2022-04-25,35.35499954223633
2022-04-26,34.275001525878906
2022-04-27,35.08000183105469
2022-04-28,36.775001525878906
2022-04-29,35.75
2022-05-02,35.79499816894531
2022-05-03,35.98500061035156
2022-05-04,36.970001220703125
2022-05-05,35.58000183105469
2022-05-06,35.209999084472656
2022-05-09,34.54499816894531
2022-05-10,34.52000045776367
2022-05-11,34.185001373291016
2022-05-12,34.314998626708984
2022-05-13,35.23500061035156
2022-05-16,34.77000045776367
2022-05-17,35.55500030517578
2022-05-18,33.98500061035156
2022-05-19,33.79499816894531
2022-05-20,34.21500015258789
2022-05-23,34.70000076293945
2022-05-24,34.494998931884766
2022-05-25,34.375
2022-05-26,34.959999084472656
2022-05-27,35.665000915527344
2022-05-31,35.43000030517578
2022-06-01,34.63999938964844
2022-06-02,35.9900016784668
2022-06-03,35.439998626708984
2022-06-06,35.625
2022-06-07,35.79499816894531
2022-06-08,35.25
2022-06-09,34.56999969482422
2022-06-10,33.775001525878906
2022-06-13,32.61000061035156
2022-06-14,32.76499938964844
2022-06-15,33.060001373291016
2022-06-16,31.2549991607666
2022-06-17,31.450000762939453
2022-06-21,31.704999923706055
2022-06-22,31.674999237060547
2022-06-23,32.01499938964844
2022-06-24,32.92499923706055
2022-06-27,33.060001373291016
2022-06-28,32.36000061035156
2022-06-29,32.185001373291016
2022-06-30,32.189998626708984
2022-07-01,31.875
2022-07-05,31.975000381469727
2022-07-06,32.22999954223633
2022-07-07,32.90999984741211
2022-07-08,32.939998626708984
2022-07-11,32.48500061035156
2022-07-12,32.189998626708984
2022-07-13,32.084999084472656
2022-07-14,32.369998931884766
2022-07-15,33.060001373291016
2022-07-18,32.61000061035156
2022-07-19,33.82500076293945
2022-07-20,34.349998474121094
2022-07-21,34.974998474121094
2022-07-22,34.90999984741211
2022-07-25,34.79499816894531
2022-07-26,34.76499938964844
2022-07-27,37.21500015258789
2022-07-28,38.35499954223633
2022-07-29,38.564998626708984
2022-08-01,38.2599983215332
2022-08-02,38.220001220703125
2022-08-03,38.599998474121094
2022-08-04,38.755001068115234
2022-08-05,38.77000045776367
2022-08-08,38.790000915527344
2022-08-09,38.189998626708984
2022-08-10,39.165000915527344
2022-08-11,38.94499969482422
2022-08-12,39.7400016784668
2022-08-15,39.814998626708984
2022-08-16,39.78499984741211
2022-08-17,39.81999969482422
2022-08-18,40.06999969482422
2022-08-19,39.60499954223633
2022-08-22,38.709999084472656
2022-08-23,38.75
2022-08-24,38.52000045776367
2022-08-25,39.185001373291016
2022-08-26,37.73500061035156
2022-08-29,37.380001068115234
2022-08-30,37.084999084472656
2022-08-31,36.76499938964844
2022-09-01,36.724998474121094
2022-09-02,36.290000915527344
2022-09-06,36.40999984741211
2022-09-07,37.125
2022-09-08,37.439998626708984
2022-09-09,37.95000076293945
2022-09-12,38.20000076293945
2022-09-13,37.099998474121094
2022-09-14,36.96500015258789
2022-09-15,36.44499969482422
2022-09-16,36.3650016784668
2022-09-19,36.584999084472656
2022-09-20,36.07500076293945
2022-09-21,35.904998779296875
2022-09-22,34.775001525878906
2022-09-23,34.415000915527344
2022-09-26,34.14500045776367
2022-09-27,34.14500045776367
2022-09-28,34.689998626708984
2022-09-29,33.959999084472656
2022-09-30,33.47999954223633
2022-10-03,34.69499969482422
2022-10-04,35.80500030517578
2022-10-05,35.939998626708984
2022-10-06,36.20000076293945
2022-10-07,35.084999084472656
2022-10-10,34.65999984741211
2022-10-11,33.84000015258789
2022-10-12,33.57500076293945
2022-10-13,34.630001068115234
2022-10-14,33.525001525878906
2022-10-17,34.685001373291016
2022-10-18,35.03499984741211
2022-10-19,35.04499816894531
2022-10-20,34.56999969482422
2022-10-21,35.775001525878906
2022-10-24,35.81999969482422
2022-10-25,36.375
2022-10-26,36.595001220703125
2022-10-27,36.94499969482422
2022-10-28,38.21500015258789
2022-10-31,37.915000915527344
2022-11-01,38.3849983215332
2022-11-02,37.01499938964844
2022-11-03,37.125
2022-11-04,38.1349983215332
2022-11-07,37.91999816894531
2022-11-08,37.974998474121094
2022-11-09,37.2400016784668
2022-11-10,39.529998779296875
2022-11-11,39.65999984741211
2022-11-14,39.334999084472656
2022-11-15,39.849998474121094
2022-11-16,39.54999923706055
2022-11-17,39.46500015258789
2022-11-18,39.85499954223633
2022-11-21,39.78499984741211
2022-11-22,40.040000915527344
2022-11-23,40.03499984741211
