Date,KEYS
2022-02-28,157.3699951171875
2022-03-01,153.2899932861328
2022-03-02,157.86000061035156
2022-03-03,155.39999389648438
2022-03-04,151.6699981689453
2022-03-07,146.8699951171875
2022-03-08,146.2899932861328
2022-03-09,151.0500030517578
2022-03-10,146.49000549316406
2022-03-11,145.8699951171875
2022-03-14,143.97999572753906
2022-03-15,149.66000366210938
2022-03-16,154.41000366210938
2022-03-17,156.75
2022-03-18,161.41000366210938
2022-03-21,160.27999877929688
2022-03-22,158.86000061035156
2022-03-23,156.35000610351562
2022-03-24,159.0800018310547
2022-03-25,160.11000061035156
2022-03-28,160.0399932861328
2022-03-29,165.07000732421875
2022-03-30,160.80999755859375
2022-03-31,157.97000122070312
2022-04-01,158.39999389648438
2022-04-04,159.58999633789062
2022-04-05,154.9499969482422
2022-04-06,151.5399932861328
2022-04-07,151.32000732421875
2022-04-08,149.7899932861328
2022-04-11,147.39999389648438
2022-04-12,146.66000366210938
2022-04-13,147.25999450683594
2022-04-14,143.92999267578125
2022-04-18,145.27000427246094
2022-04-19,148.36000061035156
2022-04-20,151.22000122070312
2022-04-21,149.35000610351562
2022-04-22,145.27999877929688
2022-04-25,146.9600067138672
2022-04-26,141.3800048828125
2022-04-27,141.30999755859375
2022-04-28,145.17999267578125
2022-04-29,140.27000427246094
2022-05-02,141.8699951171875
2022-05-03,142.92999267578125
2022-05-04,146.60000610351562
2022-05-05,140.91000366210938
2022-05-06,138.77999877929688
2022-05-09,132.1999969482422
2022-05-10,135.08999633789062
2022-05-11,131.02999877929688
2022-05-12,130.61000061035156
2022-05-13,136.6699981689453
2022-05-16,135.17999267578125
2022-05-17,140.3699951171875
2022-05-18,136.0
2022-05-19,137.10000610351562
2022-05-20,137.8000030517578
2022-05-23,140.16000366210938
2022-05-24,138.85000610351562
2022-05-25,137.4499969482422
2022-05-26,141.25999450683594
2022-05-27,145.22999572753906
2022-05-31,145.60000610351562
2022-06-01,143.5500030517578
2022-06-02,148.77999877929688
2022-06-03,146.72999572753906
2022-06-06,146.6300048828125
2022-06-07,148.4499969482422
2022-06-08,144.8699951171875
2022-06-09,143.86000061035156
2022-06-10,140.52999877929688
2022-06-13,133.5500030517578
2022-06-14,135.1699981689453
2022-06-15,138.47000122070312
2022-06-16,131.0500030517578
2022-06-17,133.8000030517578
2022-06-21,136.5399932861328
2022-06-22,135.8800048828125
2022-06-23,136.9199981689453
2022-06-24,140.47999572753906
2022-06-27,141.97000122070312
2022-06-28,138.9199981689453
2022-06-29,138.67999267578125
2022-06-30,137.85000610351562
2022-07-01,136.14999389648438
2022-07-05,137.35000610351562
2022-07-06,139.80999755859375
2022-07-07,142.99000549316406
2022-07-08,142.66000366210938
2022-07-11,141.50999450683594
2022-07-12,140.97999572753906
2022-07-13,141.6300048828125
2022-07-14,138.57000732421875
2022-07-15,143.58999633789062
2022-07-18,141.22999572753906
2022-07-19,147.5500030517578
2022-07-20,149.74000549316406
2022-07-21,153.39999389648438
2022-07-22,150.5800018310547
2022-07-25,152.05999755859375
2022-07-26,151.25
2022-07-27,155.60000610351562
2022-07-28,159.33999633789062
2022-07-29,162.60000610351562
2022-08-01,163.64999389648438
2022-08-02,163.0800018310547
2022-08-03,165.5399932861328
2022-08-04,168.02000427246094
2022-08-05,167.25999450683594
2022-08-08,166.22000122070312
2022-08-09,162.50999450683594
2022-08-10,166.55999755859375
2022-08-11,166.72000122070312
2022-08-12,169.60000610351562
2022-08-15,171.1300048828125
2022-08-16,170.6300048828125
2022-08-17,169.2899932861328
2022-08-18,179.36000061035156
2022-08-19,176.22999572753906
2022-08-22,170.60000610351562
2022-08-23,170.22999572753906
2022-08-24,170.88999938964844
2022-08-25,172.61000061035156
2022-08-26,167.0800018310547
2022-08-29,166.35000610351562
2022-08-30,164.0
2022-08-31,163.88999938964844
2022-09-01,164.05999755859375
2022-09-02,163.27000427246094
2022-09-06,163.52999877929688
2022-09-07,169.6699981689453
2022-09-08,172.89999389648438
2022-09-09,172.36000061035156
2022-09-12,173.6999969482422
2022-09-13,168.36000061035156
2022-09-14,168.11000061035156
2022-09-15,165.66000366210938
2022-09-16,165.42999267578125
2022-09-19,165.9600067138672
2022-09-20,164.4600067138672
2022-09-21,162.0500030517578
2022-09-22,158.7100067138672
2022-09-23,156.85000610351562
2022-09-26,155.55999755859375
2022-09-27,156.91000366210938
2022-09-28,159.5500030517578
2022-09-29,158.82000732421875
2022-09-30,157.36000061035156
2022-10-03,162.4199981689453
2022-10-04,168.64999389648438
2022-10-05,168.7100067138672
2022-10-06,168.50999450683594
2022-10-07,161.05999755859375
2022-10-10,160.32000732421875
2022-10-11,156.0
2022-10-12,153.77999877929688
2022-10-13,156.99000549316406
2022-10-14,154.24000549316406
2022-10-17,159.11000061035156
2022-10-18,161.1999969482422
2022-10-19,161.14999389648438
2022-10-20,160.8000030517578
2022-10-21,168.9600067138672
2022-10-24,169.39999389648438
2022-10-25,173.7100067138672
2022-10-26,175.27000427246094
2022-10-27,173.38999938964844
2022-10-28,177.64999389648438
2022-10-31,174.14999389648438
2022-11-01,173.97999572753906
2022-11-02,167.10000610351562
2022-11-03,166.97000122070312
2022-11-04,163.85000610351562
2022-11-07,163.52000427246094
2022-11-08,163.6199951171875
2022-11-09,161.02000427246094
2022-11-10,171.7100067138672
2022-11-11,172.17999267578125
2022-11-14,171.0399932861328
2022-11-15,172.47999572753906
2022-11-16,166.57000732421875
2022-11-17,166.02999877929688
2022-11-18,171.89999389648438
2022-11-21,172.1300048828125
