Date,HEI
2022-02-28,147.50999450683594
2022-03-01,146.9499969482422
2022-03-02,151.13999938964844
2022-03-03,147.50999450683594
2022-03-04,148.55999755859375
2022-03-07,148.5
2022-03-08,141.63999938964844
2022-03-09,145.6999969482422
2022-03-10,146.97000122070312
2022-03-11,145.75
2022-03-14,143.17999267578125
2022-03-15,146.3800048828125
2022-03-16,144.85000610351562
2022-03-17,148.27999877929688
2022-03-18,149.07000732421875
2022-03-21,151.50999450683594
2022-03-22,153.8000030517578
2022-03-23,151.60000610351562
2022-03-24,155.08999633789062
2022-03-25,154.55999755859375
2022-03-28,151.7100067138672
2022-03-29,154.99000549316406
2022-03-30,154.9600067138672
2022-03-31,153.5399932861328
2022-04-01,156.35000610351562
2022-04-04,157.2100067138672
2022-04-05,155.38999938964844
2022-04-06,152.97999572753906
2022-04-07,154.17999267578125
2022-04-08,150.1199951171875
2022-04-11,149.39999389648438
2022-04-12,148.72999572753906
2022-04-13,149.4499969482422
2022-04-14,147.7899932861328
2022-04-18,148.33999633789062
2022-04-19,150.2100067138672
2022-04-20,152.82000732421875
2022-04-21,150.77999877929688
2022-04-22,147.60000610351562
2022-04-25,145.83999633789062
2022-04-26,142.07000732421875
2022-04-27,142.61000061035156
2022-04-28,144.22000122070312
2022-04-29,141.22999572753906
2022-05-02,140.57000732421875
2022-05-03,140.5
2022-05-04,143.02000427246094
2022-05-05,137.16000366210938
2022-05-06,137.00999450683594
2022-05-09,133.0
2022-05-10,135.44000244140625
2022-05-11,133.05999755859375
2022-05-12,133.64999389648438
2022-05-13,137.22000122070312
2022-05-16,135.1300048828125
2022-05-17,136.80999755859375
2022-05-18,133.3699951171875
2022-05-19,132.92999267578125
2022-05-20,132.27999877929688
2022-05-23,134.5
2022-05-24,135.0500030517578
2022-05-25,136.86000061035156
2022-05-26,140.6300048828125
2022-05-27,144.24000549316406
2022-05-31,143.0500030517578
2022-06-01,143.22999572753906
2022-06-02,146.58999633789062
2022-06-03,145.6999969482422
2022-06-06,148.47000122070312
2022-06-07,151.19000244140625
2022-06-08,146.67999267578125
2022-06-09,144.05999755859375
2022-06-10,140.83999633789062
2022-06-13,135.82000732421875
2022-06-14,133.38999938964844
2022-06-15,134.13999938964844
2022-06-16,128.0
2022-06-17,129.60000610351562
2022-06-21,131.3800048828125
2022-06-22,130.13999938964844
2022-06-23,127.58999633789062
2022-06-24,132.0
2022-06-27,132.77000427246094
2022-06-28,131.36000061035156
2022-06-29,130.3000030517578
2022-06-30,131.1199951171875
2022-07-01,133.25
2022-07-05,130.94000244140625
2022-07-06,132.58999633789062
2022-07-07,133.88999938964844
2022-07-08,133.33999633789062
2022-07-11,132.86000061035156
2022-07-12,134.0399932861328
2022-07-13,133.0
2022-07-14,133.0
2022-07-15,134.83999633789062
2022-07-18,135.32000732421875
2022-07-19,141.19000244140625
2022-07-20,142.52000427246094
2022-07-21,143.35000610351562
2022-07-22,143.1999969482422
2022-07-25,142.64999389648438
2022-07-26,144.1699981689453
2022-07-27,145.8000030517578
2022-07-28,149.9499969482422
2022-07-29,157.7100067138672
2022-08-01,156.77999877929688
2022-08-02,155.88999938964844
2022-08-03,156.8699951171875
2022-08-04,156.4199981689453
2022-08-05,157.52000427246094
2022-08-08,157.7100067138672
2022-08-09,157.33999633789062
2022-08-10,161.17999267578125
2022-08-11,159.5500030517578
2022-08-12,161.8000030517578
2022-08-15,163.38999938964844
2022-08-16,165.55999755859375
2022-08-17,163.94000244140625
2022-08-18,164.82000732421875
2022-08-19,163.24000549316406
2022-08-22,158.86000061035156
2022-08-23,160.16000366210938
2022-08-24,160.38999938964844
2022-08-25,162.5800018310547
2022-08-26,155.88999938964844
2022-08-29,155.8800048828125
2022-08-30,152.82000732421875
2022-08-31,152.3000030517578
2022-09-01,152.30999755859375
2022-09-02,152.22000122070312
2022-09-06,149.6699981689453
2022-09-07,154.52999877929688
2022-09-08,155.36000061035156
2022-09-09,157.05999755859375
2022-09-12,157.25999450683594
2022-09-13,152.0
2022-09-14,154.49000549316406
2022-09-15,152.11000061035156
2022-09-16,148.5800018310547
2022-09-19,154.32000732421875
