Date,BHP
2022-02-28,60.47279357910156
2022-03-01,61.10615539550781
2022-03-02,64.20160675048828
2022-03-03,65.12042999267578
2022-03-04,65.22747802734375
2022-03-07,64.58518981933594
2022-03-08,62.06066131591797
2022-03-09,62.301517486572266
2022-03-10,63.52363967895508
2022-03-11,61.1507568359375
2022-03-14,58.42105484008789
2022-03-15,57.787689208984375
2022-03-16,59.625335693359375
2022-03-17,60.570919036865234
2022-03-18,61.37377166748047
2022-03-21,63.9072265625
2022-03-22,63.363067626953125
2022-03-23,65.08474731445312
2022-03-24,66.25334167480469
2022-03-25,67.20784759521484
2022-03-28,67.43086242675781
2022-03-29,67.46654510498047
2022-03-30,69.68778228759766
2022-03-31,68.91168975830078
2022-04-01,70.74040985107422
2022-04-04,70.27654266357422
2022-04-05,68.8492431640625
2022-04-06,68.97412872314453
2022-04-07,69.00089263916016
2022-04-08,69.2863540649414
2022-04-11,67.70740509033203
2022-04-12,68.7154312133789
2022-04-13,69.69670104980469
2022-04-14,69.71453857421875
2022-04-18,69.91971588134766
2022-04-19,69.45584106445312
2022-04-20,68.5994644165039
2022-04-21,63.74665451049805
2022-04-22,60.65120315551758
2022-04-25,58.78679656982422
2022-04-26,57.31489562988281
2022-04-27,59.92863464355469
2022-04-28,60.75825119018555
2022-04-29,59.750221252441406
2022-05-02,60.1248893737793
2022-05-03,60.553077697753906
2022-05-04,61.79304122924805
2022-05-05,58.68867111206055
2022-05-06,58.74219512939453
2022-05-09,55.432647705078125
2022-05-10,55.77163314819336
2022-05-11,55.99464797973633
2022-05-12,55.289920806884766
2022-05-13,56.68153381347656
2022-05-16,56.61909103393555
2022-05-17,58.47457504272461
2022-05-18,56.931312561035156
2022-05-19,58.76003646850586
2022-05-20,60.053524017333984
2022-05-23,61.284568786621094
2022-05-24,61.56110763549805
2022-05-25,61.2756462097168
2022-05-26,61.02587127685547
2022-05-27,63.354148864746094
2022-05-31,63.03300476074219
2022-06-01,63.871543884277344
2022-06-02,67.44000244140625
2022-06-03,67.0999984741211
2022-06-06,66.77999877929688
2022-06-07,69.20999908447266
2022-06-08,67.58999633789062
2022-06-09,65.27999877929688
2022-06-10,63.47999954223633
2022-06-13,60.810001373291016
2022-06-14,59.970001220703125
2022-06-15,61.95000076293945
2022-06-16,60.209999084472656
2022-06-17,57.7599983215332
2022-06-21,57.720001220703125
2022-06-22,55.61000061035156
2022-06-23,54.75
2022-06-24,56.31999969482422
2022-06-27,57.68000030517578
2022-06-28,58.189998626708984
2022-06-29,58.189998626708984
2022-06-30,56.18000030517578
2022-07-01,54.130001068115234
2022-07-05,52.939998626708984
2022-07-06,52.5
2022-07-07,54.13999938964844
2022-07-08,52.9900016784668
2022-07-11,51.119998931884766
2022-07-12,50.189998626708984
2022-07-13,50.290000915527344
2022-07-14,48.2400016784668
2022-07-15,49.27000045776367
2022-07-18,50.66999816894531
2022-07-19,50.869998931884766
2022-07-20,50.86000061035156
2022-07-21,50.7599983215332
2022-07-22,51.09000015258789
2022-07-25,52.81999969482422
2022-07-26,52.720001220703125
2022-07-27,53.439998626708984
2022-07-28,54.02000045776367
2022-07-29,55.040000915527344
2022-08-01,54.189998626708984
2022-08-02,53.02000045776367
2022-08-03,53.25
2022-08-04,53.130001068115234
2022-08-05,54.400001525878906
2022-08-08,54.380001068115234
2022-08-09,53.900001525878906
2022-08-10,54.93000030517578
2022-08-11,55.349998474121094
2022-08-12,55.7599983215332
2022-08-15,54.7400016784668
2022-08-16,57.970001220703125
2022-08-17,56.54999923706055
2022-08-18,57.130001068115234
2022-08-19,56.75
2022-08-22,57.310001373291016
2022-08-23,58.790000915527344
2022-08-24,58.150001525878906
2022-08-25,59.93000030517578
2022-08-26,58.880001068115234
2022-08-29,57.86000061035156
2022-08-30,55.400001525878906
2022-08-31,54.88999938964844
2022-09-01,49.880001068115234
2022-09-02,50.209999084472656
2022-09-06,49.849998474121094
2022-09-07,49.0
2022-09-08,50.38999938964844
2022-09-09,53.34000015258789
2022-09-12,54.540000915527344
2022-09-13,52.18000030517578
2022-09-14,52.02000045776367
2022-09-15,51.68000030517578
2022-09-16,50.95000076293945
2022-09-19,51.88999938964844
2022-09-20,51.45000076293945
2022-09-21,50.0099983215332
2022-09-22,51.209999084472656
2022-09-23,48.869998931884766
2022-09-26,47.470001220703125
2022-09-27,48.5
2022-09-28,50.130001068115234
2022-09-29,50.41999816894531
2022-09-30,50.040000915527344
2022-10-03,51.65999984741211
2022-10-04,53.22999954223633
2022-10-05,52.59000015258789
2022-10-06,51.56999969482422
2022-10-07,51.18000030517578
2022-10-10,51.220001220703125
2022-10-11,50.130001068115234
2022-10-12,49.13999938964844
2022-10-13,50.2400016784668
2022-10-14,48.310001373291016
2022-10-17,49.810001373291016
2022-10-18,49.290000915527344
2022-10-19,48.56999969482422
2022-10-20,48.25
2022-10-21,50.2599983215332
2022-10-24,49.0099983215332
2022-10-25,49.66999816894531
2022-10-26,51.060001373291016
2022-10-27,49.900001525878906
2022-10-28,47.529998779296875
2022-10-31,47.81999969482422
2022-11-01,49.599998474121094
2022-11-02,48.06999969482422
2022-11-03,48.33000183105469
2022-11-04,53.040000915527344
2022-11-07,52.790000915527344
2022-11-08,53.349998474121094
2022-11-09,52.099998474121094
2022-11-10,54.439998626708984
2022-11-11,58.04999923706055
2022-11-14,58.38999938964844
2022-11-15,59.689998626708984
2022-11-16,58.68000030517578
2022-11-17,58.599998474121094
2022-11-18,58.7400016784668
2022-11-21,57.2400016784668
2022-11-22,58.75
2022-11-23,60.040000915527344
