Date,PEGA
2022-02-28,87.12000274658203
2022-03-01,85.4000015258789
2022-03-02,85.98999786376953
2022-03-03,83.12999725341797
2022-03-04,82.20999908447266
2022-03-07,79.27999877929688
2022-03-08,77.19999694824219
2022-03-09,80.2300033569336
2022-03-10,78.68000030517578
2022-03-11,73.12999725341797
2022-03-14,72.2699966430664
2022-03-15,73.54000091552734
2022-03-16,75.86000061035156
2022-03-17,78.0
2022-03-18,79.56999969482422
2022-03-21,79.0199966430664
2022-03-22,82.30999755859375
2022-03-23,79.5199966430664
2022-03-24,79.61000061035156
2022-03-25,77.81999969482422
2022-03-28,79.81999969482422
2022-03-29,82.70999908447266
2022-03-30,80.80000305175781
2022-03-31,80.6500015258789
2022-04-01,80.23999786376953
2022-04-04,81.44999694824219
2022-04-05,78.25
2022-04-06,74.94000244140625
2022-04-07,75.8499984741211
2022-04-08,73.77999877929688
2022-04-11,75.73999786376953
2022-04-12,76.0
2022-04-13,76.76000213623047
2022-04-14,74.51000213623047
2022-04-18,74.11000061035156
2022-04-19,75.7300033569336
2022-04-20,74.41999816894531
2022-04-21,72.44000244140625
2022-04-22,71.94000244140625
2022-04-25,73.2699966430664
2022-04-26,69.44999694824219
2022-04-27,68.66000366210938
2022-04-28,71.66000366210938
2022-04-29,76.58999633789062
2022-05-02,74.47000122070312
2022-05-03,72.81999969482422
2022-05-04,75.79000091552734
2022-05-05,70.19000244140625
2022-05-06,68.54000091552734
2022-05-09,65.93000030517578
2022-05-10,52.25
2022-05-11,48.06999969482422
2022-05-12,52.72999954223633
2022-05-13,53.34000015258789
2022-05-16,50.41999816894531
2022-05-17,49.900001525878906
2022-05-18,46.97999954223633
2022-05-19,48.77000045776367
2022-05-20,48.47999954223633
2022-05-23,48.529998779296875
2022-05-24,46.540000915527344
2022-05-25,47.790000915527344
2022-05-26,47.70000076293945
2022-05-27,50.45000076293945
2022-05-31,49.540000915527344
2022-06-01,50.2599983215332
2022-06-02,54.72999954223633
2022-06-03,52.470001220703125
2022-06-06,53.0099983215332
2022-06-07,54.0099983215332
2022-06-08,54.25
2022-06-09,52.119998931884766
2022-06-10,49.349998474121094
2022-06-13,45.90999984741211
2022-06-14,45.58000183105469
2022-06-15,46.45000076293945
2022-06-16,44.0099983215332
2022-06-17,46.529998779296875
2022-06-21,46.849998474121094
2022-06-22,46.939998626708984
2022-06-23,50.40999984741211
2022-06-24,52.720001220703125
2022-06-27,51.720001220703125
2022-06-28,49.40999984741211
2022-06-29,49.15999984741211
2022-06-30,47.84000015258789
2022-07-01,49.459999084472656
2022-07-05,51.2599983215332
2022-07-06,50.290000915527344
2022-07-07,50.529998779296875
2022-07-08,50.150001525878906
2022-07-11,48.400001525878906
2022-07-12,47.11000061035156
2022-07-13,45.52000045776367
2022-07-14,44.779998779296875
2022-07-15,46.20000076293945
2022-07-18,46.09000015258789
2022-07-19,47.75
2022-07-20,50.0
2022-07-21,50.689998626708984
2022-07-22,50.06999969482422
2022-07-25,47.81999969482422
2022-07-26,46.369998931884766
2022-07-27,47.54999923706055
2022-07-28,40.2400016784668
2022-07-29,40.150001525878906
2022-08-01,40.41999816894531
2022-08-02,39.81999969482422
2022-08-03,40.310001373291016
2022-08-04,38.70000076293945
2022-08-05,38.95000076293945
2022-08-08,40.720001220703125
2022-08-09,38.849998474121094
2022-08-10,40.43000030517578
2022-08-11,40.61000061035156
2022-08-12,42.16999816894531
2022-08-15,42.40999984741211
2022-08-16,41.810001373291016
2022-08-17,40.599998474121094
2022-08-18,40.459999084472656
2022-08-19,39.040000915527344
2022-08-22,37.41999816894531
2022-08-23,36.209999084472656
2022-08-24,36.56999969482422
2022-08-25,37.08000183105469
2022-08-26,36.2400016784668
2022-08-29,36.27000045776367
2022-08-30,36.459999084472656
2022-08-31,36.61000061035156
2022-09-01,36.779998779296875
2022-09-02,35.65999984741211
2022-09-06,35.349998474121094
2022-09-07,36.0
2022-09-08,38.2400016784668
2022-09-09,40.029998779296875
2022-09-12,41.66999816894531
2022-09-13,39.79999923706055
2022-09-14,39.95000076293945
2022-09-15,40.2400016784668
2022-09-16,37.849998474121094
2022-09-19,35.58000183105469
2022-09-20,34.2599983215332
2022-09-21,34.099998474121094
2022-09-22,32.91999816894531
2022-09-23,32.27000045776367
2022-09-26,31.889999389648438
2022-09-27,32.16999816894531
2022-09-28,33.88999938964844
2022-09-29,33.029998779296875
2022-09-30,32.13999938964844
2022-10-03,32.65999984741211
2022-10-04,34.369998931884766
2022-10-05,33.849998474121094
2022-10-06,33.79999923706055
2022-10-07,32.310001373291016
2022-10-10,30.959999084472656
2022-10-11,30.420000076293945
2022-10-12,30.75
2022-10-13,31.200000762939453
2022-10-14,31.100000381469727
2022-10-17,32.34000015258789
2022-10-18,32.380001068115234
2022-10-19,30.950000762939453
2022-10-20,31.049999237060547
2022-10-21,31.389999389648438
2022-10-24,31.56999969482422
2022-10-25,33.31999969482422
2022-10-26,33.2400016784668
2022-10-27,36.470001220703125
2022-10-28,36.959999084472656
2022-10-31,37.209999084472656
2022-11-01,36.11000061035156
2022-11-02,33.900001525878906
2022-11-03,33.15999984741211
2022-11-04,31.889999389648438
2022-11-07,32.400001525878906
2022-11-08,32.79999923706055
2022-11-09,31.450000762939453
2022-11-10,36.310001373291016
2022-11-11,38.040000915527344
2022-11-14,37.279998779296875
2022-11-15,38.16999816894531
2022-11-16,37.56999969482422
2022-11-17,36.72999954223633
2022-11-18,35.540000915527344
2022-11-21,35.16999816894531
2022-11-22,36.560001373291016
2022-11-23,37.4900016784668
