Date,SBRA
2022-02-28,13.430000305175781
2022-03-01,13.010000228881836
2022-03-02,13.449999809265137
2022-03-03,13.449999809265137
2022-03-04,13.4399995803833
2022-03-07,13.130000114440918
2022-03-08,13.539999961853027
2022-03-09,13.789999961853027
2022-03-10,13.869999885559082
2022-03-11,13.9399995803833
2022-03-14,14.0
2022-03-15,13.8100004196167
2022-03-16,14.0
2022-03-17,14.020000457763672
2022-03-18,13.949999809265137
2022-03-21,14.079999923706055
2022-03-22,14.15999984741211
2022-03-23,14.119999885559082
2022-03-24,14.289999961853027
2022-03-25,14.59000015258789
2022-03-28,14.75
2022-03-29,15.130000114440918
2022-03-30,14.960000038146973
2022-03-31,14.890000343322754
2022-04-01,15.100000381469727
2022-04-04,14.720000267028809
2022-04-05,14.039999961853027
2022-04-06,13.90999984741211
2022-04-07,13.859999656677246
2022-04-08,13.6899995803833
2022-04-11,13.600000381469727
2022-04-12,12.989999771118164
2022-04-13,12.859999656677246
2022-04-14,12.960000038146973
2022-04-18,12.380000114440918
2022-04-19,12.420000076293945
2022-04-20,12.520000457763672
2022-04-21,12.449999809265137
2022-04-22,12.140000343322754
2022-04-25,12.350000381469727
2022-04-26,12.109999656677246
2022-04-27,11.8100004196167
2022-04-28,12.100000381469727
2022-04-29,11.680000305175781
2022-05-02,11.640000343322754
2022-05-03,12.260000228881836
2022-05-04,12.470000267028809
2022-05-05,13.529999732971191
2022-05-06,13.210000038146973
2022-05-09,13.0
2022-05-10,12.609999656677246
2022-05-11,12.65999984741211
2022-05-12,12.859999656677246
2022-05-13,12.779999732971191
2022-05-16,13.09000015258789
2022-05-17,13.430000305175781
2022-05-18,13.359999656677246
2022-05-19,13.289999961853027
2022-05-20,13.130000114440918
2022-05-23,13.119999885559082
2022-05-24,13.369999885559082
2022-05-25,13.960000038146973
2022-05-26,13.880000114440918
2022-05-27,13.960000038146973
2022-05-31,14.039999961853027
2022-06-01,13.9399995803833
2022-06-02,13.819999694824219
2022-06-03,13.539999961853027
2022-06-06,13.489999771118164
2022-06-07,14.25
2022-06-08,13.930000305175781
2022-06-09,14.010000228881836
2022-06-10,14.260000228881836
2022-06-13,13.390000343322754
2022-06-14,13.140000343322754
2022-06-15,13.770000457763672
2022-06-16,13.550000190734863
2022-06-17,14.029999732971191
2022-06-21,13.829999923706055
2022-06-22,13.949999809265137
2022-06-23,14.300000190734863
2022-06-24,14.670000076293945
