Date,ESGR
2022-02-28,285.0299987792969
2022-03-01,277.7200012207031
2022-03-02,283.1000061035156
2022-03-03,279.4200134277344
2022-03-04,274.29998779296875
2022-03-07,273.05999755859375
2022-03-08,270.04998779296875
2022-03-09,271.1199951171875
2022-03-10,267.0
2022-03-11,268.010009765625
2022-03-14,270.32000732421875
2022-03-15,269.1000061035156
2022-03-16,260.3699951171875
2022-03-17,260.7099914550781
2022-03-18,260.8599853515625
2022-03-21,259.75
2022-03-22,262.04998779296875
2022-03-23,260.3699951171875
2022-03-24,260.3500061035156
2022-03-25,259.8299865722656
2022-03-28,256.32000732421875
2022-03-29,258.3699951171875
2022-03-30,257.1400146484375
2022-03-31,261.1499938964844
2022-04-01,262.0
2022-04-04,260.6700134277344
2022-04-05,260.7699890136719
2022-04-06,259.82000732421875
2022-04-07,259.6099853515625
2022-04-08,258.510009765625
2022-04-11,256.5
2022-04-12,254.0
2022-04-13,251.77999877929688
2022-04-14,252.13999938964844
2022-04-18,251.89999389648438
2022-04-19,255.2899932861328
2022-04-20,255.5500030517578
2022-04-21,252.47999572753906
2022-04-22,247.1999969482422
2022-04-25,244.22000122070312
2022-04-26,235.02000427246094
2022-04-27,235.25
2022-04-28,235.19000244140625
2022-04-29,235.75
2022-05-02,240.97000122070312
2022-05-03,241.07000732421875
2022-05-04,243.0
2022-05-05,238.77999877929688
2022-05-06,237.9600067138672
2022-05-09,234.4600067138672
2022-05-10,230.4600067138672
2022-05-11,229.33999633789062
2022-05-12,229.22000122070312
2022-05-13,229.3000030517578
2022-05-16,229.52000427246094
2022-05-17,232.52999877929688
2022-05-18,225.2899932861328
2022-05-19,228.5
2022-05-20,222.0
2022-05-23,223.16000366210938
2022-05-24,227.8300018310547
2022-05-25,227.24000549316406
2022-05-26,231.10000610351562
2022-05-27,232.91000366210938
2022-05-31,231.92999267578125
2022-06-01,226.57000732421875
2022-06-02,225.05999755859375
2022-06-03,222.58999633789062
2022-06-06,223.6699981689453
2022-06-07,226.1699981689453
2022-06-08,220.6999969482422
2022-06-09,218.19000244140625
2022-06-10,215.1999969482422
2022-06-13,216.5500030517578
2022-06-14,217.8699951171875
2022-06-15,215.75
2022-06-16,207.47000122070312
2022-06-17,206.49000549316406
2022-06-21,210.11000061035156
2022-06-22,210.6300048828125
2022-06-23,204.9600067138672
2022-06-24,210.05999755859375
2022-06-27,211.3699951171875
2022-06-28,210.10000610351562
2022-06-29,210.5800018310547
2022-06-30,213.97999572753906
2022-07-01,219.74000549316406
2022-07-05,211.72999572753906
2022-07-06,208.30999755859375
2022-07-07,207.64999389648438
2022-07-08,201.52999877929688
2022-07-11,199.60000610351562
2022-07-12,198.8000030517578
2022-07-13,200.00999450683594
2022-07-14,192.8300018310547
2022-07-15,195.7899932861328
2022-07-18,197.00999450683594
2022-07-19,197.36000061035156
2022-07-20,197.69000244140625
2022-07-21,199.6999969482422
2022-07-22,198.2899932861328
2022-07-25,198.33999633789062
2022-07-26,198.8800048828125
2022-07-27,198.58999633789062
2022-07-28,195.4600067138672
2022-07-29,197.9199981689453
2022-08-01,195.99000549316406
2022-08-02,192.0800018310547
2022-08-03,194.4499969482422
2022-08-04,193.0
2022-08-05,195.9600067138672
2022-08-08,192.13999938964844
2022-08-09,193.38999938964844
2022-08-10,198.72999572753906
2022-08-11,203.27999877929688
2022-08-12,202.74000549316406
2022-08-15,200.85000610351562
2022-08-16,197.92999267578125
2022-08-17,196.4600067138672
2022-08-18,192.5
2022-08-19,191.33999633789062
2022-08-22,189.52999877929688
2022-08-23,189.30999755859375
2022-08-24,193.22000122070312
2022-08-25,192.5
2022-08-26,188.6999969482422
2022-08-29,189.24000549316406
2022-08-30,190.10000610351562
2022-08-31,189.25
2022-09-01,191.3699951171875
2022-09-02,194.0
2022-09-06,196.22000122070312
2022-09-07,194.77000427246094
2022-09-08,193.49000549316406
2022-09-09,193.94000244140625
2022-09-12,198.77999877929688
2022-09-13,195.66000366210938
2022-09-14,203.61000061035156
2022-09-15,202.5
2022-09-16,201.72999572753906
2022-09-19,199.66000366210938
2022-09-20,195.9499969482422
2022-09-21,194.07000732421875
2022-09-22,191.3000030517578
2022-09-23,188.4199981689453
2022-09-26,179.86000061035156
2022-09-27,179.25999450683594
2022-09-28,180.27999877929688
2022-09-29,176.49000549316406
2022-09-30,169.58999633789062
2022-10-03,170.14999389648438
2022-10-04,182.47999572753906
2022-10-05,183.22000122070312
2022-10-06,181.6999969482422
2022-10-07,183.33999633789062
2022-10-10,181.67999267578125
2022-10-11,180.6300048828125
2022-10-12,177.25
2022-10-13,184.58999633789062
2022-10-14,184.02000427246094
2022-10-17,187.75
2022-10-18,188.00999450683594
2022-10-19,190.3300018310547
2022-10-20,188.52000427246094
2022-10-21,193.2899932861328
2022-10-24,196.0399932861328
2022-10-25,195.5500030517578
2022-10-26,194.1300048828125
2022-10-27,198.27000427246094
2022-10-28,200.88999938964844
2022-10-31,200.52000427246094
2022-11-01,201.8699951171875
2022-11-02,197.4600067138672
2022-11-03,192.25
2022-11-04,190.57000732421875
2022-11-07,189.05999755859375
2022-11-08,192.11000061035156
2022-11-09,188.8300018310547
2022-11-10,199.61000061035156
2022-11-11,195.64999389648438
2022-11-14,194.39999389648438
2022-11-15,199.80999755859375
2022-11-16,203.92999267578125
2022-11-17,202.6199951171875
