Date,APPF
2022-02-28,113.13999938964844
2022-03-01,116.31999969482422
2022-03-02,117.80000305175781
2022-03-03,115.43000030517578
2022-03-04,114.47000122070312
2022-03-07,114.87999725341797
2022-03-08,114.68000030517578
2022-03-09,120.12999725341797
2022-03-10,117.16999816894531
2022-03-11,114.86000061035156
2022-03-14,110.44000244140625
2022-03-15,109.44999694824219
2022-03-16,110.61000061035156
2022-03-17,111.66999816894531
2022-03-18,111.98999786376953
2022-03-21,111.86000061035156
2022-03-22,114.01000213623047
2022-03-23,112.13999938964844
2022-03-24,112.86000061035156
2022-03-25,111.47000122070312
2022-03-28,113.3499984741211
2022-03-29,114.68000030517578
2022-03-30,113.30000305175781
2022-03-31,113.20999908447266
2022-04-01,115.45999908447266
2022-04-04,116.72000122070312
2022-04-05,113.87000274658203
2022-04-06,112.0
2022-04-07,111.01000213623047
2022-04-08,112.73999786376953
2022-04-11,114.08999633789062
2022-04-12,112.95999908447266
2022-04-13,115.88999938964844
2022-04-14,112.98999786376953
2022-04-18,109.97000122070312
2022-04-19,111.83000183105469
2022-04-20,111.83000183105469
2022-04-21,109.0999984741211
2022-04-22,108.87999725341797
2022-04-25,112.69000244140625
2022-04-26,105.4000015258789
2022-04-27,103.08999633789062
2022-04-28,106.16000366210938
2022-04-29,103.86000061035156
2022-05-02,104.44000244140625
2022-05-03,102.77999877929688
2022-05-04,106.61000061035156
2022-05-05,104.11000061035156
2022-05-06,104.2699966430664
2022-05-09,99.75
2022-05-10,85.83999633789062
2022-05-11,82.26000213623047
2022-05-12,88.58999633789062
2022-05-13,93.91000366210938
2022-05-16,89.76000213623047
2022-05-17,87.33000183105469
2022-05-18,85.86000061035156
2022-05-19,93.29000091552734
2022-05-20,97.33999633789062
2022-05-23,98.8499984741211
2022-05-24,97.66999816894531
2022-05-25,101.45999908447266
2022-05-26,104.31999969482422
2022-05-27,107.87999725341797
2022-05-31,100.18000030517578
2022-06-01,102.68000030517578
2022-06-02,104.33999633789062
