Date,FCFS
2022-02-28,72.04000091552734
2022-03-01,66.98999786376953
2022-03-02,70.0999984741211
2022-03-03,69.36000061035156
2022-03-04,67.29000091552734
2022-03-07,61.720001220703125
2022-03-08,60.02000045776367
2022-03-09,64.8499984741211
2022-03-10,64.12000274658203
2022-03-11,64.30999755859375
2022-03-14,66.68000030517578
2022-03-15,66.43000030517578
2022-03-16,68.18000030517578
2022-03-17,67.58000183105469
2022-03-18,70.01000213623047
2022-03-21,67.79000091552734
2022-03-22,69.30999755859375
2022-03-23,68.9000015258789
2022-03-24,68.0199966430664
2022-03-25,70.16999816894531
2022-03-28,70.22000122070312
2022-03-29,71.68000030517578
2022-03-30,69.04000091552734
2022-03-31,70.33999633789062
2022-04-01,69.95999908447266
2022-04-04,70.41000366210938
2022-04-05,70.61000061035156
2022-04-06,72.1500015258789
2022-04-07,70.81999969482422
2022-04-08,70.93000030517578
2022-04-11,71.47000122070312
2022-04-12,71.7300033569336
2022-04-13,72.94999694824219
2022-04-14,74.13999938964844
2022-04-18,75.08000183105469
2022-04-19,76.08999633789062
2022-04-20,74.80999755859375
2022-04-21,74.0
2022-04-22,72.05000305175781
2022-04-25,73.25
2022-04-26,70.72000122070312
2022-04-27,69.5
2022-04-28,77.94000244140625
2022-04-29,79.77999877929688
2022-05-02,76.16000366210938
2022-05-03,75.80999755859375
2022-05-04,77.62000274658203
2022-05-05,74.87000274658203
2022-05-06,74.72000122070312
2022-05-09,72.68000030517578
2022-05-10,71.9800033569336
2022-05-11,72.01000213623047
2022-05-12,72.8499984741211
2022-05-13,73.9000015258789
2022-05-16,72.5199966430664
2022-05-17,75.05999755859375
2022-05-18,73.7699966430664
2022-05-19,72.93000030517578
2022-05-20,72.37000274658203
2022-05-23,71.20999908447266
2022-05-24,69.04000091552734
2022-05-25,70.4800033569336
2022-05-26,71.47000122070312
2022-05-27,73.70999908447266
2022-05-31,74.6500015258789
2022-06-01,71.5999984741211
2022-06-02,71.26000213623047
2022-06-03,71.26000213623047
2022-06-06,72.48999786376953
2022-06-07,72.88999938964844
2022-06-08,72.04000091552734
2022-06-09,71.1500015258789
2022-06-10,71.2699966430664
2022-06-13,70.01000213623047
2022-06-14,67.54000091552734
2022-06-15,69.83000183105469
