Date,VIRT
2022-02-28,35.08000183105469
2022-03-01,35.93000030517578
2022-03-02,36.189998626708984
2022-03-03,35.84000015258789
2022-03-04,35.11000061035156
2022-03-07,33.43000030517578
2022-03-08,33.06999969482422
2022-03-09,33.5
2022-03-10,33.689998626708984
2022-03-11,33.560001373291016
2022-03-14,33.709999084472656
2022-03-15,34.45000076293945
2022-03-16,35.2400016784668
2022-03-17,35.189998626708984
2022-03-18,35.849998474121094
2022-03-21,35.11000061035156
2022-03-22,35.540000915527344
2022-03-23,35.040000915527344
2022-03-24,36.41999816894531
2022-03-25,37.16999816894531
2022-03-28,37.459999084472656
2022-03-29,37.0
2022-03-30,37.61000061035156
2022-03-31,37.220001220703125
2022-04-01,38.029998779296875
2022-04-04,37.400001525878906
2022-04-05,38.09000015258789
2022-04-06,37.43000030517578
2022-04-07,37.040000915527344
2022-04-08,37.18000030517578
2022-04-11,37.060001373291016
2022-04-12,36.439998626708984
2022-04-13,37.0
2022-04-14,37.13999938964844
2022-04-18,36.38999938964844
2022-04-19,35.939998626708984
2022-04-20,35.9900016784668
2022-04-21,35.04999923706055
2022-04-22,34.220001220703125
2022-04-25,34.38999938964844
2022-04-26,33.790000915527344
2022-04-27,33.810001373291016
2022-04-28,29.3799991607666
2022-04-29,28.8799991607666
2022-05-02,28.780000686645508
2022-05-03,28.739999771118164
2022-05-04,29.479999542236328
2022-05-05,28.670000076293945
2022-05-06,27.559999465942383
2022-05-09,26.760000228881836
2022-05-10,26.479999542236328
2022-05-11,26.020000457763672
2022-05-12,25.959999084472656
2022-05-13,26.739999771118164
2022-05-16,26.25
2022-05-17,26.280000686645508
2022-05-18,25.610000610351562
2022-05-19,26.0
2022-05-20,25.969999313354492
2022-05-23,26.280000686645508
2022-05-24,25.950000762939453
2022-05-25,25.84000015258789
2022-05-26,26.15999984741211
2022-05-27,26.520000457763672
2022-05-31,26.1299991607666
2022-06-01,26.049999237060547
2022-06-02,26.149999618530273
2022-06-03,25.450000762939453
2022-06-06,24.600000381469727
