Date,LSTR
2022-02-28,154.41000366210938
2022-03-01,154.6999969482422
2022-03-02,155.64999389648438
2022-03-03,155.77000427246094
2022-03-04,156.58999633789062
2022-03-07,153.1199951171875
2022-03-08,150.2899932861328
2022-03-09,154.27999877929688
2022-03-10,154.13999938964844
2022-03-11,151.82000732421875
2022-03-14,150.52000427246094
2022-03-15,153.1300048828125
2022-03-16,158.64999389648438
2022-03-17,161.67999267578125
2022-03-18,161.89999389648438
2022-03-21,158.9499969482422
2022-03-22,159.3300018310547
2022-03-23,155.33999633789062
2022-03-24,152.88999938964844
2022-03-25,154.0
2022-03-28,154.77000427246094
2022-03-29,155.75
2022-03-30,155.32000732421875
2022-03-31,150.8300018310547
2022-04-01,139.82000732421875
2022-04-04,142.63999938964844
2022-04-05,141.02000427246094
2022-04-06,142.27000427246094
2022-04-07,144.8699951171875
2022-04-08,143.5
2022-04-11,143.32000732421875
2022-04-12,143.32000732421875
2022-04-13,145.52000427246094
2022-04-14,144.7100067138672
2022-04-18,143.83999633789062
2022-04-19,147.80999755859375
2022-04-20,149.32000732421875
2022-04-21,154.94000244140625
2022-04-22,152.9199981689453
2022-04-25,156.58999633789062
2022-04-26,152.94000244140625
2022-04-27,153.60000610351562
2022-04-28,157.25999450683594
2022-04-29,154.89999389648438
2022-05-02,152.3000030517578
2022-05-03,155.89999389648438
2022-05-04,159.88999938964844
2022-05-05,156.69000244140625
2022-05-06,155.0500030517578
2022-05-09,156.5399932861328
2022-05-10,155.82000732421875
2022-05-11,153.52999877929688
2022-05-12,156.72999572753906
2022-05-13,155.64999389648438
2022-05-16,152.10000610351562
2022-05-17,154.97999572753906
2022-05-18,141.97999572753906
2022-05-19,142.4199981689453
2022-05-20,145.64999389648438
2022-05-23,147.72999572753906
2022-05-24,147.7899932861328
2022-05-25,151.5800018310547
2022-05-26,154.4199981689453
2022-05-27,152.9199981689453
2022-05-31,151.42999267578125
2022-06-01,149.85000610351562
2022-06-02,152.72000122070312
2022-06-03,153.08999633789062
2022-06-06,154.89999389648438
2022-06-07,151.66000366210938
2022-06-08,147.2899932861328
2022-06-09,146.8699951171875
2022-06-10,145.2899932861328
2022-06-13,143.38999938964844
2022-06-14,144.77000427246094
2022-06-15,146.67999267578125
2022-06-16,142.02999877929688
2022-06-17,138.4600067138672
2022-06-21,144.0800018310547
2022-06-22,141.19000244140625
2022-06-23,143.91000366210938
2022-06-24,147.97000122070312
2022-06-27,148.05999755859375
2022-06-28,144.55999755859375
2022-06-29,145.0
2022-06-30,145.4199981689453
2022-07-01,146.91000366210938
2022-07-05,144.08999633789062
2022-07-06,145.32000732421875
2022-07-07,146.58999633789062
2022-07-08,145.8300018310547
2022-07-11,147.27999877929688
2022-07-12,145.6699981689453
2022-07-13,143.5399932861328
2022-07-14,143.05999755859375
2022-07-15,144.44000244140625
2022-07-18,145.02000427246094
2022-07-19,153.9199981689453
2022-07-20,156.25
2022-07-21,152.6999969482422
2022-07-22,149.22999572753906
2022-07-25,148.14999389648438
2022-07-26,145.6300048828125
2022-07-27,148.30999755859375
2022-07-28,154.91000366210938
2022-07-29,156.5800018310547
2022-08-01,155.0800018310547
2022-08-02,151.9499969482422
2022-08-03,152.55999755859375
2022-08-04,152.22000122070312
2022-08-05,153.88999938964844
2022-08-08,154.83999633789062
2022-08-09,152.33999633789062
2022-08-10,155.22000122070312
2022-08-11,157.47999572753906
2022-08-12,157.52999877929688
2022-08-15,154.6199951171875
2022-08-16,159.39999389648438
2022-08-17,155.5399932861328
2022-08-18,156.6199951171875
2022-08-19,156.3800048828125
2022-08-22,152.5500030517578
2022-08-23,152.77999877929688
2022-08-24,151.47000122070312
2022-08-25,154.75
2022-08-26,150.2100067138672
2022-08-29,148.39999389648438
2022-08-30,148.4600067138672
2022-08-31,146.6300048828125
2022-09-01,148.41000366210938
2022-09-02,145.22000122070312
2022-09-06,143.5399932861328
2022-09-07,144.4499969482422
2022-09-08,143.61000061035156
2022-09-09,146.69000244140625
2022-09-12,147.97000122070312
2022-09-13,145.19000244140625
2022-09-14,145.52000427246094
2022-09-15,145.13999938964844
2022-09-16,141.00999450683594
2022-09-19,146.44000244140625
