Date,LNW
2022-02-28,62.91999816894531
2022-03-01,57.70000076293945
2022-03-02,62.060001373291016
2022-03-03,63.56999969482422
2022-03-04,59.400001525878906
2022-03-07,52.900001525878906
2022-03-08,55.150001525878906
2022-03-09,57.709999084472656
2022-03-10,60.09000015258789
2022-03-11,58.939998626708984
2022-03-14,56.5099983215332
2022-03-15,59.2400016784668
2022-03-16,61.97999954223633
2022-03-17,61.439998626708984
2022-03-18,62.15999984741211
2022-03-21,60.459999084472656
2022-03-22,61.470001220703125
2022-03-23,59.02000045776367
2022-03-24,60.84000015258789
2022-03-25,59.4900016784668
2022-03-28,58.86000061035156
2022-03-29,62.33000183105469
2022-03-30,60.56999969482422
2022-03-31,58.75
2022-04-01,60.77000045776367
2022-04-04,63.2400016784668
2022-04-05,61.959999084472656
2022-04-06,57.130001068115234
2022-04-07,57.09000015258789
2022-04-08,57.54999923706055
2022-04-11,57.209999084472656
2022-04-12,57.65999984741211
2022-04-13,59.290000915527344
2022-04-14,59.59000015258789
2022-04-18,58.68000030517578
2022-04-19,62.689998626708984
2022-04-20,61.849998474121094
2022-04-21,59.619998931884766
2022-04-22,58.709999084472656
2022-04-25,60.9900016784668
2022-04-26,57.380001068115234
2022-04-27,56.75
2022-04-28,58.06999969482422
2022-04-29,56.060001373291016
2022-05-02,58.11000061035156
2022-05-03,58.83000183105469
2022-05-04,59.0
2022-05-05,55.18000030517578
2022-05-06,52.459999084472656
2022-05-09,47.20000076293945
2022-05-10,47.65999984741211
2022-05-11,47.33000183105469
2022-05-12,48.66999816894531
2022-05-13,51.529998779296875
2022-05-16,48.2400016784668
2022-05-17,52.7599983215332
2022-05-18,50.04999923706055
2022-05-19,49.61000061035156
2022-05-20,49.459999084472656
2022-05-23,50.02000045776367
2022-05-24,46.970001220703125
2022-05-25,48.529998779296875
2022-05-26,51.79999923706055
2022-05-27,52.630001068115234
2022-05-31,52.79999923706055
2022-06-01,53.45000076293945
2022-06-02,54.709999084472656
2022-06-03,54.380001068115234
2022-06-06,55.43000030517578
2022-06-07,55.720001220703125
2022-06-08,54.689998626708984
2022-06-09,52.900001525878906
2022-06-10,50.349998474121094
2022-06-13,46.90999984741211
2022-06-14,47.40999984741211
2022-06-15,49.7599983215332
2022-06-16,46.7599983215332
2022-06-17,47.0099983215332
2022-06-21,47.970001220703125
2022-06-22,47.97999954223633
2022-06-23,47.220001220703125
2022-06-24,50.61000061035156
2022-06-27,49.709999084472656
2022-06-28,48.959999084472656
2022-06-29,47.16999816894531
2022-06-30,46.9900016784668
2022-07-01,48.56999969482422
2022-07-05,49.27000045776367
2022-07-06,48.459999084472656
2022-07-07,47.880001068115234
2022-07-08,46.40999984741211
2022-07-11,44.29999923706055
2022-07-12,43.689998626708984
2022-07-13,43.41999816894531
2022-07-14,42.58000183105469
2022-07-15,44.4900016784668
2022-07-18,45.06999969482422
2022-07-19,47.47999954223633
2022-07-20,49.38999938964844
2022-07-21,50.58000183105469
2022-07-22,49.459999084472656
2022-07-25,49.4900016784668
2022-07-26,49.0
2022-07-27,50.22999954223633
2022-07-28,51.06999969482422
2022-07-29,50.939998626708984
2022-08-01,49.119998931884766
2022-08-02,50.97999954223633
2022-08-03,53.72999954223633
2022-08-04,52.5099983215332
2022-08-05,52.880001068115234
2022-08-08,53.56999969482422
2022-08-09,52.65999984741211
2022-08-10,55.2400016784668
2022-08-11,56.06999969482422
2022-08-12,57.959999084472656
2022-08-15,57.58000183105469
2022-08-16,58.36000061035156
2022-08-17,56.849998474121094
2022-08-18,57.369998931884766
2022-08-19,55.189998626708984
2022-08-22,51.40999984741211
2022-08-23,52.97999954223633
2022-08-24,53.540000915527344
2022-08-25,54.15999984741211
2022-08-26,52.08000183105469
2022-08-29,51.86000061035156
2022-08-30,50.66999816894531
2022-08-31,49.22999954223633
2022-09-01,47.220001220703125
2022-09-02,46.189998626708984
2022-09-06,45.279998779296875
2022-09-07,47.22999954223633
2022-09-08,47.7599983215332
2022-09-09,50.7400016784668
2022-09-12,52.36000061035156
2022-09-13,48.75
2022-09-14,49.38999938964844
2022-09-15,48.810001373291016
2022-09-16,48.720001220703125
2022-09-19,49.470001220703125
2022-09-20,48.29999923706055
2022-09-21,44.97999954223633
2022-09-22,41.970001220703125
2022-09-23,41.22999954223633
2022-09-26,41.13999938964844
2022-09-27,43.27000045776367
2022-09-28,45.2400016784668
2022-09-29,43.939998626708984
2022-09-30,42.880001068115234
2022-10-03,43.68000030517578
2022-10-04,47.22999954223633
2022-10-05,48.220001220703125
2022-10-06,47.439998626708984
2022-10-07,47.11000061035156
2022-10-10,46.189998626708984
2022-10-11,46.029998779296875
2022-10-12,46.16999816894531
2022-10-13,47.38999938964844
2022-10-14,46.0
2022-10-17,48.65999984741211
2022-10-18,50.56999969482422
2022-10-19,49.58000183105469
2022-10-20,49.529998779296875
2022-10-21,50.65999984741211
2022-10-24,50.7599983215332
2022-10-25,53.34000015258789
2022-10-26,53.7599983215332
2022-10-27,53.84000015258789
2022-10-28,55.43000030517578
2022-10-31,56.13999938964844
2022-11-01,56.70000076293945
2022-11-02,54.59000015258789
2022-11-03,54.18000030517578
2022-11-04,55.349998474121094
2022-11-07,55.47999954223633
2022-11-08,55.540000915527344
2022-11-09,53.470001220703125
2022-11-10,57.20000076293945
2022-11-11,58.95000076293945
2022-11-14,60.650001525878906
2022-11-15,64.05000305175781
2022-11-16,64.58999633789062
2022-11-17,63.720001220703125
2022-11-18,64.47000122070312
2022-11-21,63.58000183105469
2022-11-22,65.8499984741211
