Date,QLYS
2022-02-28,125.30999755859375
2022-03-01,125.55000305175781
2022-03-02,130.7100067138672
2022-03-03,129.7899932861328
2022-03-04,128.25999450683594
2022-03-07,124.86000061035156
2022-03-08,124.05000305175781
2022-03-09,128.5500030517578
2022-03-10,129.6300048828125
2022-03-11,127.4800033569336
2022-03-14,116.52999877929688
2022-03-15,122.91999816894531
2022-03-16,127.51000213623047
2022-03-17,130.0500030517578
2022-03-18,133.30999755859375
2022-03-21,135.6999969482422
2022-03-22,140.8800048828125
2022-03-23,138.05999755859375
2022-03-24,141.38999938964844
2022-03-25,139.80999755859375
2022-03-28,141.92999267578125
2022-03-29,143.92999267578125
2022-03-30,143.5
2022-03-31,142.41000366210938
2022-04-01,140.47000122070312
2022-04-04,143.4499969482422
2022-04-05,140.08999633789062
2022-04-06,137.1999969482422
2022-04-07,137.55999755859375
2022-04-08,138.1300048828125
2022-04-11,143.02000427246094
2022-04-12,144.60000610351562
2022-04-13,149.64999389648438
2022-04-14,147.02999877929688
2022-04-18,142.22000122070312
2022-04-19,146.32000732421875
2022-04-20,146.75
2022-04-21,142.33999633789062
2022-04-22,139.3300018310547
2022-04-25,143.0800018310547
2022-04-26,136.74000549316406
2022-04-27,138.02999877929688
2022-04-28,140.52000427246094
2022-04-29,136.27999877929688
2022-05-02,139.0
2022-05-03,134.8300018310547
2022-05-04,138.52000427246094
2022-05-05,130.83999633789062
2022-05-06,119.31999969482422
2022-05-09,113.48999786376953
2022-05-10,117.25
2022-05-11,112.44999694824219
2022-05-12,114.4800033569336
2022-05-13,121.30000305175781
2022-05-16,118.29000091552734
2022-05-17,118.69999694824219
2022-05-18,115.56999969482422
2022-05-19,117.73999786376953
2022-05-20,120.37000274658203
2022-05-23,124.0199966430664
2022-05-24,122.87999725341797
2022-05-25,125.37999725341797
2022-05-26,130.9600067138672
2022-05-27,138.1999969482422
2022-05-31,130.67999267578125
2022-06-01,129.6699981689453
2022-06-02,133.83999633789062
2022-06-03,132.3000030517578
2022-06-06,130.75
2022-06-07,133.67999267578125
2022-06-08,132.2899932861328
2022-06-09,128.80999755859375
2022-06-10,124.94000244140625
2022-06-13,121.80000305175781
2022-06-14,119.88999938964844
2022-06-15,121.30999755859375
2022-06-16,117.77999877929688
2022-06-17,121.91000366210938
2022-06-21,123.76000213623047
2022-06-22,124.30999755859375
2022-06-23,130.85000610351562
2022-06-24,136.52000427246094
2022-06-27,135.22999572753906
2022-06-28,129.25999450683594
2022-06-29,129.4199981689453
2022-06-30,126.13999938964844
2022-07-01,129.85000610351562
2022-07-05,130.99000549316406
2022-07-06,131.1300048828125
2022-07-07,133.50999450683594
2022-07-08,132.33999633789062
2022-07-11,130.2100067138672
2022-07-12,123.97000122070312
2022-07-13,121.87000274658203
2022-07-14,120.83000183105469
2022-07-15,123.88999938964844
2022-07-18,123.05000305175781
2022-07-19,127.55999755859375
2022-07-20,128.7899932861328
2022-07-21,131.9199981689453
2022-07-22,129.89999389648438
2022-07-25,129.88999938964844
2022-07-26,125.48999786376953
2022-07-27,118.93000030517578
2022-07-28,122.12000274658203
2022-07-29,122.31999969482422
2022-08-01,123.98999786376953
2022-08-02,124.4000015258789
2022-08-03,128.8800048828125
2022-08-04,126.91000366210938
2022-08-05,127.76000213623047
2022-08-08,127.43000030517578
2022-08-09,142.6999969482422
2022-08-10,148.02999877929688
2022-08-11,145.38999938964844
2022-08-12,149.4499969482422
2022-08-15,153.94000244140625
2022-08-16,155.60000610351562
2022-08-17,153.8800048828125
2022-08-18,156.41000366210938
2022-08-19,153.58999633789062
2022-08-22,151.67999267578125
2022-08-23,153.35000610351562
2022-08-24,156.2899932861328
2022-08-25,158.17999267578125
2022-08-26,154.05999755859375
2022-08-29,153.38999938964844
2022-08-30,153.9199981689453
2022-08-31,151.89999389648438
2022-09-01,147.75999450683594
2022-09-02,146.99000549316406
2022-09-06,147.16000366210938
2022-09-07,150.49000549316406
2022-09-08,154.1999969482422
2022-09-09,159.85000610351562
2022-09-12,160.02000427246094
2022-09-13,157.75
2022-09-14,156.02999877929688
2022-09-15,155.05999755859375
2022-09-16,148.60000610351562
2022-09-19,152.16000366210938
2022-09-20,150.6699981689453
2022-09-21,148.14999389648438
2022-09-22,144.7899932861328
2022-09-23,141.4199981689453
2022-09-26,140.9199981689453
2022-09-27,141.8300018310547
2022-09-28,144.19000244140625
2022-09-29,142.1699981689453
2022-09-30,139.38999938964844
2022-10-03,143.0500030517578
2022-10-04,146.02999877929688
2022-10-05,145.6199951171875
2022-10-06,143.9499969482422
2022-10-07,137.58999633789062
2022-10-10,131.1199951171875
2022-10-11,134.4600067138672
2022-10-12,131.19000244140625
2022-10-13,131.08999633789062
2022-10-14,126.5
2022-10-17,131.67999267578125
2022-10-18,135.4600067138672
2022-10-19,131.11000061035156
2022-10-20,130.57000732421875
2022-10-21,133.35000610351562
2022-10-24,133.8699951171875
2022-10-25,139.07000732421875
2022-10-26,139.10000610351562
2022-10-27,140.3800048828125
2022-10-28,142.36000061035156
2022-10-31,142.55999755859375
2022-11-01,139.7100067138672
2022-11-02,133.82000732421875
2022-11-03,112.37999725341797
2022-11-04,111.29000091552734
2022-11-07,110.52999877929688
2022-11-08,116.77999877929688
2022-11-09,113.33999633789062
2022-11-10,122.25
2022-11-11,126.5199966430664
2022-11-14,125.4000015258789
2022-11-15,127.79000091552734
2022-11-16,125.9800033569336
2022-11-17,122.94999694824219
2022-11-18,123.97000122070312
2022-11-21,123.1500015258789
2022-11-22,123.20999908447266
2022-11-23,125.08999633789062
2022-11-25,125.30999755859375
2022-11-28,123.16999816894531
2022-11-29,121.05000305175781
2022-11-30,123.31999969482422
2022-12-01,124.93000030517578
2022-12-02,121.86000061035156
2022-12-05,118.62999725341797
2022-12-06,116.22000122070312
2022-12-07,115.4000015258789
2022-12-08,117.73999786376953
2022-12-09,117.7300033569336
2022-12-12,119.70999908447266
2022-12-13,119.93000030517578
2022-12-14,117.87000274658203
2022-12-15,114.26000213623047
2022-12-16,113.44000244140625
2022-12-19,112.26000213623047
2022-12-20,113.7300033569336
2022-12-21,112.55999755859375
2022-12-22,110.79000091552734
2022-12-23,111.33999633789062
2022-12-27,110.36000061035156
2022-12-28,109.4000015258789
2022-12-29,112.7300033569336
2022-12-30,112.2300033569336
2023-01-03,111.51000213623047
2023-01-04,112.08999633789062
2023-01-05,101.86000061035156
2023-01-06,102.7300033569336
2023-01-09,104.95999908447266
2023-01-10,103.66999816894531
2023-01-11,105.47000122070312
2023-01-12,105.19999694824219
2023-01-13,105.5
2023-01-17,107.16999816894531
2023-01-18,104.63999938964844
2023-01-19,104.51000213623047
2023-01-20,109.19000244140625
2023-01-23,112.22000122070312
2023-01-24,110.66000366210938
2023-01-25,111.04000091552734
2023-01-26,113.62999725341797
2023-01-27,114.16000366210938
2023-01-30,112.01000213623047
2023-01-31,115.36000061035156
2023-02-01,119.06999969482422
2023-02-02,123.77999877929688
2023-02-03,122.97000122070312
2023-02-06,121.0199966430664
2023-02-07,123.88999938964844
2023-02-08,122.98999786376953
2023-02-09,122.22000122070312
