Date,VKTX
2022-02-28,3.3499999046325684
2022-03-01,3.2799999713897705
2022-03-02,3.309999942779541
2022-03-03,3.2200000286102295
2022-03-04,3.180000066757202
2022-03-07,3.109999895095825
2022-03-08,3.1700000762939453
2022-03-09,3.3399999141693115
2022-03-10,3.309999942779541
2022-03-11,3.180000066757202
2022-03-14,3.009999990463257
2022-03-15,3.0299999713897705
2022-03-16,3.1500000953674316
2022-03-17,3.380000114440918
2022-03-18,3.369999885559082
2022-03-21,3.25
2022-03-22,3.3299999237060547
2022-03-23,3.190000057220459
2022-03-24,3.200000047683716
2022-03-25,3.140000104904175
2022-03-28,3.109999895095825
2022-03-29,3.180000066757202
2022-03-30,3.049999952316284
2022-03-31,3.0
2022-04-01,3.130000114440918
2022-04-04,3.1500000953674316
2022-04-05,3.059999942779541
2022-04-06,3.049999952316284
2022-04-07,3.0
2022-04-08,2.9000000953674316
2022-04-11,2.740000009536743
2022-04-12,2.680000066757202
2022-04-13,2.7300000190734863
2022-04-14,2.759999990463257
2022-04-18,2.569999933242798
2022-04-19,2.5999999046325684
2022-04-20,2.5399999618530273
2022-04-21,2.4600000381469727
2022-04-22,2.4000000953674316
2022-04-25,2.4600000381469727
2022-04-26,2.2899999618530273
2022-04-27,2.200000047683716
2022-04-28,2.4200000762939453
2022-04-29,2.380000114440918
2022-05-02,2.5299999713897705
2022-05-03,2.509999990463257
2022-05-04,2.549999952316284
2022-05-05,2.430000066757202
2022-05-06,2.3299999237060547
2022-05-09,2.240000009536743
2022-05-10,2.450000047683716
2022-05-11,2.2200000286102295
2022-05-12,2.2699999809265137
2022-05-13,2.3299999237060547
2022-05-16,2.3399999141693115
2022-05-17,2.4000000953674316
2022-05-18,2.2300000190734863
2022-05-19,2.2699999809265137
2022-05-20,2.2799999713897705
2022-05-23,2.25
2022-05-24,2.180000066757202
2022-05-25,2.2300000190734863
2022-05-26,2.2699999809265137
2022-05-27,2.3299999237060547
2022-05-31,2.2200000286102295
2022-06-01,2.130000114440918
2022-06-02,2.2300000190734863
2022-06-03,2.3399999141693115
2022-06-06,2.2200000286102295
2022-06-07,2.509999990463257
2022-06-08,2.299999952316284
2022-06-09,2.25
2022-06-10,2.2300000190734863
2022-06-13,2.119999885559082
2022-06-14,2.2699999809265137
2022-06-15,2.1700000762939453
2022-06-16,2.109999895095825
2022-06-17,2.25
