Date,MCHP
2022-02-28,70.33000183105469
2022-03-01,67.9000015258789
2022-03-02,69.73999786376953
2022-03-03,69.04000091552734
2022-03-04,67.76000213623047
2022-03-07,65.13999938964844
2022-03-08,68.52999877929688
2022-03-09,70.87999725341797
2022-03-10,69.8499984741211
2022-03-11,69.04000091552734
2022-03-14,68.12999725341797
2022-03-15,71.62000274658203
2022-03-16,74.75
2022-03-17,75.41999816894531
2022-03-18,77.29000091552734
2022-03-21,76.56999969482422
2022-03-22,76.38999938964844
2022-03-23,73.7699966430664
2022-03-24,77.68000030517578
2022-03-25,77.16000366210938
2022-03-28,77.44999694824219
2022-03-29,79.77999877929688
2022-03-30,76.38999938964844
2022-03-31,75.13999938964844
2022-04-01,73.97000122070312
2022-04-04,74.37999725341797
2022-04-05,70.08999633789062
2022-04-06,68.27999877929688
2022-04-07,68.19000244140625
2022-04-08,66.31999969482422
2022-04-11,65.80999755859375
2022-04-12,65.47000122070312
2022-04-13,66.76000213623047
2022-04-14,65.22000122070312
2022-04-18,67.23999786376953
2022-04-19,68.9000015258789
2022-04-20,69.1500015258789
2022-04-21,67.62000274658203
2022-04-22,66.06999969482422
2022-04-25,68.0999984741211
2022-04-26,65.16999816894531
2022-04-27,64.38999938964844
2022-04-28,68.18000030517578
2022-04-29,65.19999694824219
2022-05-02,67.86000061035156
2022-05-03,68.19000244140625
2022-05-04,70.69999694824219
2022-05-05,68.0999984741211
2022-05-06,67.55999755859375
2022-05-09,64.30999755859375
2022-05-10,68.25
2022-05-11,64.55999755859375
2022-05-12,65.43000030517578
2022-05-13,67.02999877929688
2022-05-16,65.93000030517578
2022-05-17,69.19999694824219
2022-05-18,66.13999938964844
2022-05-19,66.01000213623047
2022-05-20,66.66999816894531
2022-05-23,67.0
2022-05-24,67.0999984741211
2022-05-25,68.05999755859375
2022-05-26,70.05999755859375
2022-05-27,72.79000091552734
2022-05-31,72.6500015258789
2022-06-01,71.16000366210938
2022-06-02,73.31999969482422
2022-06-03,71.23999786376953
2022-06-06,70.2300033569336
2022-06-07,70.68000030517578
2022-06-08,68.91000366210938
2022-06-09,66.62999725341797
2022-06-10,64.1500015258789
2022-06-13,59.97999954223633
2022-06-14,60.95000076293945
2022-06-15,61.54999923706055
2022-06-16,57.130001068115234
2022-06-17,57.599998474121094
2022-06-21,59.349998474121094
2022-06-22,58.959999084472656
2022-06-23,57.90999984741211
2022-06-24,60.58000183105469
2022-06-27,60.66999816894531
2022-06-28,59.45000076293945
2022-06-29,58.04999923706055
2022-06-30,58.08000183105469
2022-07-01,56.15999984741211
2022-07-05,56.13999938964844
2022-07-06,56.150001525878906
2022-07-07,58.75
2022-07-08,59.45000076293945
2022-07-11,58.869998931884766
2022-07-12,59.20000076293945
2022-07-13,59.34000015258789
2022-07-14,60.93000030517578
2022-07-15,62.380001068115234
2022-07-18,61.75
2022-07-19,64.5199966430664
2022-07-20,65.55000305175781
2022-07-21,66.19999694824219
2022-07-22,64.72000122070312
2022-07-25,64.5999984741211
2022-07-26,63.4900016784668
2022-07-27,66.66999816894531
2022-07-28,67.37000274658203
2022-07-29,68.86000061035156
2022-08-01,69.16000366210938
2022-08-02,69.2699966430664
2022-08-03,73.22000122070312
2022-08-04,72.76000213623047
2022-08-05,71.45999908447266
2022-08-08,70.9000015258789
2022-08-09,68.0
2022-08-10,70.69000244140625
2022-08-11,71.37000274658203
2022-08-12,73.70999908447266
2022-08-15,74.27999877929688
2022-08-16,74.08999633789062
2022-08-17,71.69000244140625
2022-08-18,72.69000244140625
2022-08-19,70.83999633789062
2022-08-22,68.08999633789062
2022-08-23,69.12000274658203
2022-08-24,68.5199966430664
2022-08-25,70.58000183105469
2022-08-26,65.95999908447266
2022-08-29,64.70999908447266
2022-08-30,65.08999633789062
2022-08-31,65.25
2022-09-01,64.93000030517578
2022-09-02,64.5
2022-09-06,63.75
2022-09-07,65.02999877929688
2022-09-08,65.73999786376953
2022-09-09,66.95999908447266
2022-09-12,67.41999816894531
2022-09-13,63.15999984741211
2022-09-14,65.69000244140625
2022-09-15,64.5999984741211
2022-09-16,65.69999694824219
2022-09-19,66.88999938964844
2022-09-20,65.37000274658203
2022-09-21,64.7300033569336
2022-09-22,63.310001373291016
2022-09-23,62.18000030517578
2022-09-26,61.459999084472656
2022-09-27,62.5099983215332
2022-09-28,63.900001525878906
2022-09-29,61.9900016784668
2022-09-30,61.029998779296875
2022-10-03,63.65999984741211
2022-10-04,66.69999694824219
2022-10-05,67.38999938964844
2022-10-06,67.12000274658203
2022-10-07,63.81999969482422
2022-10-10,61.22999954223633
2022-10-11,59.54999923706055
2022-10-12,57.84000015258789
2022-10-13,59.439998626708984
2022-10-14,57.310001373291016
2022-10-17,58.939998626708984
2022-10-18,59.27000045776367
2022-10-19,59.31999969482422
2022-10-20,59.2599983215332
2022-10-21,61.849998474121094
2022-10-24,62.43000030517578
2022-10-25,64.4800033569336
2022-10-26,62.56999969482422
2022-10-27,61.2400016784668
2022-10-28,63.0
2022-10-31,61.7400016784668
2022-11-01,62.36000061035156
2022-11-02,60.63999938964844
2022-11-03,59.459999084472656
2022-11-04,63.86000061035156
2022-11-07,65.52999877929688
2022-11-08,67.76000213623047
2022-11-09,66.5
2022-11-10,73.91999816894531
2022-11-11,75.83000183105469
2022-11-14,74.88999938964844
2022-11-15,76.94000244140625
2022-11-16,73.63999938964844
2022-11-17,73.79000091552734
2022-11-18,74.16999816894531
2022-11-21,72.25
2022-11-22,75.18000030517578
2022-11-23,76.62000274658203
2022-11-25,75.66999816894531
