Date,FRHC
2022-02-28,61.459999084472656
2022-03-01,60.709999084472656
2022-03-02,61.310001373291016
2022-03-03,60.41999816894531
2022-03-04,59.59000015258789
2022-03-07,57.38999938964844
2022-03-08,57.13999938964844
2022-03-09,59.060001373291016
2022-03-10,58.279998779296875
2022-03-11,56.959999084472656
2022-03-14,55.86000061035156
2022-03-15,57.41999816894531
2022-03-16,59.52000045776367
2022-03-17,60.16999816894531
2022-03-18,61.369998931884766
2022-03-21,60.880001068115234
2022-03-22,61.619998931884766
2022-03-23,60.29999923706055
2022-03-24,61.08000183105469
2022-03-25,61.13999938964844
2022-03-28,61.880001068115234
2022-03-29,62.22999954223633
2022-03-30,61.27000045776367
2022-03-31,59.599998474121094
2022-04-01,59.0
2022-04-04,59.88999938964844
2022-04-05,58.06999969482422
2022-04-06,56.84000015258789
2022-04-07,56.959999084472656
2022-04-08,56.0
2022-04-11,54.58000183105469
2022-04-12,53.02000045776367
2022-04-13,54.34000015258789
2022-04-14,53.0
2022-04-18,52.599998474121094
2022-04-19,53.459999084472656
2022-04-20,52.34000015258789
2022-04-21,51.150001525878906
2022-04-22,49.540000915527344
2022-04-25,49.91999816894531
2022-04-26,47.849998474121094
2022-04-27,47.56999969482422
2022-04-28,49.099998474121094
2022-04-29,46.93000030517578
2022-05-02,47.599998474121094
2022-05-03,47.470001220703125
2022-05-04,48.849998474121094
2022-05-05,46.2400016784668
2022-05-06,45.529998779296875
2022-05-09,43.470001220703125
2022-05-10,43.779998779296875
2022-05-11,42.4900016784668
2022-05-12,42.130001068115234
2022-05-13,43.369998931884766
2022-05-16,42.630001068115234
2022-05-17,43.5099983215332
2022-05-18,41.11000061035156
2022-05-19,40.709999084472656
2022-05-20,40.459999084472656
2022-05-23,40.77000045776367
2022-05-24,39.75
2022-05-25,40.130001068115234
2022-05-26,41.25
2022-05-27,42.54999923706055
2022-05-31,42.56999969482422
2022-06-01,44.0
2022-06-02,45.38999938964844
2022-06-03,44.22999954223633
2022-06-06,44.2599983215332
2022-06-07,44.7400016784668
2022-06-08,44.599998474121094
2022-06-09,43.400001525878906
2022-06-10,41.65999984741211
2022-06-13,39.54999923706055
2022-06-14,39.380001068115234
2022-06-15,40.38999938964844
2022-06-16,38.619998931884766
2022-06-17,39.09000015258789
2022-06-21,39.95000076293945
2022-06-22,39.65999984741211
2022-06-23,40.0
2022-06-24,41.060001373291016
2022-06-27,40.599998474121094
2022-06-28,41.810001373291016
2022-06-29,43.060001373291016
2022-06-30,44.349998474121094
2022-07-01,44.38999938964844
2022-07-05,44.97999954223633
2022-07-06,46.290000915527344
2022-07-07,47.310001373291016
