Date,BGNE
2022-02-28,210.52000427246094
2022-03-01,216.2100067138672
2022-03-02,214.1999969482422
2022-03-03,185.19000244140625
2022-03-04,176.3699951171875
2022-03-07,179.72999572753906
2022-03-08,184.72000122070312
2022-03-09,195.47000122070312
2022-03-10,184.0
2022-03-11,161.52999877929688
2022-03-14,146.72999572753906
2022-03-15,146.52000427246094
2022-03-16,183.3300018310547
2022-03-17,189.0399932861328
2022-03-18,192.97000122070312
2022-03-21,179.6199951171875
2022-03-22,186.3300018310547
2022-03-23,187.3000030517578
2022-03-24,202.4199981689453
2022-03-25,192.6199951171875
2022-03-28,196.4199981689453
2022-03-29,207.5399932861328
2022-03-30,206.0
2022-03-31,188.60000610351562
2022-04-01,197.10000610351562
2022-04-04,216.0500030517578
2022-04-05,211.38999938964844
2022-04-06,212.19000244140625
2022-04-07,213.58999633789062
2022-04-08,196.57000732421875
2022-04-11,184.41000366210938
2022-04-12,182.4199981689453
2022-04-13,187.66000366210938
2022-04-14,182.36000061035156
2022-04-18,172.13999938964844
2022-04-19,176.9600067138672
2022-04-20,172.00999450683594
2022-04-21,164.72000122070312
2022-04-22,163.77999877929688
2022-04-25,162.8000030517578
2022-04-26,152.57000732421875
2022-04-27,157.8000030517578
2022-04-28,158.4499969482422
2022-04-29,160.0
2022-05-02,166.52999877929688
2022-05-03,163.52999877929688
2022-05-04,163.0
2022-05-05,159.47999572753906
2022-05-06,147.2899932861328
2022-05-09,134.22000122070312
2022-05-10,143.67999267578125
2022-05-11,121.11000061035156
2022-05-12,131.47999572753906
2022-05-13,132.8699951171875
2022-05-16,129.17999267578125
2022-05-17,138.5800018310547
2022-05-18,131.08999633789062
2022-05-19,131.6699981689453
2022-05-20,137.32000732421875
2022-05-23,135.1699981689453
2022-05-24,122.98999786376953
2022-05-25,127.41000366210938
2022-05-26,131.25999450683594
2022-05-27,133.9600067138672
2022-05-31,137.22000122070312
2022-06-01,139.02000427246094
2022-06-02,138.80999755859375
2022-06-03,141.91000366210938
2022-06-06,138.42999267578125
2022-06-07,154.57000732421875
2022-06-08,162.0500030517578
2022-06-09,150.63999938964844
2022-06-10,147.47000122070312
2022-06-13,130.3000030517578
2022-06-14,132.00999450683594
2022-06-15,136.74000549316406
2022-06-16,133.77999877929688
2022-06-17,132.13999938964844
2022-06-21,152.6699981689453
2022-06-22,155.67999267578125
2022-06-23,156.1999969482422
2022-06-24,177.99000549316406
2022-06-27,171.27000427246094
2022-06-28,165.02999877929688
2022-06-29,162.2899932861328
2022-06-30,161.85000610351562
2022-07-01,166.9499969482422
2022-07-05,194.47999572753906
2022-07-06,181.0500030517578
2022-07-07,191.41000366210938
2022-07-08,188.74000549316406
2022-07-11,177.02000427246094
2022-07-12,178.66000366210938
2022-07-13,169.74000549316406
2022-07-14,175.92999267578125
2022-07-15,177.14999389648438
2022-07-18,172.74000549316406
2022-07-19,178.36000061035156
2022-07-20,186.0
2022-07-21,188.52999877929688
2022-07-22,180.57000732421875
2022-07-25,182.58999633789062
2022-07-26,177.3000030517578
2022-07-27,177.61000061035156
2022-07-28,174.8699951171875
2022-07-29,168.0800018310547
2022-08-01,162.49000549316406
2022-08-02,165.85000610351562
2022-08-03,169.72000122070312
2022-08-04,191.0800018310547
2022-08-05,194.47000122070312
2022-08-08,202.24000549316406
2022-08-09,197.6199951171875
2022-08-10,191.3800048828125
2022-08-11,196.63999938964844
2022-08-12,193.97000122070312
2022-08-15,197.16000366210938
2022-08-16,188.25
2022-08-17,179.82000732421875
2022-08-18,177.8300018310547
2022-08-19,174.83999633789062
2022-08-22,172.99000549316406
2022-08-23,173.02000427246094
2022-08-24,176.2100067138672
2022-08-25,175.9499969482422
2022-08-26,181.08999633789062
2022-08-29,167.3000030517578
2022-08-30,165.52999877929688
2022-08-31,171.66000366210938
2022-09-01,171.10000610351562
2022-09-02,166.8800048828125
