Date,DORM
2022-02-28,93.41999816894531
2022-03-01,93.54000091552734
2022-03-02,96.36000061035156
2022-03-03,96.1500015258789
2022-03-04,96.5199966430664
2022-03-07,96.5
2022-03-08,95.76000213623047
2022-03-09,98.87999725341797
2022-03-10,97.29000091552734
2022-03-11,95.11000061035156
2022-03-14,96.73999786376953
2022-03-15,96.91999816894531
2022-03-16,100.23999786376953
2022-03-17,99.19999694824219
2022-03-18,99.9000015258789
2022-03-21,98.1500015258789
2022-03-22,97.27999877929688
2022-03-23,92.3499984741211
2022-03-24,93.30000305175781
2022-03-25,94.12000274658203
2022-03-28,91.0199966430664
2022-03-29,95.05999755859375
2022-03-30,96.41000366210938
2022-03-31,95.02999877929688
2022-04-01,97.20999908447266
2022-04-04,94.94000244140625
2022-04-05,94.05000305175781
2022-04-06,95.12000274658203
2022-04-07,95.81999969482422
2022-04-08,95.33999633789062
2022-04-11,95.63999938964844
2022-04-12,95.86000061035156
2022-04-13,95.51000213623047
2022-04-14,93.94999694824219
2022-04-18,94.05000305175781
2022-04-19,95.6500015258789
2022-04-20,95.93000030517578
2022-04-21,95.36000061035156
2022-04-22,93.93000030517578
2022-04-25,92.88999938964844
2022-04-26,92.25
2022-04-27,96.6500015258789
2022-04-28,98.23999786376953
2022-04-29,98.72000122070312
2022-05-02,98.62000274658203
2022-05-03,96.87000274658203
2022-05-04,100.25
2022-05-05,98.36000061035156
2022-05-06,96.12999725341797
2022-05-09,96.98999786376953
2022-05-10,97.30999755859375
2022-05-11,96.9000015258789
2022-05-12,98.66999816894531
2022-05-13,100.83000183105469
2022-05-16,98.80000305175781
2022-05-17,102.41999816894531
2022-05-18,98.12999725341797
2022-05-19,98.48999786376953
2022-05-20,95.98999786376953
2022-05-23,95.43000030517578
2022-05-24,97.41999816894531
2022-05-25,98.05999755859375
2022-05-26,99.94999694824219
2022-05-27,101.26000213623047
2022-05-31,101.05000305175781
2022-06-01,102.12999725341797
2022-06-02,104.04000091552734
2022-06-03,103.08000183105469
2022-06-06,104.81999969482422
2022-06-07,103.43000030517578
2022-06-08,103.97000122070312
2022-06-09,104.36000061035156
2022-06-10,104.05000305175781
2022-06-13,99.69999694824219
2022-06-14,100.4000015258789
2022-06-15,99.98999786376953
2022-06-16,95.76000213623047
2022-06-17,98.70999908447266
2022-06-21,100.48999786376953
2022-06-22,101.58999633789062
2022-06-23,103.38999938964844
2022-06-24,104.70999908447266
2022-06-27,106.0
2022-06-28,106.97000122070312
2022-06-29,107.18000030517578
2022-06-30,109.70999908447266
2022-07-01,111.58000183105469
2022-07-05,112.02999877929688
2022-07-06,108.97000122070312
2022-07-07,111.27999877929688
2022-07-08,110.93000030517578
2022-07-11,111.41000366210938
2022-07-12,111.73999786376953
2022-07-13,111.77999877929688
2022-07-14,111.98999786376953
2022-07-15,114.93000030517578
2022-07-18,114.02999877929688
2022-07-19,116.68000030517578
2022-07-20,114.5199966430664
2022-07-21,116.7300033569336
2022-07-22,116.76000213623047
2022-07-25,105.2300033569336
2022-07-26,102.36000061035156
2022-07-27,101.72000122070312
2022-07-28,102.66000366210938
2022-07-29,101.08999633789062
2022-08-01,102.55999755859375
2022-08-02,100.33999633789062
2022-08-03,99.41000366210938
2022-08-04,97.33000183105469
2022-08-05,98.08999633789062
2022-08-08,100.36000061035156
2022-08-09,100.55999755859375
2022-08-10,101.31999969482422
2022-08-11,102.58000183105469
2022-08-12,104.27999877929688
2022-08-15,106.13999938964844
2022-08-16,107.16999816894531
2022-08-17,106.41999816894531
2022-08-18,108.23999786376953
2022-08-19,106.9800033569336
2022-08-22,105.11000061035156
2022-08-23,99.37000274658203
2022-08-24,97.5
2022-08-25,97.9000015258789
2022-08-26,94.55999755859375
2022-08-29,92.93000030517578
2022-08-30,92.41000366210938
2022-08-31,90.6500015258789
2022-09-01,89.37999725341797
2022-09-02,87.38999938964844
2022-09-06,85.73999786376953
2022-09-07,85.75
2022-09-08,83.69000244140625
2022-09-09,85.45999908447266
2022-09-12,87.83999633789062
2022-09-13,86.08000183105469
2022-09-14,84.37000274658203
2022-09-15,85.0999984741211
2022-09-16,85.68000030517578
2022-09-19,86.23999786376953
2022-09-20,84.16000366210938
2022-09-21,83.54000091552734
2022-09-22,83.81999969482422
2022-09-23,83.0199966430664
2022-09-26,82.88999938964844
2022-09-27,82.63999938964844
2022-09-28,84.47000122070312
2022-09-29,82.6500015258789
2022-09-30,82.12000274658203
2022-10-03,83.80999755859375
2022-10-04,86.3499984741211
2022-10-05,85.18000030517578
2022-10-06,86.61000061035156
2022-10-07,85.76000213623047
2022-10-10,88.31999969482422
2022-10-11,89.75
2022-10-12,90.61000061035156
2022-10-13,91.55999755859375
2022-10-14,89.97000122070312
2022-10-17,90.63999938964844
2022-10-18,92.91000366210938
2022-10-19,89.94000244140625
2022-10-20,86.55999755859375
2022-10-21,86.9800033569336
2022-10-24,81.02999877929688
2022-10-25,74.06999969482422
2022-10-26,77.01000213623047
2022-10-27,80.29000091552734
2022-10-28,82.33000183105469
2022-10-31,81.62000274658203
2022-11-01,81.4000015258789
2022-11-02,79.79000091552734
2022-11-03,77.06999969482422
2022-11-04,79.27999877929688
2022-11-07,80.68000030517578
2022-11-08,80.63999938964844
2022-11-09,80.25
2022-11-10,83.95999908447266
2022-11-11,84.7699966430664
2022-11-14,85.16999816894531
2022-11-15,87.45999908447266
2022-11-16,86.3499984741211
2022-11-17,87.3499984741211
2022-11-18,89.83000183105469
2022-11-21,87.12000274658203
2022-11-22,89.3499984741211
2022-11-23,90.41999816894531
